cycle,truth_sample,truth_state,truth_load,bridge_output,bridge_state,bridge_load,shadow_pressure,shadow_state,shadow_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,0.012582,0.00151,0.000839,0.010061,0.002012,0.010503,0.026302,0.004734,0.00263,0.002535,0.0,0.0,0.010061,11,0.916812,0.997465,0.997465,0.552358,0.9423,0.810488,0.83648,0.025,0.0,1.0,0.004
2,0.005297,0.002401,0.001334,0.00793,0.003196,0.001811,0.008622,0.006924,0.003847,0.003894,0.000355,0.002535,0.005396,10,0.914608,0.998641,0.996106,0.557443,0.944343,0.808177,0.836364,0.025,0.0,1.0,0.008
3,0.003268,0.002959,0.001644,0.007361,0.004029,0.003511,0.008389,0.008142,0.004523,0.004767,0.00085,0.003894,0.003468,9,0.913449,0.999127,0.995233,0.555864,0.944185,0.807079,0.836373,0.025,0.0,1.0,0.012
4,-0.006301,0.003049,0.001694,-0.006434,0.001936,0.004288,-0.005968,0.00808,0.004489,0.001946,0.001399,0.004767,-0.011201,8,0.913076,0.997179,0.998054,0.552156,0.942518,0.80733,0.836468,0.025,0.0,1.0,0.016
5,-0.011883,0.002754,0.00153,0.001466,0.001842,0.001399,0.009485,0.008107,0.004504,0.001825,0.001475,0.001946,-0.00048,7,0.916784,0.999879,0.998175,0.550426,0.945022,0.811675,0.836324,0.025,0.0,1.0,0.02
6,-0.009192,0.002299,0.001277,-0.002247,0.001024,0.009843,0.011687,0.008268,0.004593,0.0008,0.001524,0.001825,-0.004072,6,0.916519,0.998975,0.9992,0.546568,0.943214,0.811193,0.836429,0.025,0.0,1.0,0.024
7,-0.007759,0.001784,0.000991,-0.008691,-0.000919,0.006405,-0.002912,0.007965,0.004425,-0.001591,0.001423,0.0008,-0.00949,5,0.912925,0.99761,0.998409,0.557396,0.943465,0.805922,0.836415,0.025,0.0,1.0,0.028
8,0.003436,0.001411,0.000784,-0.003264,-0.001388,0.003858,-0.005046,0.007324,0.004069,-0.002012,0.001001,-0.001591,-0.001673,4,0.914949,0.999579,0.997988,0.561409,0.945888,0.807489,0.836271,0.025,0.0,1.0,0.032
9,0.017222,0.001331,0.000739,0.005527,-5e-06,0.003094,0.001623,0.006711,0.003728,-0.000113,0.000579,-0.002012,0.007539,3,0.916251,0.998101,0.999887,0.561032,0.945014,0.808979,0.836324,0.025,0.0,1.0,0.036
10,-0.009009,0.001143,0.000635,-0.017721,-0.003548,0.037006,0.016373,0.006581,0.003656,-0.004548,0.000482,-0.000113,-0.017608,2,0.896486,0.995565,0.995452,0.563941,0.939121,0.784933,0.836643,0.025,0.0,1.0,0.04
11,0.00619,0.001048,0.000582,-0.00463,-0.003764,0.009249,-6e-06,0.006303,0.003501,-0.004569,-0.000222,-0.004548,-8.2e-05,1,0.912704,0.999979,0.995431,0.576276,0.947061,0.801873,0.836197,0.025,0.0,1.0,0.044
12,0.03529,0.001314,0.00073,0.022058,0.0014,0.034753,-0.004856,0.005802,0.003223,0.002138,-0.000831,-0.004569,0.026626,11,0.892451,0.993293,0.997862,0.575323,0.939186,0.779031,0.83664,0.025,0.0,1.0,0.048
13,0.011705,0.001625,0.000903,0.007202,0.00256,0.018464,-0.018773,0.004797,0.002665,0.003414,-0.000415,0.002138,0.005064,10,0.913368,0.998724,0.996586,0.574473,0.945173,0.801965,0.836315,0.025,0.0,1.0,0.052
14,0.009847,0.00195,0.001084,0.016517,0.005352,0.026166,-0.004455,0.003852,0.00214,0.006715,0.000121,0.003414,0.013103,9,0.899965,0.996699,0.993285,0.559361,0.940185,0.790649,0.836591,0.025,0.0,1.0,0.056
15,-0.003376,0.002175,0.001208,0.015026,0.007287,0.010771,0.016894,0.003516,0.001954,0.008809,0.001044,0.006715,0.008311,8,0.903821,0.997906,0.991191,0.556446,0.941867,0.796776,0.836503,0.025,0.0,1.0,0.06
16,-0.032669,0.002099,0.001166,-0.002253,0.005379,0.015037,0.023068,0.003764,0.002091,0.006022,0.002131,0.008809,-0.011062,7,0.916324,0.997213,0.993978,0.538632,0.939304,0.812179,0.836634,0.025,0.0,1.0,0.064
17,0.012147,0.002029,0.001127,0.014293,0.007162,0.014404,0.001358,0.003881,0.002156,0.008106,0.002676,0.006022,0.008271,6,0.907554,0.997916,0.991894,0.543399,0.940122,0.802564,0.836594,0.025,0.0,1.0,0.068
18,0.033262,0.002176,0.001209,0.005571,0.006843,0.004237,-0.017476,0.003451,0.001917,0.007467,0.003436,0.008106,-0.002535,5,0.914614,0.999361,0.992533,0.547127,0.942924,0.810063,0.836445,0.025,0.0,1.0,0.072
19,0.030273,0.002509,0.001394,0.002137,0.005902,0.000636,-0.018593,0.002623,0.001457,0.006124,0.004001,0.007467,-0.00533,4,0.911321,0.998657,0.993876,0.54095,0.942179,0.808394,0.836486,0.025,0.0,1.0,0.076
20,0.005128,0.002888,0.001604,-0.009464,0.002829,0.021107,-0.000245,0.001966,0.001092,0.002196,0.004298,0.006124,-0.015588,3,0.901173,0.996072,0.997804,0.558273,0.940939,0.79275,0.836552,0.025,0.0,1.0,0.08
21,-0.015649,0.003192,0.001774,-0.017599,-0.001256,0.036556,0.016795,0.001839,0.001022,-0.002792,0.004004,0.002196,-0.019795,2,0.896306,0.995012,0.997208,0.579921,0.941067,0.782086,0.836546,0.025,0.0,1.0,0.084
22,-0.024774,0.003344,0.001858,-0.031401,-0.007285,0.050548,0.004095,0.001801,0.001001,-0.010001,0.003052,-0.002792,-0.02861,1,0.878465,0.992791,0.989999,0.584751,0.936882,0.761795,0.836746,0.025,0.0,1.0,0.088
23,0.05741,0.003966,0.002203,0.037363,0.001644,0.053006,-0.006115,0.001593,0.000885,0.001935,0.001225,-0.010001,0.047364,11,0.876105,0.988065,0.998065,0.581122,0.933676,0.759882,0.836876,0.025,0.0,1.0,0.092
24,0.016897,0.004614,0.002563,0.016142,0.004544,0.040755,-0.026462,0.000808,0.000449,0.005515,0.001324,0.001935,0.014207,10,0.899221,0.99642,0.994485,0.576154,0.940915,0.785351,0.836553,0.025,0.0,1.0,0.096
25,0.002149,0.005072,0.002818,0.018001,0.007235,0.026401,0.000302,0.000204,0.000113,0.008662,0.001911,0.005515,0.012486,9,0.898003,0.996853,0.991338,0.567305,0.94088,0.787441,0.836555,0.025,0.0,1.0,0.1
26,-0.007361,0.005487,0.003048,0.019036,0.009595,0.003445,0.042752,0.000722,0.000401,0.011276,0.002856,0.008662,0.010375,8,0.905015,0.997385,0.988724,0.538159,0.939341,0.802498,0.836633,0.025,0.0,1.0,0.104
27,-0.056201,0.005384,0.002991,-0.003698,0.006937,0.000532,0.017699,0.001473,0.000818,0.007503,0.004035,0.011276,-0.014974,7,0.914211,0.996226,0.992497,0.531978,0.938591,0.813144,0.836668,0.025,0.0,1.0,0.108
28,-0.001658,0.005016,0.002787,0.003523,0.006254,0.003739,0.005914,0.002123,0.00118,0.0065,0.00452,0.007503,-0.00398,6,0.918443,0.998997,0.9935,0.515334,0.938983,0.82014,0.83665,0.025,0.0,1.0,0.112
29,0.049768,0.004978,0.002766,0.008469,0.006697,0.011551,-0.029756,0.001863,0.001035,0.006996,0.004798,0.0065,0.001969,5,0.915944,0.999504,0.993004,0.528511,0.940222,0.814292,0.836589,0.025,0.0,1.0,0.116
30,0.019259,0.005015,0.002786,-0.01232,0.002893,0.010644,-0.029482,0.000954,0.00053,0.002128,0.005105,0.006996,-0.019316,4,0.896683,0.995132,0.997872,0.547237,0.939695,0.791623,0.836615,0.025,0.0,1.0,0.12
31,-0.001379,0.005063,0.002813,-0.022314,-0.002148,0.034711,-0.007952,0.000101,5.6e-05,-0.004032,0.004688,0.002128,-0.024442,3,0.887152,0.99384,0.995968,0.563549,0.937962,0.776395,0.836698,0.025,0.0,1.0,0.124
32,-0.003457,0.005324,0.002958,-0.013969,-0.004512,0.051234,0.038693,0.000365,0.000203,-0.006536,0.003468,-0.004032,-0.009937,2,0.896097,0.997496,0.993464,0.577121,0.940829,0.780936,0.836558,0.025,0.0,1.0,0.128
33,-0.029371,0.005242,0.002912,-0.025637,-0.008737,0.051483,0.018495,0.000965,0.000536,-0.01135,0.002067,-0.006536,-0.019101,1,0.886024,0.995186,0.98865,0.594406,0.939783,0.767516,0.836611,0.025,0.0,1.0,0.132
34,0.044882,0.005258,0.002921,0.033257,-0.000339,0.058975,-0.001959,0.001315,0.000731,-0.000109,0.000189,-0.01135,0.044607,11,0.86955,0.988759,0.999891,0.595896,0.935882,0.749916,0.836789,0.025,0.0,1.0,0.136
35,0.018367,0.005182,0.002879,-0.009963,-0.002263,0.218003,-0.14533,-0.001753,0.000974,-0.002592,0.000147,-0.000109,-0.009854,10,0.872531,0.997517,0.997408,0.59355,0.928589,0.735823,0.83704,0.025,0.0,1.0,0.14
36,0.015663,0.005194,0.002886,0.02821,0.003831,0.028647,0.016653,-0.003546,0.00197,0.005169,-0.000237,-0.002592,0.030802,9,0.887686,0.992239,0.994831,0.554241,0.935579,0.779176,0.836801,0.025,0.0,1.0,0.144
37,-0.027891,0.005113,0.002841,0.024096,0.007884,0.016158,0.049252,-0.003628,0.002016,0.009938,0.00052,0.005169,0.018927,8,0.885139,0.995231,0.990062,0.535751,0.936161,0.781509,0.836777,0.025,0.0,1.0,0.148
38,-0.064206,0.004746,0.002637,0.004293,0.007166,0.0064,0.033917,-0.002836,0.001576,0.008515,0.001839,0.009938,-0.005644,7,0.901149,0.998578,0.991485,0.515069,0.937895,0.802556,0.836701,0.025,0.0,1.0,0.152
39,0.006675,0.004042,0.002246,0.006669,0.007066,0.008257,0.015408,-0.001872,0.00104,0.00805,0.002773,0.008515,-0.001847,6,0.918345,0.999535,0.99195,0.503616,0.937369,0.821758,0.836725,0.025,0.0,1.0,0.156
40,0.088712,0.003962,0.002201,-0.034356,-0.001218,0.19983,-0.218647,-0.006113,0.003396,-0.002632,0.003512,0.00805,-0.042406,5,0.916329,0.989318,0.997368,0.515637,0.9134,0.796147,0.837222,0.025,0.0,1.0,0.16
41,0.021629,0.004037,0.002243,-0.022506,-0.005476,0.012457,-0.05043,-0.010186,0.005659,-0.007637,0.002652,-0.002632,-0.019874,4,0.887617,0.994995,0.992363,0.53626,0.936608,0.783904,0.836758,0.025,0.0,1.0,0.164
