cycle,truth_sample,truth_state,truth_load,bridge_output,bridge_state,bridge_load,shadow_pressure,shadow_state,shadow_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,0.007604,0.000912,0.000507,0.005954,0.001191,0.008241,0.017872,0.003217,0.001787,0.0015,0.0,0.0,0.005954,11,0.918775,0.9985,0.9985,0.553537,0.943868,0.812543,0.836392,0.0168,0.0,1.0,0.0
2,0.003227,0.001453,0.000807,0.004589,0.00187,0.001271,0.007794,0.00489,0.002717,0.002278,0.00021,0.0015,0.003089,10,0.917545,0.999222,0.997722,0.556416,0.94524,0.811455,0.836311,0.0186,0.0,1.0,0.0
3,0.003146,0.001838,0.001021,0.004369,0.00237,0.000711,0.006621,0.005862,0.003257,0.002805,0.0005,0.002278,0.002091,9,0.916531,0.999473,0.997195,0.555925,0.945294,0.810552,0.836307,0.0204,0.0,1.0,0.0
4,-0.002343,0.001966,0.001092,-0.00733,0.00043,0.003807,-0.00938,0.005598,0.00311,0.000252,0.000822,0.002805,-0.010135,8,0.912096,0.997447,0.999748,0.554643,0.94359,0.806039,0.836408,0.0222,0.0,1.0,0.0
5,-0.00358,0.001923,0.001069,0.001437,0.000631,0.001344,0.006229,0.005466,0.003037,0.00055,0.000742,0.000252,0.001185,7,0.918044,0.999701,0.99945,0.555876,0.945922,0.812029,0.836269,0.024,0.0,1.0,0.0
6,-0.009999,0.001654,0.000919,-0.002828,-6e-05,0.010158,0.011867,0.005639,0.003133,-0.0003,0.000716,0.00055,-0.003378,6,0.91653,0.999149,0.9997,0.553972,0.94446,0.80989,0.836357,0.0258,0.0,1.0,0.0
7,-0.022862,0.00103,0.000572,-0.011232,-0.002295,0.007071,0.001268,0.005593,0.003107,-0.003054,0.000573,-0.0003,-0.010932,5,0.914402,0.997246,0.996946,0.565428,0.943855,0.80591,0.836392,0.0276,0.0,1.0,0.0
8,-0.006068,0.000443,0.000246,-0.00151,-0.002138,0.004537,0.00496,0.005541,0.003078,-0.002665,6.5e-05,-0.003054,0.001544,4,0.919309,0.999611,0.997335,0.567066,0.946501,0.810771,0.836233,0.0294,0.0,1.0,0.0
9,0.01809,0.00022,0.000122,0.013382,0.000966,0.013746,0.002813,0.00542,0.003011,0.001377,-0.000317,-0.002665,0.016047,3,0.906169,0.995958,0.998623,0.55963,0.941792,0.798032,0.836507,0.0312,0.0,1.0,0.0
10,-0.005907,-3.1e-05,1.7e-05,-0.012572,-0.001741,0.025616,0.010336,0.005484,0.003047,-0.002137,-8e-05,0.001377,-0.013948,2,0.903118,0.996486,0.997863,0.555391,0.940533,0.794472,0.836573,0.033,0.0,1.0,0.0
11,0.02779,7.2e-05,4e-05,0.011616,0.00093,0.014075,-0.004632,0.005239,0.00291,0.001328,-0.000368,-0.002137,0.013752,1,0.909853,0.996536,0.998672,0.564941,0.94294,0.800677,0.836444,0.0348,0.0,1.0,0.0
12,0.032941,0.000484,0.000269,0.016215,0.003987,0.019959,-0.002622,0.004852,0.002696,0.005078,-0.00013,0.001328,0.014888,11,0.904699,0.99625,0.994922,0.562594,0.941086,0.795355,0.836545,0.0366,0.0,1.0,0.0
13,0.010124,0.000907,0.000504,-0.003671,0.002455,0.006782,-0.011477,0.004146,0.002304,0.002874,0.000599,0.005078,-0.008749,10,0.908596,0.997796,0.997126,0.566967,0.944656,0.799921,0.836346,0.0384,0.0,1.0,0.0
14,0.0226,0.001439,0.0008,0.013934,0.004751,0.022264,-0.009134,0.003307,0.001837,0.00566,0.000917,0.002874,0.01106,9,0.9056,0.997213,0.99434,0.557044,0.94098,0.797169,0.83655,0.0402,0.0,1.0,0.0
15,0.019007,0.002017,0.00112,0.01584,0.006969,0.018096,-0.000979,0.002607,0.001448,0.008225,0.001581,0.00566,0.010179,8,0.905709,0.997435,0.991775,0.569047,0.942462,0.795511,0.836471,0.042,0.0,1.0,0.0
16,-0.007699,0.00242,0.001345,-0.000444,0.005486,0.026344,0.022977,0.002617,0.001454,0.006041,0.002511,0.008225,-0.008669,7,0.906828,0.997816,0.993959,0.554349,0.940741,0.798525,0.836562,0.0438,0.0,1.0,0.0
17,0.018985,0.002861,0.001589,0.023526,0.009094,0.026274,0.002149,0.002613,0.001452,0.010447,0.003006,0.006041,0.017485,6,0.896896,0.995594,0.989553,0.570057,0.939704,0.785629,0.836615,0.0456,0.0,1.0,0.0
18,0.00015,0.003225,0.001792,0.002591,0.007794,0.008034,-0.012378,0.00225,0.00125,0.008467,0.004047,0.010447,-0.007856,5,0.918405,0.998021,0.991533,0.573383,0.944333,0.808543,0.836365,0.0474,0.0,1.0,0.0
19,0.019188,0.003666,0.002037,0.012635,0.008762,0.001252,0.008517,0.002141,0.001189,0.009517,0.004666,0.008467,0.004168,4,0.916017,0.99895,0.990483,0.544951,0.942131,0.812322,0.836489,0.0492,0.0,1.0,0.0
20,-0.005426,0.004031,0.00224,0.000368,0.007083,0.007154,0.005037,0.00213,0.001183,0.007212,0.005345,0.009517,-0.009149,3,0.915027,0.997695,0.992788,0.553171,0.941935,0.809132,0.8365,0.051,0.0,1.0,0.0
21,-0.013925,0.004275,0.002375,-0.002219,0.005223,0.000854,-0.002476,0.002016,0.00112,0.004836,0.005607,0.007212,-0.00943,2,0.917664,0.997624,0.995164,0.568603,0.944785,0.809542,0.836338,0.0528,0.0,1.0,0.0
22,0.002106,0.00458,0.002545,-0.0611,-0.008042,0.13287,-0.144726,-0.001438,0.000799,-0.01178,0.005499,0.004836,-0.065936,1,0.893114,0.983384,0.98822,0.559468,0.917618,0.772246,0.837218,0.0546,0.0,1.0,0.0
23,0.073389,0.005571,0.003095,0.033901,0.000347,0.028259,0.00115,-0.003853,0.00214,-0.000271,0.00308,-0.01178,0.045681,11,0.893033,0.98849,0.999729,0.548766,0.932606,0.7856,0.836915,0.0564,0.0,1.0,0.0
24,0.014148,0.006594,0.003663,-0.004375,-0.000598,0.005829,-0.012224,-0.005773,0.003207,-0.001305,0.002611,-0.000271,-0.004105,10,0.908796,0.998966,0.998695,0.55634,0.944581,0.802313,0.83635,0.0582,0.0,1.0,0.0
25,0.019662,0.007506,0.00417,0.007647,0.001051,0.010563,-0.007173,-0.007215,0.004008,0.00095,0.002062,-0.001305,0.008952,9,0.914129,0.997745,0.99905,0.572852,0.94503,0.803933,0.836323,0.06,0.0,1.0,0.0
26,0.043635,0.008681,0.004823,0.075359,0.015913,0.191217,0.205527,-0.003452,0.001918,0.0197,0.001907,0.00095,0.074409,8,0.915445,0.98125,0.9803,0.543583,0.906665,0.791179,0.837156,0.0618,0.0,1.0,0.0
27,-0.023776,0.009327,0.005182,-0.00203,0.012324,0.001353,0.001581,-0.000634,0.000352,0.014223,0.004398,0.0197,-0.02173,7,0.916096,0.994523,0.985777,0.567567,0.939748,0.808333,0.836613,0.0636,0.0,1.0,0.0
28,-0.008389,0.009586,0.005326,0.004901,0.01084,0.007567,0.009626,0.001642,0.000912,0.011874,0.005773,0.014223,-0.009322,6,0.916824,0.997651,0.988126,0.540659,0.939203,0.813442,0.836639,0.0654,0.0,1.0,0.0
29,-0.008927,0.009671,0.005373,0.005682,0.009808,0.031049,-0.031456,0.002529,0.001405,0.010314,0.006627,0.011874,-0.006192,5,0.909242,0.99844,0.989686,0.562501,0.940707,0.799079,0.836564,0.0672,0.0,1.0,0.0
