cycle,truth_sample,truth_state,truth_load,bridge_output,bridge_state,bridge_load,shadow_pressure,shadow_state,shadow_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,0.011396,0.001368,0.00076,0.008938,0.001788,0.012263,0.026653,0.004797,0.002665,0.002247,0.0,0.0,0.008938,11,0.918177,0.997753,0.997753,0.551157,0.942314,0.81188,0.836479,0.025,0.0,1.01,0.0
2,0.004341,0.002148,0.001193,0.006214,0.002673,0.001709,0.010437,0.007179,0.003988,0.003243,0.000315,0.002247,0.003967,10,0.916743,0.999005,0.996757,0.555822,0.944616,0.81061,0.836348,0.025,0.0,1.02,0.0
3,0.003922,0.002676,0.001487,0.00544,0.003226,0.000871,0.008099,0.008458,0.004699,0.003793,0.000725,0.003243,0.002198,9,0.915812,0.99945,0.996207,0.555411,0.944857,0.809793,0.836334,0.025,0.0,1.03,0.0
4,-0.00251,0.00287,0.001594,-0.008076,0.000966,0.004288,-0.010605,0.008164,0.004536,0.000826,0.001154,0.003793,-0.011869,8,0.911016,0.997033,0.999174,0.5542,0.942856,0.804873,0.836449,0.025,0.0,1.04,0.0
5,-0.003589,0.002851,0.001584,0.001668,0.001106,0.001399,0.006483,0.007908,0.004393,0.001036,0.001108,0.000826,0.000841,7,0.91813,0.99979,0.998964,0.55578,0.945754,0.812017,0.836279,0.025,0.0,1.05,0.0
6,-0.00959,0.002588,0.001438,-0.0026,0.000365,0.009843,0.011466,0.007888,0.004382,0.000131,0.001098,0.001036,-0.003637,6,0.916573,0.999095,0.999869,0.554104,0.944365,0.809844,0.836363,0.025,0.0,1.06,0.0
7,-0.020599,0.001992,0.001107,-0.010037,-0.001715,0.006405,0.00113,0.007628,0.004238,-0.002396,0.000963,0.000131,-0.010167,5,0.914879,0.997473,0.997604,0.564759,0.944041,0.806502,0.836382,0.025,0.0,1.07,0.0
8,-0.005127,0.001427,0.000793,-0.001247,-0.001622,0.003858,0.004213,0.00734,0.004078,-0.002111,0.000493,-0.002396,0.001148,4,0.919389,0.999715,0.997889,0.565757,0.946507,0.811102,0.836232,0.025,0.0,1.08,0.0
9,0.014458,0.001158,0.000644,0.010712,0.000845,0.011014,0.002202,0.006982,0.003879,0.001063,0.000128,-0.002111,0.012823,3,0.908929,0.996826,0.998937,0.5594,0.942724,0.801076,0.836456,0.025,0.0,1.09,0.0
10,-0.00452,0.000878,0.000488,-0.009528,-0.00123,0.019406,0.007778,0.006762,0.003757,-0.001554,0.000259,0.001063,-0.010592,2,0.90719,0.997383,0.998446,0.556154,0.941997,0.799035,0.836496,0.025,0.0,1.1,0.0
11,0.01989,0.00086,0.000478,0.008288,0.000674,0.010111,-0.003405,0.006319,0.003511,0.000873,5e-06,-0.001554,0.009842,1,0.912717,0.997573,0.999127,0.563071,0.943993,0.804294,0.836384,0.025,0.0,1.11,0.0
