cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,noise,contradiction,pressure,drift
1,-0.002704,0.94459,0.836349,0.806029,0.001556,0.004236,0.000439,-0.010744,0.021,0.003,1.006,0.0025
2,-0.0013,0.944779,0.836338,0.810241,0.001987,0.002707,0.000425,0.005586,0.022,0.006,1.012,0.005
3,-0.002043,0.945275,0.836308,0.810319,0.00239,0.003274,0.00048,-0.002959,0.023,0.009,1.018,0.0075
4,-0.001411,0.945127,0.836317,0.813141,0.002599,0.007523,8.8e-05,0.002518,0.024,0.012,1.024,0.01
5,-0.00261,0.944498,0.836355,0.814621,0.002893,0.000795,9.5e-05,-0.004783,0.025,0.015,1.03,0.0125
6,-0.004139,0.943322,0.836423,0.81217,0.003176,2.9e-05,2.3e-05,-0.00611,0.026,0.018,1.036,0.015
7,-0.002947,0.943626,0.836406,0.812729,0.00327,0.003499,0.000151,0.004769,0.027,0.021,1.042,0.0175
8,0.000946,0.941791,0.836507,0.807513,0.002949,0.007497,0.000251,0.015587,0.028,0.024,1.048,0.02
9,0.000211,0.945179,0.836314,0.804383,0.002643,0.012774,0.00019,-0.002945,0.029,0.027,1.054,0.0225
10,0.008623,0.920356,0.837196,0.781458,0.00258,0.190575,0.002698,0.033776,0.03,0.03,1.06,0.025
11,0.00372,0.940757,0.836562,0.794081,0.002548,0.017931,0.004637,-0.019717,0.031,0.033,1.066,0.0275
12,0.00287,0.945478,0.836296,0.809571,0.002497,0.004576,0.005803,-0.003421,0.032,0.036,1.072,0.03
13,-0.00416,0.923713,0.837149,0.768777,0.002303,0.190585,0.004246,-0.028332,0.033,0.039,1.078,0.0325
14,-0.000741,0.942392,0.836475,0.793958,0.002184,0.015835,0.003117,0.013794,0.034,0.042,1.084,0.035
15,-0.000292,0.945573,0.83629,0.80624,0.00214,0.007975,0.002223,0.001815,0.035,0.045,1.09,0.0375
16,-0.0019,0.94117,0.83654,0.818525,0.002187,0.003564,0.001628,-0.006503,0.036,0.048,1.096,0.04
17,0.01346,0.915624,0.837225,0.783026,0.002131,0.155661,0.003326,0.062185,0.037,0.051,1.102,0.0425
18,0.007794,0.935918,0.836787,0.794383,0.002111,0.02443,0.004537,-0.022969,0.038,0.054,1.108,0.045
19,0.006407,0.940548,0.836572,0.811486,0.001959,0.021094,0.004824,-0.005631,0.039,0.057,1.114,0.0475
20,0.000538,0.941316,0.836532,0.796243,0.001887,0.006387,0.004659,-0.023848,0.04,0.06,1.12,0.05
21,0.008995,0.920925,0.83719,0.772922,0.001821,0.192127,0.006515,0.034415,0.041,0.063,1.126,0.0525
22,0.002466,0.938372,0.836679,0.785636,0.001743,0.021162,0.007538,-0.026603,0.042,0.066,1.132,0.055
23,0.004506,0.943921,0.836389,0.792003,0.00164,0.02317,0.007957,0.008321,0.043,0.069,1.138,0.0575
24,-0.001636,0.942103,0.83649,0.789271,0.00182,0.006954,0.007718,-0.025086,0.044,0.072,1.144,0.06
25,0.000399,0.943439,0.836416,0.796508,0.002085,0.013273,0.007447,0.008322,0.045,0.075,1.15,0.0625
26,-0.002785,0.939908,0.836605,0.80898,0.002386,0.016106,0.007327,-0.013035,0.046,0.078,1.156,0.065
27,0.011836,0.913158,0.837222,0.779704,0.002758,0.15927,0.009333,0.059941,0.047,0.081,1.162,0.0675
28,-0.003022,0.910537,0.837205,0.791959,0.003028,0.199825,0.008051,-0.060971,0.048,0.084,1.168,0.07
29,-0.006081,0.93766,0.836712,0.791797,0.003301,0.020069,0.006757,-0.012565,0.049,0.087,1.174,0.0725
30,-0.003103,0.938399,0.836677,0.805266,0.003281,0.027345,0.005233,0.012244,0.05,0.09,1.18,0.075
