cycle,trust,deviation,alert
1,0.777947,0.002704,False
2,0.777449,0.0013,False
3,0.777451,0.002043,False
4,0.776963,0.001411,False
5,0.776217,0.00261,False
6,0.776007,0.004139,False
7,0.776235,0.002947,False
8,0.777062,0.000946,False
9,0.778972,0.000211,False
10,0.773407,0.008623,False
11,0.778845,0.00372,False
12,0.777503,0.00287,False
13,0.777999,0.00416,False
14,0.780016,0.000741,False
15,0.778717,0.000292,False
16,0.774459,0.0019,False
17,0.770477,0.01346,False
18,0.776333,0.007794,False
19,0.774756,0.006407,False
20,0.779237,0.000538,False
21,0.775238,0.008995,False
22,0.77998,0.002466,False
23,0.780168,0.004506,False
24,0.780677,0.001636,False
25,0.779926,0.000399,False
26,0.775766,0.002785,False
27,0.770603,0.011836,False
28,0.768993,0.003022,False
29,0.777783,0.006081,False
30,0.775935,0.003103,False
31,0.778842,0.003242,False
32,0.772333,0.008417,False
33,0.77923,0.001819,False
34,0.780929,0.006696,False
35,0.777786,0.005999,False
36,0.776702,0.003911,False
37,0.776589,0.002088,False
38,0.771855,0.006838,False
39,0.773726,0.00021,False
40,0.775328,0.003754,False
41,0.775947,0.004032,False
42,0.783036,0.001711,False
43,0.783966,0.002357,False
44,0.785494,0.010223,False
45,0.787786,0.003697,False
46,0.777781,0.003259,False
47,0.779794,0.018892,False
48,0.777195,0.023182,False
49,0.769556,0.0186,False
50,0.775393,0.009094,False
51,0.77218,0.009963,False
52,0.776843,0.00518,False
53,0.781683,0.002123,False
54,0.784729,0.007379,False
55,0.786821,0.022349,False
56,0.78426,0.009717,False
57,0.784208,0.005454,False
58,0.775502,0.006071,False
59,0.773864,0.013922,False
60,0.769439,0.011513,False
61,0.7796,0.009613,False
62,0.773717,0.003754,False
63,0.772095,0.006622,False
64,0.778306,0.005517,False
65,0.777598,0.014798,False
66,0.787646,0.0092,False
67,0.785552,0.011561,False
68,0.788234,0.002727,False
69,0.781997,0.00119,False
70,0.77839,0.002497,False
71,0.776022,0.002672,False
72,0.761314,0.019749,False
73,0.760721,0.024615,False
74,0.770617,0.01543,False
75,0.775813,0.011211,False
76,0.783741,0.006351,False
77,0.768468,0.020683,False
78,0.78601,0.014937,False
79,0.774155,0.010609,False
80,0.781808,0.018402,False
81,0.776028,0.012281,False
82,0.771132,0.017901,False
83,0.772393,0.019146,False
84,0.76841,0.021184,False
85,0.771439,0.024841,False
86,0.772748,0.021515,False
87,0.784591,0.024075,False
88,0.766168,0.035214,False
89,0.770121,0.035618,False
90,0.772273,0.044136,False
91,0.773147,0.044963,False
92,0.77143,0.047625,False
93,0.756578,0.045174,False
94,0.757527,0.035661,False
95,0.763216,0.041266,False
96,0.768013,0.030416,False
97,0.768981,0.023122,False
98,0.779018,0.008717,False
99,0.777993,0.003542,False
100,0.784154,0.003392,False
101,0.775034,0.003052,False
102,0.784314,0.009973,False
103,0.771009,0.008889,False
104,0.773699,0.015762,False
105,0.764653,0.020806,False
106,0.773308,0.020973,False
107,0.778994,0.021629,False
108,0.763698,0.033268,False
109,0.778283,0.036078,False
110,0.773249,0.038397,False
111,0.774287,0.03673,False
112,0.768194,0.039975,False
113,0.761113,0.044003,False
114,0.759908,0.035701,False
115,0.75809,0.026483,False
116,0.76896,0.031824,False
117,0.763194,0.030461,False
118,0.769825,0.032668,False
119,0.763502,0.016131,False
120,0.777459,0.000675,False
121,0.779391,0.005608,False
122,0.781146,0.005854,False
123,0.773959,0.017279,False
124,0.769087,0.024655,False
125,0.76124,0.035606,False
126,0.764511,0.04515,False
127,0.756827,0.043971,False
128,0.757523,0.03666,False
129,0.761032,0.035406,False
130,0.771915,0.027631,False
131,0.774878,0.009297,False
132,0.774219,0.005085,False
133,0.78232,0.019734,False
134,0.776206,0.020829,False
135,0.779524,0.023407,False
136,0.76453,0.026349,False
137,0.759252,0.021881,False
138,0.75794,0.034221,False
139,0.753883,0.031193,False
140,0.760471,0.039727,False
141,0.777132,0.038764,False
142,0.766951,0.051571,False
143,0.778274,0.039122,False
144,0.771408,0.039486,False
145,0.761217,0.044576,False
146,0.766786,0.034799,False
147,0.75916,0.037846,False
