cycle,delta,anomaly,alert
1,0,0.003621,False
2,0.001404,0.002514,False
3,0.000743,0.001751,False
4,0.000632,0.002373,False
5,0.001199,0.001793,False
6,0.001529,0.002073,False
7,0.001192,0.002339,False
8,0.003893,0.006809,False
9,0.000735,0.003586,False
10,0.008412,0.050043,False
11,0.004903,0.011159,False
12,0.00085,0.003229,False
13,0.00703,0.04851,False
14,0.003419,0.008436,False
15,0.000449,0.002651,False
16,0.001608,0.003227,False
17,0.01536,0.05272,False
18,0.005666,0.013519,False
19,0.001387,0.007077,False
20,0.005869,0.010225,False
21,0.008457,0.051292,False
22,0.006529,0.014676,False
23,0.00204,0.00902,False
24,0.006142,0.011356,False
25,0.002035,0.006937,False
26,0.003184,0.00906,False
27,0.014621,0.053823,False
28,0.014858,0.062018,False
29,0.003059,0.009577,False
30,0.002978,0.010619,False
31,0.000139,0.006504,False
32,0.011659,0.057143,False
33,0.006598,0.014404,False
34,0.004877,0.013316,False
35,0.000697,0.00824,False
36,0.002088,0.005388,False
37,0.005999,0.014745,False
38,0.00475,0.008526,False
39,0.007048,0.011998,False
40,0.003544,0.010198,False
41,0.000278,0.004121,False
42,0.005743,0.019414,False
43,0.004068,0.048515,False
44,0.01258,0.0356,False
45,0.01392,0.039617,False
46,0.000438,0.007477,False
47,0.015633,0.040192,False
48,0.00429,0.019718,False
49,0.004582,0.013913,False
50,0.009506,0.024469,False
51,0.000869,0.003733,False
52,0.004783,0.008942,False
53,0.003057,0.017784,False
54,0.009502,0.031349,False
55,0.01497,0.041416,False
56,0.012632,0.033897,False
57,0.004263,0.016687,False
58,0.000617,0.005109,False
59,0.007851,0.023049,False
60,0.002409,0.007593,False
61,0.021126,0.051136,False
62,0.005859,0.013458,False
63,0.002868,0.005019,False
64,0.012139,0.026726,False
65,0.009281,0.022083,False
66,0.005598,0.022788,False
67,0.002361,0.016775,False
68,0.008834,0.031799,False
69,0.003917,0.010559,False
70,0.003687,0.019761,False
71,0.005169,0.011206,False
72,0.017077,0.062441,False
73,0.004866,0.011287,False
74,0.009185,0.021066,False
75,0.004219,0.018963,False
76,0.00486,0.03003,False
77,0.014332,0.060887,False
78,0.005746,0.019991,False
79,0.004328,0.019654,False
80,0.007793,0.035517,False
81,0.006121,0.018893,False
82,0.00562,0.015205,False
83,0.001245,0.005552,False
84,0.002038,0.018164,False
85,0.003657,0.011118,False
86,0.003326,0.020928,False
87,0.00256,0.019088,False
88,0.011139,0.060502,False
89,0.000404,0.010788,False
90,0.008518,0.022936,False
91,0.000827,0.020989,False
92,0.002662,0.027977,False
93,0.002451,0.015534,False
94,0.009513,0.017446,False
95,0.005605,0.020808,False
96,0.01085,0.02988,False
97,0.007294,0.019406,False
98,0.014405,0.027262,False
99,0.005175,0.011424,False
100,0.00015,0.010232,False
101,0.006444,0.048131,False
102,0.013025,0.036828,False
103,0.001084,0.005545,False
104,0.006873,0.02524,False
105,0.005044,0.008407,False
106,0.000167,0.011769,False
107,0.000656,0.006932,False
108,0.011639,0.066802,False
109,0.00281,0.0067,False
110,0.002319,0.012197,False
111,0.001667,0.017663,False
112,0.003245,0.013667,False
113,0.004028,0.011227,False
114,0.008302,0.018688,False
115,0.009218,0.029986,False
116,0.005341,0.020785,False
117,0.001363,0.009636,False
118,0.002207,0.007329,False
119,0.016537,0.032498,False
120,0.016806,0.045322,False
121,0.006283,0.016553,False
122,0.000246,0.009467,False
123,0.011425,0.036962,False
