cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,noise,contradiction,pressure,drift
1,-0.003424,0.943681,0.836402,0.80354,0.001911,0.006353,0.0005,-0.013585,0.025,0.004,1,0
2,-0.002063,0.944643,0.836346,0.811741,0.002481,0.000576,0.000416,0.005399,0.025,0.008,1,0
3,-0.00309,0.944522,0.836353,0.808331,0.002958,0.005353,0.00045,-0.004075,0.025,0.012,1,0
4,-0.002508,0.945034,0.836323,0.811941,0.003162,0.007837,0.000125,0.002311,0.025,0.016,1,0
5,-0.003493,0.944872,0.836333,0.813531,0.003373,0.000795,2.8e-05,-0.003908,0.025,0.02,1,0
6,-0.004867,0.94386,0.836392,0.811504,0.003587,2.8e-05,0.000187,-0.005453,0.025,0.024,1,0
7,-0.003736,0.944095,0.836378,0.810823,0.003697,0.00324,0.000286,0.004489,0.025,0.028,1,0
8,0.000231,0.942286,0.83648,0.805233,0.003462,0.006694,0.000266,0.015738,0.025,0.032,1,0
9,0.000335,0.946082,0.836259,0.81041,0.003234,0.006745,0.000136,0.000415,0.025,0.036,1,0
10,-0.001689,0.943301,0.836424,0.8098,0.003176,0.011353,0.000162,-0.00803,0.025,0.04,1,0
11,-0.002535,0.945116,0.836318,0.80967,0.0031,0.004703,0.000372,-0.003359,0.025,0.044,1,0
12,-0.004011,0.943782,0.836397,0.807758,0.003059,0.006737,0.000486,-0.005858,0.025,0.048,1,0
13,-0.000909,0.943203,0.83643,0.801555,0.002921,0.01273,0.000526,0.012311,0.025,0.052,1,0
14,4.1e-05,0.945521,0.836293,0.806382,0.002822,0.005981,0.000568,0.00377,0.025,0.056,1,0
15,-0.000357,0.946255,0.836248,0.811733,0.002739,0.005696,0.00046,-0.001578,0.025,0.06,1,0
16,-0.00128,0.94397,0.836386,0.814234,0.002669,0.002475,0.000378,-0.003665,0.025,0.064,1,0
17,0.01293,0.918028,0.837216,0.785849,0.002491,0.156528,0.002374,0.056404,0.025,0.068,1,0
18,0.008071,0.938877,0.836655,0.800974,0.00241,0.016072,0.003836,-0.019291,0.025,0.072,1,0
19,0.01956,0.917421,0.837219,0.791846,0.002264,0.156015,0.006669,0.045629,0.025,0.076,1,0
20,0.014006,0.938341,0.83668,0.806936,0.002181,0.002883,0.00836,-0.022063,0.025,0.08,1,0
21,0.011527,0.941047,0.836547,0.809311,0.002071,0.005314,0.009444,-0.009848,0.025,0.084,1,0
22,0.008792,0.940718,0.836564,0.810774,0.001893,0.001808,0.009892,-0.010867,0.025,0.088,1,0
23,0.006405,0.942734,0.836456,0.809149,0.001729,0.001238,0.009932,-0.009487,0.025,0.092,1,0
24,0.000496,0.939477,0.836626,0.789974,0.001784,0.018951,0.009622,-0.023477,0.025,0.096,1,0
25,0.000133,0.945549,0.836292,0.812731,0.001873,0.001019,0.009245,-0.001445,0.025,0.1,1,0
26,-0.002519,0.942158,0.836487,0.805762,0.001921,0.008339,0.008762,-0.010534,0.025,0.104,1,0
27,0.011267,0.916549,0.837223,0.787488,0.001976,0.159883,0.010191,0.054782,0.025,0.108,1,0
28,0.008979,0.94064,0.836568,0.811045,0.001955,0.01036,0.010822,-0.009093,0.025,0.112,1,0
29,0.005128,0.940202,0.83659,0.801582,0.002022,0.010239,0.011009,-0.015307,0.025,0.116,1,0
30,0.005667,0.942036,0.836494,0.803232,0.001972,0.01851,0.010729,0.002143,0.025,0.12,1,0
31,0.005718,0.944805,0.836337,0.809288,0.001903,0.002566,0.010453,0.000203,0.025,0.124,1,0
32,0.006579,0.942807,0.836452,0.81092,0.001781,0.000353,0.010138,0.003419,0.025,0.128,1,0
33,0.005735,0.942788,0.836453,0.807081,0.001703,0.008019,0.009682,-0.00335,0.025,0.132,1,0
34,0.004415,0.943375,0.83642,0.810181,0.001589,0.005683,0.009206,-0.005247,0.025,0.136,1,0
35,0.001477,0.941629,0.836516,0.809273,0.001595,0.004438,0.008621,-0.011671,0.025,0.14,1,0
36,-0.000769,0.942554,0.836466,0.80374,0.001648,0.014994,0.008145,-0.008921,0.025,0.144,1,0
37,-0.009256,0.933571,0.83688,0.799516,0.002812,0.0157,0.007569,-0.033713,0.025,0.148,1,0
38,-0.009289,0.943297,0.836424,0.812388,0.003945,0.003542,0.006968,-0.000131,0.025,0.152,1,0
39,-0.007661,0.941921,0.8365,0.810646,0.004965,0.00181,0.006446,0.006465,0.025,0.156,1,0
40,-0.005541,0.942363,0.836476,0.805644,0.00578,0.008412,0.005889,0.008419,0.025,0.16,1,0
41,-0.003899,0.942196,0.836485,0.804984,0.006454,0.009641,0.005264,0.006518,0.025,0.164,1,0
42,-0.003826,0.944244,0.83637,0.808033,0.00698,0.011887,0.004816,0.000289,0.025,0.168,1,0
43,-0.00432,0.944479,0.836356,0.810544,0.007445,0.00534,0.004318,-0.001959,0.025,0.172,1,0
44,-0.007205,0.939795,0.83661,0.798453,0.00792,0.018535,0.003884,-0.011452,0.025,0.176,1,0
45,-0.004321,0.940566,0.836571,0.800479,0.00829,0.016794,0.003403,0.011448,0.025,0.18,1,0
46,-0.001898,0.940723,0.836563,0.809664,0.007773,0.008964,0.002982,0.009615,0.025,0.184,1,0
47,-0.002565,0.9418,0.836507,0.79655,0.008241,0.021514,0.002575,-0.002647,0.025,0.188,1,0
48,-0.000121,0.94191,0.836501,0.801201,0.00865,0.01703,0.002134,0.009701,0.025,0.192,1,0
49,-0.005597,0.938233,0.836685,0.809448,0.009963,0.011277,0.001881,-0.02173,0.025,0.196,1,0
50,-0.007959,0.940301,0.836585,0.803327,0.011176,0.017545,0.00177,-0.00937,0.025,0.2,1,0
51,-0.006393,0.941959,0.836498,0.809882,0.012175,0.002047,0.001735,0.006213,0.025,0.204,1,0
52,-0.007131,0.942005,0.836496,0.813957,0.013002,0.008287,0.001446,-0.002927,0.025,0.208,1,0
53,-0.006852,0.943444,0.836416,0.814374,0.012657,0.00087,0.001197,0.001106,0.025,0.212,1,0
54,-0.007483,0.942082,0.836492,0.809669,0.012312,0.007937,0.000978,-0.002504,0.025,0.216,1,0
55,-0.010185,0.940331,0.836583,0.801982,0.012079,0.011371,0.000692,-0.010717,0.025,0.22,1,0
56,-0.009268,0.942108,0.83649,0.812685,0.01194,0.004059,0.000391,0.003638,0.025,0.224,1,0
57,-0.009069,0.942737,0.836456,0.814033,0.011901,0.00492,0.000244,0.000789,0.025,0.228,1,0
58,-0.009324,0.940575,0.836571,0.811059,0.011919,0.012081,0.000209,-0.001011,0.025,0.232,1,0
59,-0.012941,0.935259,0.836815,0.798593,0.012032,0.023711,0.000198,-0.014346,0.025,0.236,1,0
60,-0.011616,0.94035,0.836582,0.813884,0.012081,0.005124,0.00017,0.005255,0.025,0.24,1,0
61,-0.003833,0.933638,0.836878,0.785108,0.012054,0.031346,0.000159,0.030871,0.025,0.244,1,0
62,-0.005831,0.941691,0.836513,0.813593,0.013038,0.006783,1.3e-05,-0.007925,0.025,0.248,1,0
63,-0.003491,0.940819,0.836558,0.809251,0.012962,0.005813,0.0001,0.009281,0.025,0.252,1,0
64,-0.00494,0.94104,0.836547,0.814603,0.012974,0.002378,0.000217,-0.005747,0.025,0.256,1,0
65,-0.004803,0.942383,0.836475,0.812169,0.012005,0.008428,0.000415,0.000542,0.025,0.26,1,0
66,-0.007384,0.939314,0.836634,0.807801,0.011166,0.01041,0.00059,-0.010236,0.025,0.264,1,0
67,-0.006168,0.941528,0.836521,0.815694,0.010405,0.001649,0.000663,0.004825,0.025,0.268,1,0
68,-0.006823,0.942245,0.836483,0.811395,0.009782,0.005979,0.000751,-0.002602,0.025,0.272,1,0
69,-0.006563,0.942314,0.836479,0.811212,0.009276,0.014454,0.000568,0.001032,0.025,0.276,1,0
70,-0.008062,0.938831,0.836657,0.799932,0.008844,0.027169,0.000214,-0.005945,0.025,0.28,1,0
71,-0.006101,0.940272,0.836586,0.805964,0.008398,0.010036,7.4e-05,0.00778,0.025,0.284,1,0
72,-0.003951,0.941619,0.836516,0.813454,0.007911,0.001356,0.000392,0.008527,0.025,0.288,1,0
73,-0.002059,0.940318,0.836584,0.814607,0.00741,0.003884,0.000831,0.007506,0.025,0.292,1,0
74,-0.002446,0.942721,0.836457,0.817006,0.006944,0.002063,0.001196,-0.001535,0.025,0.296,1,0
75,-0.001128,0.942678,0.836459,0.812339,0.00642,0.000594,0.001554,0.005231,0.025,0.3,1,0
76,0.000608,0.94149,0.836523,0.817442,0.005926,0.004737,0.001911,0.006889,0.025,0.304,1,0
77,0.003764,0.939256,0.836637,0.805336,0.00551,0.01163,0.002162,0.012525,0.025,0.308,1,0
78,0.008459,0.93477,0.836834,0.789415,0.004894,0.035772,0.002122,0.018633,0.025,0.312,1,0
79,0.003423,0.937866,0.836702,0.805725,0.004391,0.005903,0.001849,-0.019987,0.025,0.316,1,0
80,0.003243,0.943419,0.836417,0.812364,0.003909,0.011298,0.001409,-0.000715,0.025,0.32,1,0
81,0.003879,0.941321,0.836532,0.812964,0.003383,0.013157,0.000849,0.002525,0.025,0.324,1,0
82,0.005397,0.940749,0.836562,0.812958,0.002733,0.005503,0.000446,0.006024,0.025,0.328,1,0
83,0.005233,0.943682,0.836402,0.811239,0.002191,0.001452,0.000355,-0.000651,0.025,0.332,1,0
84,0.007027,0.939575,0.836621,0.808769,0.001516,0.015577,0.000135,0.007118,0.025,0.336,1,0
85,0.008581,0.941593,0.836518,0.806653,0.000801,0.002019,0.000248,0.006168,0.025,0.34,1,0
86,0.007945,0.941039,0.836547,0.813697,0.000124,0.004051,0.000409,-0.002526,0.025,0.344,1,0
87,0.005629,0.940298,0.836585,0.815389,0.000456,0.001988,0.000492,-0.00919,0.025,0.348,1,0
88,0.004676,0.940206,0.83659,0.809096,0.000973,0.017472,0.000774,-0.003781,0.025,0.352,1,0
89,0.005971,0.939753,0.836612,0.809708,0.001479,0.015684,0.000811,0.005137,0.025,0.356,1,0
90,0.004791,0.94015,0.836592,0.812773,0.001918,0.014454,0.001078,-0.004681,0.025,0.36,1,0
91,0.003795,0.941989,0.836497,0.816436,0.002324,0.006073,0.001094,-0.003952,0.025,0.364,1,0
92,0.005134,0.939757,0.836612,0.804699,0.002676,0.020816,0.000908,0.005314,0.025,0.368,1,0
