cycle,trust,deviation,alert
1,0.777996,0.003424,False
2,0.776951,0.002063,False
3,0.777387,0.00309,False
4,0.776953,0.002508,False
5,0.776384,0.003493,False
6,0.776175,0.004867,False
7,0.776616,0.003736,False
8,0.777827,0.000231,False
9,0.778044,0.000335,False
10,0.776964,0.001689,False
11,0.777429,0.002535,False
12,0.777069,0.004011,False
13,0.778736,0.000909,False
14,0.778721,4.1e-05,False
15,0.777833,0.000357,False
16,0.776383,0.00128,False
17,0.770858,0.01293,False
18,0.775962,0.008071,False
19,0.768121,0.01956,False
20,0.773401,0.014006,False
21,0.774336,0.011527,False
22,0.774479,0.008792,False
23,0.77596,0.006405,False
24,0.779879,0.000496,False
25,0.777442,0.000133,False
26,0.777221,0.002519,False
27,0.770347,0.011267,False
28,0.774361,0.008979,False
29,0.776876,0.005128,False
30,0.777056,0.005667,False
31,0.776765,0.005718,False
32,0.775596,0.006579,False
33,0.776526,0.005735,False
34,0.776367,0.004415,False
35,0.776549,0.001477,False
36,0.778109,0.000769,False
37,0.774215,0.009256,False
38,0.774925,0.009289,False
39,0.775136,0.007661,False
40,0.776709,0.005541,False
41,0.777113,0.003899,False
42,0.777206,0.003826,False
43,0.776684,0.00432,False
44,0.776949,0.007205,False
45,0.777381,0.004321,False
46,0.776081,0.001898,False
47,0.778934,0.002565,False
48,0.778529,0.000121,False
49,0.774544,0.005597,False
50,0.775994,0.007959,False
51,0.775555,0.006393,False
52,0.774608,0.007131,False
53,0.775064,0.006852,False
54,0.775421,0.007483,False
55,0.775828,0.010185,False
56,0.77447,0.009268,False
57,0.774452,0.009069,False
58,0.774267,0.009324,False
59,0.774238,0.012941,False
60,0.773168,0.011616,False
61,0.778205,0.003833,False
62,0.774835,0.005831,False
63,0.775878,0.003491,False
64,0.774592,0.00494,False
65,0.775558,0.004803,False
66,0.774881,0.007384,False
67,0.774293,0.006168,False
68,0.775263,0.006823,False
69,0.775375,0.006563,False
70,0.776156,0.008062,False
71,0.775829,0.006101,False
72,0.775215,0.003951,False
73,0.774924,0.002059,False
74,0.775176,0.002446,False
75,0.776359,0.001128,False
76,0.775042,0.000608,False
77,0.776079,0.003764,False
78,0.776803,0.008459,False
79,0.775599,0.003423,False
80,0.77618,0.003243,False
81,0.775227,0.003879,False
82,0.774732,0.005397,False
83,0.776095,0.005233,False
84,0.774847,0.007027,False
85,0.77564,0.008581,False
86,0.774172,0.007945,False
87,0.774047,0.005629,False
88,0.775465,0.004676,False
89,0.774931,0.005971,False
90,0.774688,0.004791,False
91,0.774774,0.003795,False
92,0.776101,0.005134,False
93,0.773964,0.005196,False
94,0.774008,0.003367,False
95,0.775239,0.005451,False
96,0.777714,0.000485,False
97,0.775982,0.00037,False
98,0.775425,0.001037,False
99,0.774551,0.000606,False
100,0.774356,0.001645,False
101,0.773892,0.001481,False
102,0.77472,0.00242,False
103,0.775887,0.000921,False
104,0.775329,0.002186,False
105,0.774181,0.003391,False
106,0.775957,0.000552,False
107,0.77708,0.007658,False
108,0.774212,0.00245,False
109,0.774029,0.00237,False
110,0.774027,0.001146,False
111,0.77435,0.002953,False
112,0.775345,0.001162,False
113,0.775064,0.000228,False
114,0.774503,0.001847,False
115,0.774167,0.002038,False
116,0.776258,8.7e-05,False
117,0.7754,0.000312,False
118,0.77408,0.000769,False
119,0.774258,0.003154,False
120,0.773232,0.002717,False
121,0.772936,0.001739,False
122,0.773435,0.001529,False
123,0.775461,0.001845,False
124,0.774518,0.000719,False
125,0.773763,0.003929,False
126,0.773136,0.005151,False
127,0.773174,0.004231,False
128,0.774051,0.000319,False
129,0.774631,0.002405,False
130,0.773212,0.004082,False
131,0.772446,0.001739,False
132,0.772717,0.000156,False
133,0.773595,0.003167,False
134,0.77388,0.003439,False
135,0.77315,0.001138,False
136,0.773061,0.00376,False
137,0.772354,0.001657,False
138,0.772083,0.004264,False
139,0.77165,0.002753,False
140,0.772022,0.005011,False
141,0.773289,0.001824,False
142,0.77203,0.002742,False
143,0.772512,0.003087,False
144,0.772429,0.00358,False
145,0.771184,0.002778,False
146,0.772025,0.000769,False
147,0.77143,0.000371,False
148,0.772053,0.000481,False
149,0.772854,0.000976,False
150,0.771681,0.001441,False
151,0.772365,0.000167,False
152,0.770631,0.002364,False
153,0.771593,0.000258,False
154,0.771665,0.001132,False
155,0.771121,0.002333,False
156,0.770547,0.003469,False
157,0.770567,0.001997,False
158,0.770889,0.001862,False
159,0.771913,0.000362,False
160,0.771616,0.001588,False
161,0.770486,0.001483,False
162,0.770908,0.00156,False
163,0.770278,0.001575,False
164,0.770992,0.001584,False
165,0.770908,1.4e-05,False
166,0.76979,0.000326,False
167,0.771355,0.001251,False
168,0.769727,0.001444,False
169,0.771549,0.001152,False
170,0.769896,0.00067,False
171,0.770331,0.002482,False
172,0.770249,0.000111,False
173,0.770621,0.001472,False
174,0.770557,0.001291,False
175,0.770968,0.003561,False
176,0.770051,0.006644,False
177,0.770855,0.001621,False
178,0.769721,0.001732,False
179,0.770558,0.003511,False
180,0.768846,0.002213,False
181,0.770198,0.002727,False
182,0.769212,0.003845,False
183,0.771768,0.000242,False
184,0.769208,0.002278,False
185,0.76905,0.001448,False
186,0.770668,0.000253,False
187,0.768011,0.002787,False
188,0.767896,0.003595,False
189,0.767588,0.006285,False
190,0.769043,0.002369,False
191,0.767306,0.004508,False
192,0.767868,0.00474,False
193,0.767472,0.003052,False
194,0.76904,0.00201,False
195,0.767193,0.004277,False
196,0.769027,0.004892,False
197,0.769976,0.000641,False
198,0.768867,0.002479,False
199,0.766784,0.003408,False
200,0.767096,0.002407,False
201,0.768245,0.003163,False
202,0.768139,0.003099,False
203,0.768236,0.001657,False
204,0.767695,0.005478,False
205,0.766096,0.003491,False
206,0.767768,0.000725,False
207,0.767939,0.001362,False
208,0.767077,0.001471,False
209,0.766574,0.000175,False
210,0.766778,0.00184,False
211,0.768327,0.000345,False
212,0.767101,0.001484,False
213,0.766707,0.000433,False
214,0.766744,0.001293,False
215,0.766732,0.007109,False
216,0.763882,0.005662,False
217,0.766194,0.005654,False
218,0.766482,0.005166,False
219,0.7659,0.005443,False
220,0.76524,0.005125,False
