cycle,delta,anomaly,alert
1,0,0.004767,False
2,0.001361,0.002025,False
3,0.001027,0.002539,False
4,0.000582,0.002374,False
5,0.000985,0.001486,False
6,0.001374,0.001887,False
7,0.001131,0.002223,False
8,0.003967,0.006715,False
9,0.000104,0.001516,False
10,0.002024,0.005019,False
11,0.000846,0.002151,False
12,0.001476,0.003426,False
13,0.003102,0.006815,False
14,0.00095,0.002585,False
15,0.000398,0.001765,False
16,0.000923,0.00181,False
17,0.01421,0.050855,False
18,0.004859,0.010505,False
19,0.011489,0.047965,False
20,0.005554,0.009708,False
21,0.002479,0.006281,False
22,0.002735,0.006014,False
23,0.002387,0.005441,False
24,0.005909,0.013652,False
25,0.000363,0.002541,False
26,0.002652,0.006982,False
27,0.013786,0.052535,False
28,0.002288,0.00731,False
29,0.003851,0.009424,False
30,0.000539,0.006572,False
31,5.1e-05,0.002672,False
32,0.000861,0.003254,False
33,0.000844,0.004673,False
34,0.00132,0.004752,False
35,0.002938,0.006558,False
36,0.002246,0.007644,False
37,0.008487,0.016053,False
38,3.3e-05,0.002146,False
39,0.001628,0.003837,False
40,0.00212,0.005707,False
41,0.001642,0.005185,False
42,7.3e-05,0.003438,False
43,0.000494,0.002594,False
44,0.002885,0.008357,False
45,0.002884,0.007911,False
46,0.002423,0.005641,False
47,0.000667,0.005713,False
48,0.002444,0.007113,False
49,0.005476,0.009981,False
50,0.002362,0.007032,False
51,0.001566,0.002858,False
52,0.000738,0.002937,False
53,0.000279,0.000788,False
54,0.000631,0.00263,False
55,0.002702,0.006038,False
56,0.000917,0.00212,False
57,0.000199,0.0013,False
58,0.000255,0.0028,False
59,0.003617,0.009634,False
60,0.001325,0.002836,False
61,0.007783,0.016743,False
62,0.001998,0.00404,False
63,0.00234,0.004322,False
64,0.001449,0.002463,False
65,0.000137,0.001952,False
66,0.002581,0.005662,False
67,0.001216,0.002094,False
68,0.000655,0.002226,False
69,0.00026,0.003353,False
70,0.001499,0.007487,False
71,0.001961,0.004653,False
72,0.00215,0.003234,False
73,0.001892,0.003482,False
74,0.000387,0.001171,False
75,0.001318,0.002199,False
76,0.001736,0.003659,False
77,0.003156,0.006994,False
78,0.004695,0.01388,False
79,0.005036,0.00831,False
80,0.00018,0.002783,False
81,0.000636,0.003655,False
82,0.001518,0.003227,False
83,0.000164,0.000582,False
84,0.001794,0.00555,False
85,0.001554,0.002539,False
86,0.000636,0.001746,False
87,0.002316,0.003604,False
88,0.000953,0.004928,False
89,0.001295,0.005037,False
90,0.00118,0.00469,False
91,0.000996,0.00277,False
92,0.001339,0.006142,False
93,6.2e-05,0.00222,False
94,0.001829,0.002736,False
95,0.002084,0.005089,False
96,0.005936,0.011391,False
97,0.000855,0.002111,False
98,0.001407,0.002974,False
99,0.000431,0.001739,False
100,0.002251,0.004726,False
101,0.000164,0.000879,False
102,0.000939,0.002362,False
103,0.001499,0.003724,False
104,0.001265,0.004736,False
105,0.001205,0.001773,False
106,0.002839,0.006338,False
107,0.00821,0.01932,False
108,0.005208,0.008176,False
109,8e-05,0.002329,False
110,0.001224,0.002024,False
111,0.001807,0.003496,False
112,0.004115,0.00855,False
113,0.000934,0.005069,False
114,0.002075,0.005097,False
115,0.000191,0.00303,False
116,0.002125,0.005416,False
117,0.000225,0.001461,False
118,0.000457,0.003052,False
119,0.003923,0.008356,False
120,0.000437,0.0018,False
121,0.000978,0.001839,False
122,0.00021,0.001585,False
123,0.000316,0.003432,False
124,0.002564,0.005608,False
125,0.00321,0.007792,False
126,0.001222,0.002193,False
127,0.00092,0.001835,False
128,0.00455,0.009462,False
129,0.002724,0.008996,False
130,0.001677,0.003715,False
131,0.002343,0.004352,False
132,0.001583,0.003082,False
133,0.003011,0.006929,False
134,0.000272,0.003714,False
135,0.002301,0.003321,False
136,0.002622,0.006179,False
137,0.002103,0.003194,False
138,0.002607,0.006432,False
139,0.001511,0.002597,False
140,0.002258,0.003961,False
141,0.003187,0.006457,False
142,0.000918,0.00302,False
143,0.000345,0.000965,False
144,0.000493,0.002019,False
145,0.000802,0.002846,False
146,0.002009,0.004152,False
147,0.00114,0.002539,False
148,0.000852,0.002536,False
149,0.001457,0.00346,False
150,0.000465,0.001984,False
