cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,noise,contradiction,pressure,drift
1,-0.003144,0.944298,0.836367,0.804861,0.001832,0.004593,0.000528,-0.012475,0.025,0,1,0.004
2,-0.001414,0.944335,0.836364,0.808876,0.002338,0.004096,0.000546,0.006864,0.025,0,1,0.008
3,-0.002092,0.94535,0.836304,0.810849,0.002797,0.002713,0.000616,-0.002691,0.025,0,1,0.012
4,-0.001355,0.944891,0.836332,0.812811,0.003057,0.007837,0.000157,0.002923,0.025,0,1,0.016
5,-0.00267,0.944137,0.836376,0.814737,0.003421,0.000795,9.7e-05,-0.005217,0.025,0,1,0.02
6,-0.004159,0.943035,0.836439,0.812852,0.003743,2.8e-05,3.5e-05,-0.005906,0.025,0,1,0.024
7,-0.002917,0.943314,0.836423,0.81417,0.003813,0.00324,9e-05,0.004926,0.025,0,1,0.028
8,0.000381,0.942321,0.836479,0.810513,0.003474,0.006694,0.000265,0.013087,0.025,0,1,0.032
9,-0.000824,0.944458,0.836357,0.801903,0.003141,0.014665,0.000285,-0.004782,0.025,0,1,0.036
10,-0.004577,0.940582,0.836571,0.795577,0.003033,0.028953,5.7e-05,-0.014889,0.025,0,1,0.04
11,-0.007881,0.941691,0.836513,0.790359,0.003002,0.024063,0.000351,-0.013111,0.025,0,1,0.044
12,-0.005101,0.943483,0.836414,0.798743,0.002925,0.014383,0.000475,0.011031,0.025,0,1,0.048
13,0.000601,0.940215,0.836589,0.782908,0.002736,0.03561,0.000351,0.022624,0.025,0,1,0.052
14,0.003104,0.942732,0.836456,0.793418,0.002618,0.018301,0.000311,0.009934,0.025,0,1,0.056
15,0.003235,0.944971,0.836327,0.805482,0.002589,0.005696,0.000398,0.00052,0.025,0,1,0.06
16,0.001076,0.940907,0.836554,0.817253,0.00268,0.002475,0.000586,-0.00857,0.025,0,1,0.064
17,0.002856,0.942216,0.836484,0.806339,0.002642,0.008813,0.000747,0.007066,0.025,0,1,0.068
18,0.000586,0.940771,0.836561,0.801656,0.002565,0.016072,0.000829,-0.009012,0.025,0,1,0.072
19,-0.000269,0.943054,0.836438,0.810796,0.002346,0.013522,0.000384,-0.003389,0.025,0,1,0.076
20,-0.004856,0.941046,0.836547,0.79226,0.002175,0.014717,0.000134,-0.018203,0.025,0,1,0.08
21,-0.007967,0.940381,0.836581,0.781689,0.002012,0.045479,0.000139,-0.012346,0.025,0,1,0.084
22,-0.013154,0.938358,0.836679,0.77473,0.001914,0.036912,0.00017,-0.020581,0.025,0,1,0.088
23,-0.00558,0.939025,0.836648,0.773797,0.001786,0.039009,0.000314,0.030055,0.025,0,1,0.092
24,-0.00543,0.946038,0.836262,0.80032,0.001884,0.026153,0.000836,0.000596,0.025,0,1,0.096
25,-0.001739,0.941528,0.836521,0.789255,0.002071,0.02141,0.001116,0.014647,0.025,0,1,0.1
26,-0.002182,0.942957,0.836443,0.809237,0.002305,0.011283,0.000849,-0.001759,0.025,0,1,0.104
27,-0.001917,0.941665,0.836514,0.803535,0.00267,0.008091,0.000404,0.001051,0.025,0,1,0.108
28,-0.001689,0.940493,0.836575,0.816215,0.002985,0.012949,0.000307,0.000906,0.025,0,1,0.112
29,-0.002128,0.940636,0.836568,0.800317,0.003162,0.016,0.00037,-0.001742,0.025,0,1,0.116
30,-0.001911,0.942355,0.836477,0.809321,0.00307,0.013672,0.000955,0.000861,0.025,0,1,0.12
31,-0.004981,0.941566,0.836519,0.78822,0.002872,0.026122,0.001343,-0.012183,0.025,0,1,0.124
32,-0.008355,0.939108,0.836644,0.774776,0.002593,0.055336,0.00117,-0.013388,0.025,0,1,0.128
33,-0.016051,0.937006,0.836741,0.765021,0.002559,0.043085,0.001051,-0.030543,0.025,0,1,0.132
34,-0.00411,0.935837,0.836791,0.754521,0.002472,0.048757,0.000897,0.047388,0.025,0,1,0.136
35,-0.010742,0.921698,0.83718,0.753843,0.002538,0.213235,0.00289,-0.026327,0.025,0,1,0.14
36,-0.00637,0.940529,0.836573,0.788454,0.002716,0.015858,0.004057,0.017358,0.025,0,1,0.144
37,-0.006475,0.940321,0.836584,0.813166,0.003008,0.010887,0.004405,-0.000416,0.025,0,1,0.148
38,-0.010263,0.934993,0.836825,0.813441,0.003544,0.008263,0.004575,-0.015041,0.025,0,1,0.152
39,-0.00808,0.936363,0.836769,0.819175,0.004122,0.000127,0.004505,0.008666,0.025,0,1,0.156
40,-0.003512,0.936044,0.836782,0.816392,0.004269,0.007399,0.004694,0.018135,0.025,0,1,0.16
41,-0.004327,0.940343,0.836583,0.80295,0.004072,0.013924,0.005489,-0.003235,0.025,0,1,0.164
