cycle,trust,deviation,alert
1,0.777995,0.003144,False
2,0.77755,0.001414,False
3,0.77736,0.002092,False
4,0.776962,0.001355,False
5,0.776061,0.00267,False
6,0.77577,0.004159,False
7,0.775848,0.002917,False
8,0.776753,0.000381,False
9,0.779104,0.000824,False
10,0.778316,0.004577,False
11,0.779072,0.007881,False
12,0.778554,0.005101,False
13,0.781521,0.000601,False
14,0.779766,0.003104,False
15,0.778078,0.003235,False
16,0.77479,0.001076,False
17,0.777058,0.002856,False
18,0.777962,0.000586,False
19,0.776965,0.000269,False
20,0.77908,0.004856,False
21,0.780347,0.007967,False
22,0.780018,0.013154,False
23,0.781945,0.00558,False
24,0.779029,0.00543,False
25,0.780466,0.001739,False
26,0.776862,0.002182,False
27,0.777621,0.001917,False
28,0.774736,0.001689,False
29,0.777876,0.002128,False
30,0.776697,0.001911,False
31,0.780038,0.004981,False
32,0.781223,0.008355,False
33,0.780923,0.016051,False
34,0.785015,0.00411,False
35,0.778972,0.010742,False
36,0.779364,0.00637,False
37,0.77433,0.006475,False
38,0.771713,0.010263,False
39,0.771468,0.00808,False
40,0.77283,0.003512,False
41,0.77681,0.004327,False
42,0.781486,0.00965,False
43,0.785598,0.005718,False
44,0.785718,0.017288,False
45,0.789912,0.011279,False
46,0.781331,0.01444,False
47,0.784038,0.001584,False
48,0.779903,0.001789,False
49,0.765929,0.01312,False
50,0.771618,0.007605,False
51,0.772255,0.008849,False
52,0.778372,0.003438,False
53,0.780561,0.009046,False
54,0.78783,0.008441,False
55,0.790908,0.008184,False
56,0.790678,0.008233,False
57,0.788749,0.006356,False
58,0.78158,0.000313,False
59,0.776115,0.000259,False
60,0.772441,0.003813,False
61,0.775503,0.003153,False
62,0.765272,0.013593,False
63,0.774374,0.011765,False
64,0.781431,0.006591,False
65,0.789924,0.007349,False
66,0.786384,0.020521,False
67,0.790613,0.003517,False
68,0.787149,0.00644,False
69,0.785208,0.006962,False
70,0.776201,0.004805,False
71,0.769026,0.001084,False
72,0.770048,0.001443,False
73,0.766548,0.003926,False
74,0.772622,0.010753,False
75,0.77713,0.000538,False
76,0.785079,0.003575,False
77,0.792881,0.002645,False
78,0.794408,0.001574,False
79,0.783387,0.004763,False
80,0.781863,0.000414,False
81,0.7719,0.000958,False
82,0.769331,0.003993,False
83,0.765553,0.010781,False
84,0.767584,3.9e-05,False
85,0.772983,0.00017,False
86,0.780785,0.006667,False
87,0.788302,0.006037,False
88,0.792747,0.006344,False
89,0.790486,0.006476,False
90,0.783812,0.014954,False
91,0.773867,0.01762,False
92,0.769632,0.013725,False
93,0.762394,0.022011,False
94,0.760339,0.025264,False
95,0.762279,0.014136,False
96,0.770226,0.012037,False
97,0.77695,0.00779,False
98,0.785436,0.008512,False
99,0.791215,0.007094,False
100,0.790791,0.008386,False
101,0.785813,0.007455,False
102,0.776285,0.011982,False
103,0.769763,0.008033,False
104,0.763738,0.019055,False
105,0.762143,0.018343,False
106,0.768142,0.005683,False
107,0.771616,0.009057,False
108,0.775702,0.009288,False
109,0.781966,0.012313,False
110,0.782411,0.016828,False
111,0.787563,0.013789,False
112,0.778888,0.003215,False
113,0.774202,0.004935,False
114,0.772813,0.002541,False
115,0.765404,0.006285,False
116,0.765031,0.007902,False
117,0.767343,0.000812,False
118,0.772314,0.008394,False
119,0.773137,0.006847,False
120,0.787305,0.005338,False
121,0.785991,0.009328,False
122,0.78887,0.004969,False
123,0.783857,0.001845,False
124,0.777022,0.004895,False
125,0.770544,0.012176,False
126,0.768042,0.000882,False
127,0.764572,0.000261,False
128,0.765105,0.012301,False
129,0.773552,0.000233,False
130,0.776284,0.001794,False
131,0.783818,0.006265,False
132,0.784683,0.009467,False
133,0.784301,0.000272,False
134,0.781701,0.007601,False
135,0.777309,0.008101,False
136,0.76936,0.02041,False
137,0.763769,0.011124,False
138,0.760937,0.007604,False
139,0.762873,0.016703,False
140,0.775241,0.017259,False
141,0.77043,0.014352,False
142,0.780906,0.006754,False
143,0.790615,0.003182,False
144,0.787709,0.001505,False
145,0.786751,0.002556,False
146,0.776509,0.011951,False
147,0.766003,0.02391,False
148,0.764227,0.011718,False
149,0.760115,0.013112,False
150,0.761602,0.019521,False
151,0.771067,0.015742,False
152,0.774618,0.007225,False
153,0.781424,0.001227,False
154,0.788206,0.001001,False
155,0.789075,0.002461,False
156,0.785033,0.003741,False
157,0.773176,0.010097,False
158,0.772829,0.010449,False
159,0.765219,0.002473,False
160,0.761378,0.001174,False
161,0.763371,0.006953,False
162,0.774143,0.005219,False
163,0.777623,0.005632,False
164,0.779997,0.009814,False
165,0.786429,0.007706,False
166,0.78804,0.005814,False
167,0.782544,0.00014,False
168,0.775185,0.006235,False
169,0.768072,0.009627,False
170,0.765064,0.001944,False
171,0.758781,0.003723,False
172,0.76237,0.008904,False
173,0.769799,0.004811,False
174,0.777735,0.005263,False
175,0.776189,0.012641,False
176,0.787818,0.008333,False
177,0.787826,0.011968,False
178,0.778802,0.000115,False
179,0.774929,0.01146,False
180,0.756156,0.020808,False
181,0.759836,0.012853,False
182,0.754687,0.013254,False
183,0.759564,0.014106,False
184,0.761423,0.001717,False
185,0.77657,0.00491,False
186,0.776315,0.013146,False
187,0.792732,0.003519,False
188,0.791306,0.005773,False
189,0.777905,0.004976,False
190,0.77414,0.013896,False
191,0.751351,0.027813,False
192,0.759161,0.018849,False
193,0.752009,0.016513,False
194,0.758392,0.020316,False
195,0.758906,0.003003,False
196,0.779635,0.005262,False
197,0.779484,0.011913,False
