cycle,delta,anomaly,alert
1,0,0.004143,False
2,0.00173,0.00325,False
3,0.000678,0.001576,False
4,0.000737,0.002587,False
5,0.001315,0.001943,False
6,0.001489,0.00201,False
7,0.001242,0.002332,False
8,0.003298,0.005818,False
9,0.001205,0.004607,False
10,0.003753,0.010838,False
11,0.003304,0.009317,False
12,0.00278,0.006702,False
13,0.005702,0.014844,False
14,0.002503,0.007082,False
15,0.000131,0.001395,False
16,0.002159,0.00351,False
17,0.00178,0.004301,False
18,0.00227,0.006428,False
19,0.000855,0.003928,False
20,0.004587,0.009126,False
21,0.003111,0.013299,False
22,0.005187,0.014377,False
23,0.007574,0.018029,False
24,0.00015,0.005599,False
25,0.003691,0.009459,False
26,0.000443,0.003021,False
27,0.000265,0.002054,False
28,0.000228,0.002958,False
29,0.000439,0.003863,False
30,0.000217,0.003217,False
31,0.00307,0.009613,False
32,0.003374,0.015829,False
33,0.007696,0.019157,False
34,0.011941,0.025957,False
35,0.006632,0.052128,False
36,0.004372,0.009853,False
37,0.000105,0.003199,False
38,0.003788,0.007654,False
39,0.002183,0.003857,False
40,0.004568,0.008551,False
41,0.000815,0.004977,False
42,0.005323,0.016595,False
43,0.003932,0.05131,False
44,0.01157,0.033358,False
45,0.006009,0.056954,False
46,0.003161,0.050271,False
47,0.012856,0.030207,False
48,0.003373,0.007811,False
49,0.011331,0.05738,False
50,0.005515,0.011127,False
51,0.001244,0.002113,False
52,0.005411,0.008726,False
53,0.005608,0.048456,False
54,0.000605,0.048516,False
55,0.016625,0.043194,False
56,0.016417,0.043508,False
57,0.001877,0.051912,False
58,0.006043,0.048733,False
59,0.000572,0.006123,False
60,0.003554,0.006548,False
61,0.00066,0.007413,False
62,0.01044,0.05623,False
63,0.001828,0.006331,False
64,0.005174,0.048853,False
65,0.000758,0.050331,False
66,0.013172,0.035906,False
67,0.017004,0.040997,False
68,0.002923,0.051446,False
69,0.000522,0.04294,False
70,0.002157,0.009369,False
71,0.005889,0.055982,False
72,0.000359,0.000774,False
73,0.005369,0.054229,False
74,0.006827,0.013896,False
75,0.010215,0.050659,False
76,0.004113,0.049905,False
77,0.00622,0.055091,False
78,0.004219,0.052898,False
79,0.006337,0.050809,False
80,0.005177,0.009704,False
81,0.000544,0.010553,False
82,0.003035,0.055551,False
83,0.006788,0.0114,False
84,0.010742,0.058956,False
85,0.000209,0.01059,False
86,0.006497,0.01266,False
87,0.00063,0.043335,False
88,0.000307,0.045617,False
89,0.01282,0.03307,False
90,0.008478,0.022601,False
91,0.002666,0.006275,False
92,0.003895,0.019335,False
93,0.008286,0.057606,False
94,0.003253,0.007455,False
95,0.011128,0.062793,False
96,0.002099,0.021755,False
97,0.004247,0.00907,False
98,0.000722,0.038279,False
99,0.001418,0.042514,False
100,0.001292,0.044789,False
101,0.000931,0.04406,False
102,0.004527,0.008239,False
103,0.003949,0.02256,False
104,0.011022,0.056785,False
105,0.000712,0.003004,False
106,0.01266,0.059005,False
107,0.003374,0.023257,False
108,0.000231,0.004684,False
109,0.003025,0.040224,False
110,0.004515,0.038117,False
111,0.003039,0.042479,False
112,0.010574,0.044779,False
113,0.00172,0.01196,False
114,0.007476,0.032821,False
115,0.008826,0.060172,False
116,0.001617,0.00665,False
117,0.008714,0.059194,False
118,0.009206,0.036199,False
119,0.001547,0.012441,False
120,0.001509,0.039789,False
121,0.00399,0.038484,False
122,0.004359,0.040588,False
123,0.006814,0.044248,False
124,0.00305,0.020349,False
125,0.007281,0.034828,False
126,0.013058,0.063875,False
127,0.001143,0.004245,False
128,0.01204,0.060352,False
129,0.012068,0.044798,False
130,0.002027,0.01504,False
131,0.004471,0.037435,False
132,0.003202,0.035192,False
133,0.009195,0.038466,False
134,0.007873,0.042548,False
135,0.0005,0.01824,False
136,0.012309,0.048152,False
137,0.009286,0.060133,False
138,0.00352,0.009477,False
139,0.009099,0.060697,False
140,0.000556,0.003831,False
141,0.002907,0.017424,False
142,0.007598,0.040152,False
143,0.003572,0.006968,False
144,0.001677,0.006825,False
145,0.001051,0.034366,False
146,0.009395,0.036482,False
147,0.011959,0.044667,False
148,0.012192,0.064044,False
149,0.001394,0.006423,False
150,0.006409,0.059116,False
151,0.003779,0.013164,False
152,0.008517,0.029883,False
153,0.005998,0.033482,False
154,0.000226,0.003847,False
155,0.00146,0.004004,False
156,0.00128,0.032235,False
157,0.006356,0.029524,False
158,0.000352,0.008087,False
159,0.007976,0.06037,False
160,0.003647,0.011764,False
161,0.008127,0.061476,False
162,0.001734,0.010322,False
163,0.010851,0.041769,False
164,0.004182,0.02932,False
165,0.002108,0.006285,False
