cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,noise,contradiction,pressure,drift
1,-0.002308,0.944758,0.836339,0.806949,0.001287,0.004269,0.000339,-0.009159,0.0168,0,1,0
2,-0.001332,0.945336,0.836305,0.812338,0.001657,0.000429,0.000269,0.003873,0.0186,0,1,0
3,-0.002203,0.945047,0.836322,0.809298,0.002002,0.004368,0.000299,-0.003457,0.0204,0,1,0
4,-0.001739,0.945458,0.836297,0.812049,0.002144,0.006959,1.4e-05,0.001844,0.0222,0,1,0
5,-0.00276,0.945104,0.836319,0.813481,0.002326,0.000764,5.9e-05,-0.004052,0.024,0,1,0
6,-0.004252,0.943965,0.836386,0.811205,0.002538,2.9e-05,0.000121,-0.005923,0.0258,0,1,0
7,-0.003058,0.944193,0.836373,0.810543,0.002658,0.003577,0.00023,0.004739,0.0276,0,1,0
8,0.001554,0.941348,0.836531,0.803802,0.002392,0.007872,0.000195,0.0183,0.0294,0,1,0
9,0.001552,0.94588,0.836271,0.809282,0.002145,0.008418,2.6e-05,-8e-06,0.0312,0,1,0
10,-0.00116,0.942507,0.836468,0.808095,0.002133,0.014986,0.000369,-0.01076,0.033,0,1,0
11,-0.002332,0.94486,0.836333,0.807572,0.002101,0.006546,0.000643,-0.004653,0.0348,0,1,0
12,-0.004522,0.94279,0.836453,0.804437,0.002122,0.009864,0.000789,-0.008689,0.0366,0,1,0
13,0.000187,0.941774,0.836508,0.794779,0.001997,0.019553,0.000825,0.018685,0.0384,0,1,0
14,0.001529,0.944839,0.836335,0.801554,0.001935,0.009618,0.000887,0.005325,0.0402,0,1,0
15,0.000858,0.946001,0.836264,0.81007,0.001899,0.00957,0.000706,-0.002659,0.042,0,1,0
16,-0.000654,0.942483,0.83647,0.813878,0.001884,0.004336,0.000568,-0.006002,0.0438,0,1,0
17,0.003022,0.943286,0.836425,0.792471,0.001793,0.016075,0.000532,0.014585,0.0456,0,1,0
18,-0.001698,0.939284,0.836635,0.793234,0.001843,0.030473,0.00073,-0.018727,0.0474,0,1,0
19,-0.000162,0.942248,0.836483,0.800406,0.00181,0.02661,0.000515,0.006094,0.0492,0,1,0
20,-0.003933,0.942866,0.836448,0.806322,0.0019,0.005881,4.3e-05,-0.014965,0.051,0,1,0
21,-0.00323,0.944163,0.836375,0.80825,0.001994,0.017993,4e-06,0.002789,0.0528,0,1,0
22,-0.003753,0.943239,0.836428,0.811063,0.001985,0.003949,0.000296,-0.002076,0.0546,0,1,0
23,-0.004928,0.945324,0.836305,0.805932,0.001996,0.003318,0.000623,-0.00466,0.0564,0,1,0
24,-0.015508,0.93204,0.836935,0.761329,0.002333,0.03745,0.001243,-0.04199,0.0582,0,1,0
25,-0.013674,0.942166,0.836487,0.809396,0.002756,0.001417,0.00157,0.00728,0.06,0,1,0
26,-0.017197,0.937086,0.836737,0.794184,0.003189,0.027892,0.001643,-0.01398,0.0618,0,1,0
27,-0.011399,0.936722,0.836753,0.790084,0.003629,0.020583,0.001592,0.02301,0.0636,0,1,0
28,-0.009725,0.939315,0.836634,0.801302,0.00391,0.033876,0.002084,0.006643,0.0654,0,1,0
29,-0.013059,0.936899,0.836745,0.782477,0.004355,0.043007,0.002181,-0.013232,0.0672,0,1,0
30,-0.005553,0.934077,0.836861,0.785494,0.004517,0.037736,0.002415,0.02979,0.069,0,1,0
31,0.009719,0.918242,0.837214,0.782327,0.004643,0.161383,0.000465,0.060597,0.0708,0,1,0
32,0.012903,0.938535,0.836671,0.806271,0.004621,0.002859,0.001206,0.012634,0.0726,0,1,0
33,-0.001706,0.914313,0.837225,0.775194,0.004715,0.200582,0.000218,-0.057961,0.0744,0,1,0
34,-0.000854,0.943423,0.836417,0.802982,0.004734,0.033781,5.8e-05,0.003377,0.0762,0,1,0
35,-0.007998,0.935354,0.836811,0.799566,0.005063,0.01236,0.000238,-0.028344,0.078,0,1,0
36,-0.013332,0.935467,0.836806,0.781437,0.005543,0.050503,9e-06,-0.021163,0.0798,0,1,0
37,-0.022939,0.926041,0.837103,0.768295,0.006048,0.035535,0.00037,-0.038112,0.0816,0,1,0
