cycle,trust,deviation,alert
1,0.777899,0.002308,False
2,0.77721,0.001332,False
3,0.777547,0.002203,False
4,0.777227,0.001739,False
5,0.776618,0.00276,False
6,0.776393,0.004252,False
7,0.776841,0.003058,False
8,0.777533,0.001554,False
9,0.777959,0.001552,False
10,0.777143,0.00116,False
11,0.777803,0.002332,False
12,0.777298,0.004522,False
13,0.779755,0.000187,False
14,0.779161,0.001529,False
15,0.777981,0.000858,False
16,0.77608,0.000654,False
17,0.780158,0.003022,False
18,0.778922,0.001698,False
19,0.778794,0.000162,False
20,0.777064,0.003933,False
21,0.777255,0.00323,False
22,0.776277,0.003753,False
23,0.777768,0.004928,False
24,0.78008,0.015508,False
25,0.774266,0.013674,False
26,0.774888,0.017197,False
27,0.776744,0.011399,False
28,0.775713,0.009725,False
29,0.777994,0.013059,False
30,0.777933,0.005553,False
31,0.772279,0.009719,False
32,0.77382,0.012903,False
33,0.773936,0.001706,False
34,0.778535,0.000854,False
35,0.775064,0.007998,False
36,0.777661,0.013332,False
37,0.775143,0.022939,False
38,0.769924,0.027333,False
39,0.77206,0.021277,False
40,0.776858,0.013438,False
41,0.774612,0.018945,False
42,0.774359,0.023691,False
43,0.774378,0.022761,False
44,0.775312,0.023437,False
45,0.778656,0.024021,False
46,0.769038,0.029901,False
47,0.780613,0.006488,False
48,0.783902,0.001129,False
49,0.772006,0.013904,False
50,0.782758,0.001617,False
51,0.772181,0.011968,False
52,0.768165,0.007862,False
53,0.776229,0.002635,False
54,0.779759,0.007186,False
55,0.775649,0.02981,False
56,0.771947,0.021035,False
57,0.773319,0.018521,False
58,0.775247,0.018591,False
59,0.774655,0.036171,False
60,0.769227,0.036777,False
61,0.784648,0.042621,False
62,0.762269,0.053599,False
63,0.769277,0.034457,False
64,0.76517,0.03804,False
65,0.765148,0.04512,False
66,0.768903,0.049567,False
67,0.762263,0.029909,False
68,0.768421,0.039582,False
69,0.770373,0.019019,False
70,0.780562,0.024368,False
71,0.775764,0.01886,False
72,0.775352,0.008839,False
73,0.771071,0.008874,False
74,0.767071,0.018954,False
75,0.77648,0.006112,False
76,0.771832,0.001806,False
77,0.786869,0.003109,False
78,0.780083,0.016343,False
79,0.772366,0.003352,False
80,0.778323,0.007924,False
81,0.773719,0.004856,False
82,0.77907,0.003507,False
83,0.776835,0.022817,False
84,0.775739,0.031501,False
85,0.777193,0.047678,False
86,0.764969,0.055927,False
87,0.765913,0.043308,False
88,0.766883,0.030084,False
89,0.770852,0.041872,False
90,0.76514,0.050237,False
91,0.765769,0.036951,False
92,0.779154,0.028586,False
93,0.757671,0.045223,False
94,0.765497,0.029375,False
95,0.774791,0.045596,False
96,0.768508,0.017936,False
97,0.775073,0.018447,False
98,0.77968,0.010147,False
99,0.769675,0.012918,False
100,0.768151,0.008936,False
101,0.765332,0.003381,False
102,0.773627,0.015065,False
103,0.784351,0.000281,False
104,0.78512,0.001788,False
105,0.774846,0.015987,False
106,0.7881,0.003593,False
107,0.780666,0.000722,False
108,0.770277,0.032281,False
109,0.767822,0.02662,False
110,0.771459,0.021093,False
111,0.779144,0.004832,False
112,0.77551,0.011433,False
113,0.779199,0.01403,False
114,0.779762,0.011805,False
115,0.761909,0.026752,False
116,0.779468,0.043373,False
117,0.768645,0.024294,False
118,0.76644,0.0334,False
119,0.773416,0.00698,False
120,0.775066,0.004407,False
121,0.768928,0.002559,False
122,0.77503,0.006643,False
123,0.772425,0.005152,False
124,0.778404,0.005758,False
125,0.789721,0.003183,False
126,0.779268,0.018607,False
127,0.780853,0.00568,False
128,0.773885,0.018127,False
129,0.779422,0.003027,False
130,0.774246,0.01863,False
131,0.770482,0.007641,False
132,0.773499,0.015292,False
133,0.776074,0.011643,False
134,0.780381,0.008174,False
135,0.771831,0.020694,False
136,0.770674,0.001183,False
137,0.772607,0.013481,False
138,0.774332,0.004054,False
139,0.77273,0.013876,False
140,0.770664,0.008769,False
141,0.772796,0.03114,False
142,0.774362,0.007574,False
143,0.779099,0.019261,False
144,0.782143,0.005093,False
145,0.777841,0.018398,False
146,0.774077,0.004569,False
147,0.760281,0.020995,False
148,0.769077,0.001735,False
149,0.784866,0.014619,False
150,0.768396,0.023754,False
151,0.776721,0.007999,False
152,0.767381,0.01769,False
153,0.785228,0.002055,False
154,0.769482,0.015022,False
155,0.772054,0.010715,False
156,0.771541,0.024516,False
