cycle,delta,anomaly,alert
1,0,0.003211,False
2,0.000976,0.001449,False
3,0.000871,0.002103,False
4,0.000464,0.002018,False
5,0.001021,0.001535,False
6,0.001492,0.002033,False
7,0.001194,0.002364,False
8,0.004612,0.007803,False
9,2e-06,0.001692,False
10,0.002712,0.00671,False
11,0.001172,0.003011,False
12,0.00219,0.005069,False
13,0.004709,0.010395,False
14,0.001342,0.003902,False
15,0.000671,0.002955,False
16,0.001512,0.003011,False
17,0.003676,0.008254,False
18,0.00472,0.012574,False
19,0.001536,0.007486,False
20,0.003771,0.006246,False
21,0.000703,0.004543,False
22,0.000523,0.001551,False
23,0.001175,0.002364,False
24,0.01058,0.021939,False
25,0.001834,0.003059,False
26,0.003523,0.010635,False
27,0.005798,0.012217,False
28,0.001674,0.009439,False
29,0.003334,0.013513,False
30,0.007506,0.018105,False
31,0.015272,0.052864,False
32,0.003184,0.005086,False
33,0.014609,0.059763,False
34,0.000852,0.00791,False
35,0.007144,0.012106,False
36,0.005334,0.01726,False
37,0.009607,0.020071,False
38,0.004394,0.010901,False
39,0.006056,0.008615,False
40,0.007839,0.01614,False
41,0.005507,0.051496,False
42,0.004746,0.010731,False
43,0.00093,0.003204,False
44,0.000676,0.010498,False
45,0.000584,0.046365,False
46,0.00588,0.017079,False
47,0.023413,0.046654,False
48,0.007617,0.025824,False
49,0.012775,0.064866,False
50,0.015521,0.036164,False
51,0.013585,0.052753,False
52,0.01983,0.064831,False
53,0.005227,0.008118,False
54,0.004551,0.008414,False
55,0.022624,0.050445,False
56,0.008775,0.013747,False
57,0.002514,0.004991,False
58,7e-05,0.01294,False
59,0.01758,0.047631,False
60,0.000606,0.007517,False
61,0.005844,0.040054,False
62,0.010978,0.055614,False
63,0.019142,0.037228,False
64,0.003583,0.010935,False
65,0.00708,0.057689,False
66,0.004447,0.020362,False
67,0.019658,0.063897,False
68,0.009673,0.056963,False
69,0.020563,0.067481,False
70,0.005349,0.034848,False
71,0.005508,0.017548,False
72,0.010021,0.017064,False
73,3.5e-05,0.043626,False
74,0.01008,0.048148,False
75,0.012842,0.02112,False
76,0.007918,0.018821,False
77,0.001303,0.024511,False
78,0.013234,0.044535,False
79,0.019695,0.031475,False
80,0.011276,0.024527,False
81,0.01278,0.065862,False
82,0.008363,0.026598,False
83,0.01931,0.049982,False
84,0.008684,0.024521,False
85,0.016177,0.033243,False
86,0.008249,0.021319,False
87,0.012619,0.019308,False
88,0.013224,0.035746,False
89,0.011788,0.020541,False
90,0.008365,0.06566,False
91,0.013286,0.024373,False
92,0.008365,0.061536,False
93,0.016637,0.069948,False
94,0.015848,0.025195,False
95,0.016221,0.046119,False
96,0.02766,0.082648,False
97,0.000511,0.009017,False
98,0.0083,0.012936,False
99,0.002771,0.019715,False
100,0.003982,0.010571,False
101,0.012317,0.069241,False
102,0.018446,0.028962,False
103,0.014784,0.046643,False
104,0.001507,0.060843,False
105,0.014199,0.022943,False
106,0.012394,0.039682,False
107,0.004315,0.00949,False
108,0.033003,0.069358,False
109,0.005661,0.017404,False
110,0.005527,0.014107,False
111,0.016261,0.030511,False
112,0.006601,0.057298,False
113,0.002597,0.074045,False
114,0.002225,0.015256,False
115,0.014947,0.07034,False
116,0.016621,0.034391,False
117,0.019079,0.058365,False
118,0.009106,0.066841,False
119,0.04038,0.09124,False
120,0.011387,0.02226,False
121,0.006966,0.015989,False
122,0.004084,0.016499,False
123,0.001491,0.051167,False
124,0.01091,0.017627,False
125,0.002575,0.02639,False
126,0.015424,0.085531,False
127,0.012927,0.022673,False
128,0.012447,0.045485,False
129,0.021154,0.059759,False
130,0.021657,0.059481,False
131,0.026271,0.043875,False
132,0.007651,0.033487,False
133,0.003649,0.01805,False
134,0.003469,0.053088,False
135,0.01252,0.042663,False
136,0.021877,0.034421,False
137,0.014664,0.022534,False
138,0.009427,0.020947,False
139,0.009822,0.021031,False
140,0.022645,0.073362,False
141,0.039909,0.07294,False
142,0.023566,0.082438,False
143,0.011687,0.025913,False
144,0.024354,0.046979,False
145,0.013305,0.02745,False
146,0.022967,0.039118,False
147,0.016426,0.066478,False
148,0.02273,0.07625,False
149,0.016354,0.027057,False
150,0.009135,0.050588,False
151,0.015755,0.034302,False
152,0.025689,0.056018,False
153,0.015635,0.044481,False
154,0.012967,0.023263,False
155,0.004307,0.014012,False
156,0.013801,0.035501,False
157,0.015064,0.035139,False
158,0.001416,0.006122,False
159,0.010575,0.032365,False
160,0.017467,0.035193,False
161,0.00153,0.012342,False
162,0.010723,0.061194,False
163,0.003686,0.073341,False
164,0.020935,0.065057,False
165,0.001842,0.014319,False
166,0.003315,0.029075,False
167,0.006467,0.015361,False
168,0.014338,0.078393,False
169,0.007052,0.076782,False
170,0.009055,0.016066,False
171,0.014972,0.031314,False
172,0.005337,0.015918,False
173,0.027599,0.068664,False
174,0.02388,0.093699,False
175,0.003119,0.007432,False
176,0.007907,0.026134,False
177,0.03633,0.129806,False
178,0.012651,0.073897,False
179,0.01366,0.037873,False
180,0.005182,0.064239,False
181,0.003272,0.063867,False
182,0.001818,0.037149,False
183,0.028293,0.080892,False
184,0.022598,0.041349,False
185,0.027378,0.086294,False
186,0.00847,0.026218,False
187,0.005264,0.016397,False
188,0.013017,0.023228,False
189,0.006411,0.021787,False
190,0.003611,0.053501,False
191,0.032593,0.080225,False
192,0.013086,0.063031,False
193,0.031477,0.058762,False
194,0.0122,0.020785,False
195,0.028443,0.076895,False
196,0.023436,0.042539,False
197,0.04867,0.087935,False
198,0.012516,0.036211,False
199,0.019895,0.073173,False
200,0.003954,0.053936,False
201,0.025372,0.04843,False
202,0.001777,0.017747,False
203,0.011998,0.040242,False
204,0.0036,0.065133,False
205,0.010445,0.020866,False
206,0.036886,0.071703,False
207,0.042579,0.072395,False
208,0.004036,0.018438,False
209,0.001045,0.007121,False
210,0.00441,0.023894,False
211,0.005363,0.064746,False
212,0.002038,0.012549,False
213,0.001402,0.042053,False
214,0.032269,0.078594,False
215,0.022639,0.095351,False
216,0.014278,0.086286,False
217,0.040479,0.086936,False
218,0.031434,0.053105,False
219,0.020977,0.062838,False
220,0.008163,0.013313,False
