cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,noise,contradiction,pressure,drift
1,-0.002743,0.944339,0.836364,0.805616,0.001531,0.005082,0.000403,-0.010886,0.02,0,1,0
2,-0.001652,0.945112,0.836318,0.812173,0.001988,0.000461,0.000337,0.004332,0.02,0,1,0
3,-0.002471,0.94502,0.836324,0.809447,0.00237,0.004282,0.000363,-0.003252,0.02,0,1,0
4,-0.002003,0.945428,0.836299,0.812331,0.002533,0.00627,0.000103,0.00186,0.02,0,1,0
5,-0.002812,0.945301,0.836307,0.813565,0.002702,0.000636,2.4e-05,-0.003212,0.02,0,1,0
6,-0.003917,0.9445,0.836355,0.811955,0.002874,2.2e-05,0.000147,-0.004385,0.02,0,1,0
7,-0.002983,0.94467,0.836345,0.81141,0.002962,0.002592,0.000221,0.003709,0.02,0,1,0
8,0.000215,0.943203,0.83643,0.806971,0.002774,0.005355,0.000199,0.012687,0.02,0,1,0
9,0.000246,0.946327,0.836244,0.811095,0.00259,0.005396,9.1e-05,0.000123,0.02,0,1,0
10,-0.001373,0.944087,0.836379,0.810543,0.002544,0.009083,0.000153,-0.006423,0.02,0,1,0
11,-0.002008,0.945586,0.836289,0.810436,0.002483,0.003762,0.00032,-0.002521,0.02,0,1,0
12,-0.003181,0.94448,0.836356,0.808914,0.00245,0.00539,0.00041,-0.004656,0.02,0,1,0
13,-0.000684,0.944026,0.836382,0.803919,0.002339,0.010184,0.000436,0.009909,0.02,0,1,0
14,-2e-06,0.945986,0.836265,0.807742,0.002261,0.004785,0.00047,0.002706,0.02,0,1,0
15,-0.000318,0.946456,0.836236,0.81207,0.002195,0.004557,0.000384,-0.001252,0.02,0,1,0
16,-0.000986,0.944724,0.836341,0.81405,0.00214,0.00198,0.000315,-0.002651,0.02,0,1,0
17,0.000671,0.945389,0.836302,0.80448,0.001999,0.00705,0.00029,0.006573,0.02,0,1,0
18,-0.001365,0.943505,0.836412,0.805285,0.001942,0.012858,0.000364,-0.008078,0.02,0,1,0
19,-0.000727,0.944852,0.836334,0.808377,0.001841,0.010817,0.00027,0.002529,0.02,0,1,0
20,-0.002194,0.945189,0.836314,0.811049,0.001803,0.002306,7.2e-05,-0.005819,0.02,0,1,0
21,-0.001879,0.945678,0.836284,0.811899,0.001757,0.006816,4.1e-05,0.001248,0.02,0,1,0
22,-0.002097,0.945401,0.836301,0.812977,0.001665,0.001447,8e-05,-0.000864,0.02,0,1,0
23,-0.002478,0.94622,0.83625,0.811228,0.00159,0.001176,0.000208,-0.001513,0.02,0,1,0
24,-0.006123,0.94166,0.836514,0.795918,0.001692,0.012869,0.000437,-0.014462,0.02,0,1,0
25,-0.005419,0.945052,0.836322,0.812368,0.001825,0.000472,0.000561,0.002791,0.02,0,1,0
26,-0.006468,0.943615,0.836406,0.807678,0.001925,0.009026,0.000601,-0.004162,0.02,0,1,0
27,-0.004563,0.943427,0.836417,0.806353,0.002032,0.006473,0.000597,0.007561,0.02,0,1,0
28,-0.003972,0.944298,0.836367,0.810005,0.002081,0.01036,0.000757,0.002345,0.02,0,1,0
29,-0.004917,0.94376,0.836398,0.804676,0.002207,0.0128,0.000792,-0.003749,0.02,0,1,0
30,-0.00265,0.942894,0.836447,0.805591,0.00224,0.010938,0.000863,0.008994,0.02,0,1,0
31,-0.001643,0.945975,0.836266,0.809796,0.00226,0.000927,0.00084,0.004,0.02,0,1,0
32,-1.1e-05,0.94464,0.836346,0.811207,0.002238,0.000788,0.000736,0.006473,0.02,0,1,0
33,-0.000329,0.945156,0.836316,0.807742,0.00225,0.011996,0.000779,-0.001261,0.02,0,1,0
34,-0.000315,0.946116,0.836257,0.810795,0.002227,0.008866,0.000656,5.7e-05,0.02,0,1,0
35,-0.002254,0.943784,0.836397,0.810188,0.002292,0.003169,0.0006,-0.007697,0.02,0,1,0
36,-0.003647,0.943926,0.836388,0.805742,0.002381,0.012657,0.000436,-0.005525,0.02,0,1,0
37,-0.006,0.941729,0.836511,0.802715,0.00247,0.00871,0.000441,-0.00934,0.02,0,1,0
38,-0.007078,0.943715,0.8364,0.8113,0.002624,0.00661,0.000666,-0.004277,0.02,0,1,0
39,-0.005605,0.943981,0.836385,0.810873,0.002765,0.000102,0.000738,0.005846,0.02,0,1,0
40,-0.003776,0.944182,0.836373,0.807339,0.002813,0.005919,0.000789,0.007257,0.02,0,1,0
41,-0.002172,0.943833,0.836394,0.805863,0.002765,0.011139,0.00089,0.006364,0.02,0,1,0
42,-0.002475,0.946286,0.836246,0.808664,0.00266,0.003351,0.000986,-0.001202,0.02,0,1,0
43,-0.002873,0.946341,0.836243,0.810651,0.002555,0.000374,0.001096,-0.001577,0.02,0,1,0
44,-0.004576,0.942907,0.836446,0.800162,0.00248,0.016133,0.001107,-0.006758,0.02,0,1,0
45,-0.002385,0.943303,0.836424,0.802283,0.002373,0.013536,0.001157,0.008694,0.02,0,1,0
46,-0.004085,0.942714,0.836457,0.809031,0.002381,0.006881,0.001172,-0.006747,0.02,0,1,0
47,0.000438,0.941076,0.836545,0.798953,0.002295,0.012739,0.001081,0.017953,0.02,0,1,0
48,0.001753,0.944314,0.836366,0.803182,0.002245,0.012964,0.001049,0.005216,0.02,0,1,0
49,0.001507,0.945315,0.836306,0.808167,0.00215,0.011523,0.000857,-0.000974,0.02,0,1,0
50,-0.00131,0.943302,0.836424,0.802793,0.002125,0.013153,0.000639,-0.011181,0.02,0,1,0
51,-0.000985,0.946119,0.836257,0.80985,0.002083,0.001183,0.000389,0.001291,0.02,0,1,0
52,-0.001813,0.945196,0.836313,0.812905,0.001991,0.005294,0.000332,-0.003285,0.02,0,1,0
53,-0.000971,0.946171,0.836253,0.812996,0.001813,0.00085,0.00032,0.00334,0.02,0,1,0
54,-0.00178,0.945587,0.836289,0.808392,0.00158,0.001728,0.000413,-0.00321,0.02,0,1,0
55,-0.003739,0.944258,0.836369,0.801609,0.001378,0.00975,0.000526,-0.007775,0.02,0,1,0
