cycle,self_state,stability,rigidity,adaptive_score,observer_a_trust,observer_a_alert,observer_b_anomaly,observer_b_alert,previous_hash,hash
1,-0.002743,0.944339,0.805616,0.836364,0.777938,False,0.003818,False,0000000000000000000000000000000000000000000000000000000000000000,6f1f22f28183fadbacd1512dc264aea80dfdedcec8a33103ad785392afbb26f6
2,-0.001652,0.945112,0.812173,0.836318,0.777104,False,0.001624,False,6f1f22f28183fadbacd1512dc264aea80dfdedcec8a33103ad785392afbb26f6,927d8c53daffc6725dcbcfe0c6952988219faefc87aa5ea381a64cd43403a299
3,-0.002471,0.94502,0.809447,0.836324,0.777454,False,0.002029,False,927d8c53daffc6725dcbcfe0c6952988219faefc87aa5ea381a64cd43403a299,db5b3762d711a3e2b02c10aeb0eb5f1965d973ce13dd30ac89609da8ce2dc5b8
4,-0.002003,0.945428,0.812331,0.836299,0.777108,False,0.001903,False,db5b3762d711a3e2b02c10aeb0eb5f1965d973ce13dd30ac89609da8ce2dc5b8,0fc51ab76abde9a512e3719e591d21614e6717fdb08de1b8b8bd2d25f62aea29
5,-0.002812,0.945301,0.813565,0.836307,0.776657,False,0.001218,False,0fc51ab76abde9a512e3719e591d21614e6717fdb08de1b8b8bd2d25f62aea29,e7033c1e7a29060ad164c9b6248b64ff3b7b645c67e0d670e95bee72d85a07ba
6,-0.003917,0.9445,0.811955,0.836355,0.776489,False,0.001517,False,e7033c1e7a29060ad164c9b6248b64ff3b7b645c67e0d670e95bee72d85a07ba,9824016b20ea8033a9bdf6a7111a3bcc40c9833715b14271364b5dc4f74e3fd8
7,-0.002983,0.94467,0.81141,0.836345,0.776842,False,0.001817,False,9824016b20ea8033a9bdf6a7111a3bcc40c9833715b14271364b5dc4f74e3fd8,c4fa5689cd623799ed15a78b6031d8e7c2f3c311968081ed7e437d8557f31d8a
8,0.000215,0.943203,0.806971,0.83643,0.777791,False,0.005402,False,c4fa5689cd623799ed15a78b6031d8e7c2f3c311968081ed7e437d8557f31d8a,95bf52d20d4685e46575466c8ef10579a29c6a768d71d9313f788df5e5d88119
9,0.000246,0.946327,0.811095,0.836244,0.778007,False,0.001139,False,95bf52d20d4685e46575466c8ef10579a29c6a768d71d9313f788df5e5d88119,a61c452dd14dffc1b216c38bf306d0e8756ad651cd775719969d389a0a63c5a1
10,-0.001373,0.944087,0.810543,0.836379,0.777142,False,0.00402,False,a61c452dd14dffc1b216c38bf306d0e8756ad651cd775719969d389a0a63c5a1,2d4a17938b225595ce688d04ae6cb1ad1bbd375a590834957ba5c09e3e8c0dd3
11,-0.002008,0.945586,0.810436,0.836289,0.777539,False,0.001669,False,2d4a17938b225595ce688d04ae6cb1ad1bbd375a590834957ba5c09e3e8c0dd3,ea11a686ae3af4ebd82a5825c8766d3128a77a9777ba02499a5fdd3676d707a0
12,-0.003181,0.94448,0.808914,0.836356,0.777238,False,0.002735,False,ea11a686ae3af4ebd82a5825c8766d3128a77a9777ba02499a5fdd3676d707a0,964f7a2ad7baef0f8890249d36621d074a6bb6e86055ba0f2b3c3fbbccddb42a
13,-0.000684,0.944026,0.803919,0.836382,0.778584,False,0.005475,False,964f7a2ad7baef0f8890249d36621d074a6bb6e86055ba0f2b3c3fbbccddb42a,f06620e5d7799a18529b3baa94c3d086614a9b0d6e46b6bd837140d1dc5147e2
14,-2e-06,0.945986,0.807742,0.836265,0.778613,False,0.001966,False,f06620e5d7799a18529b3baa94c3d086614a9b0d6e46b6bd837140d1dc5147e2,e89aaf899b123112fcd8ba057d2c16c383f3cb8e8d3d89b447007ba73876bc3a
15,-0.000318,0.946456,0.81207,0.836236,0.777841,False,0.001412,False,e89aaf899b123112fcd8ba057d2c16c383f3cb8e8d3d89b447007ba73876bc3a,ff09fff7ac71e031796a45545762948edfed323b24cefe7bf2320d94cd0c4969
16,-0.000986,0.944724,0.81405,0.836341,0.776731,False,0.001356,False,ff09fff7ac71e031796a45545762948edfed323b24cefe7bf2320d94cd0c4969,ecf968cd7173e6fd238f28fd2e7d8b58e13b8257efb5666c4c7cd8c0c7a91b11
17,0.000671,0.945389,0.80448,0.836302,0.778931,False,0.003691,False,ecf968cd7173e6fd238f28fd2e7d8b58e13b8257efb5666c4c7cd8c0c7a91b11,925cc30dc2344ff14e50b415838ac7292926f15e34b4bcd3b690b33bbc553608
18,-0.001365,0.943505,0.805285,0.836412,0.778,False,0.005377,False,925cc30dc2344ff14e50b415838ac7292926f15e34b4bcd3b690b33bbc553608,61b82a3b2d1902c19002e3aa2859d492d493a95810dc0bb2f08ec691e37bc9cc
19,-0.000727,0.944852,0.808377,0.836334,0.777961,False,0.003073,False,61b82a3b2d1902c19002e3aa2859d492d493a95810dc0bb2f08ec691e37bc9cc,c60ff168aee8831f405b625533ce56c4153677bdeab371af309fe7dfc64076c4
20,-0.002194,0.945189,0.811049,0.836314,0.777246,False,0.002444,False,c60ff168aee8831f405b625533ce56c4153677bdeab371af309fe7dfc64076c4,d39a3b9af66d8a8672563789db33e08d26ab6ff47e7108b3a40fa9ca7d35533d
