cycle,trust,deviation,alert
1,0.777938,0.002743,False
2,0.777104,0.001652,False
3,0.777454,0.002471,False
4,0.777108,0.002003,False
5,0.776657,0.002812,False
6,0.776489,0.003917,False
7,0.776842,0.002983,False
8,0.777791,0.000215,False
9,0.778007,0.000246,False
10,0.777142,0.001373,False
11,0.777539,0.002008,False
12,0.777238,0.003181,False
13,0.778584,0.000684,False
14,0.778613,2e-06,False
15,0.777841,0.000318,False
16,0.776731,0.000986,False
17,0.778931,0.000671,False
18,0.778,0.001365,False
19,0.777961,0.000727,False
20,0.777246,0.002194,False
21,0.777303,0.001879,False
22,0.776951,0.002097,False
23,0.777498,0.002478,False
24,0.778301,0.006123,False
25,0.776291,0.005419,False
26,0.776538,0.006468,False
27,0.777121,0.004563,False
28,0.776801,0.003972,False
29,0.777497,0.004917,False
30,0.777476,0.00265,False
31,0.77787,0.001643,False
32,0.777467,1.1e-05,False
33,0.778269,0.000329,False
34,0.777983,0.000315,False
35,0.776935,0.002254,False
36,0.777593,0.003647,False
37,0.77699,0.006,False
38,0.775725,0.007078,False
39,0.776194,0.005605,False
40,0.777334,0.003776,False
41,0.777833,0.002172,False
42,0.778034,0.002475,False
43,0.777575,0.002873,False
44,0.778181,0.004576,False
45,0.778328,0.002385,False
46,0.776441,0.004085,False
47,0.778635,0.000438,False
48,0.778614,0.001753,False
49,0.778002,0.001507,False
50,0.778441,0.00131,False
51,0.778039,0.000985,False
52,0.776953,0.001813,False
53,0.77743,0.000971,False
54,0.777993,0.00178,False
55,0.778513,0.003739,False
56,0.777083,0.002505,False
57,0.777335,0.002292,False
58,0.77756,0.002343,False
59,0.777489,0.005341,False
60,0.776608,0.004836,False
61,0.779554,0.001535,False
62,0.777667,0.000231,False
63,0.777634,0.001865,False
64,0.777206,0.000244,False
65,0.778199,0.00021,False
66,0.77792,0.001677,False
67,0.777221,0.001217,False
68,0.778226,0.001383,False
69,0.778385,5.1e-05,False
70,0.779083,0.001602,False
71,0.778695,0.000174,False
72,0.77766,0.000829,False
73,0.776253,0.002558,False
74,0.776852,0.002192,False
75,0.777019,0.003355,False
76,0.775651,0.004747,False
77,0.776621,0.007035,False
78,0.77768,0.009821,False
79,0.7768,0.005206,False
80,0.776698,0.005874,False
81,0.776468,0.005524,False
82,0.776603,0.005711,False
83,0.777509,0.005709,False
84,0.776676,0.006853,False
85,0.776992,0.008413,False
86,0.775999,0.007974,False
87,0.775963,0.006488,False
88,0.776796,0.004611,False
89,0.776585,0.006162,False
90,0.776637,0.005698,False
91,0.77645,0.004545,False
92,0.777924,0.005597,False
93,0.776143,0.005618,False
94,0.776197,0.003921,False
95,0.777249,0.005653,False
96,0.779636,0.000573,False
97,0.778186,0.001077,False
98,0.778176,0.000588,False
99,0.777091,0.000845,False
100,0.777118,0.001799,False
101,0.776685,0.001736,False
102,0.777171,0.002952,False
103,0.778102,0.001469,False
104,0.777682,0.00266,False
105,0.777261,0.003245,False
106,0.778498,0.00159,False
107,0.780078,0.004469,False
108,0.777859,0.000568,False
109,0.777452,3.4e-05,False
110,0.777808,7.7e-05,False
111,0.777638,0.001484,False
112,0.778607,0.000494,False
113,0.777989,0.000744,False
114,0.7775,0.002279,False
115,0.777371,0.002173,False
116,0.779278,5.6e-05,False
117,0.778585,0.000459,False
118,0.77787,0.000354,False
119,0.778353,0.002317,False
120,0.777315,0.001432,False
121,0.776906,0.001505,False
122,0.777391,0.001575,False
123,0.778791,0.001932,False
124,0.777837,0.002963,False
125,0.777591,0.004642,False
126,0.776702,0.006252,False
127,0.77689,0.003811,False
128,0.778167,0.000947,False
129,0.777939,0.003868,False
130,0.777578,0.004569,False
131,0.776758,0.002027,False
132,0.777461,0.004949,False
133,0.777285,0.006418,False
