cycle,delta,anomaly,alert
1,0,0.003818,False
2,0.001091,0.001624,False
3,0.000819,0.002029,False
4,0.000468,0.001903,False
5,0.000809,0.001218,False
6,0.001105,0.001517,False
7,0.000934,0.001817,False
8,0.003198,0.005402,False
9,3.1e-05,0.001139,False
10,0.001619,0.00402,False
11,0.000635,0.001669,False
12,0.001173,0.002735,False
13,0.002497,0.005475,False
14,0.000682,0.001966,False
15,0.000316,0.001412,False
16,0.000668,0.001356,False
17,0.001657,0.003691,False
18,0.002036,0.005377,False
19,0.000638,0.003073,False
20,0.001467,0.002444,False
21,0.000315,0.001794,False
22,0.000218,0.000598,False
23,0.000381,0.000788,False
24,0.003645,0.007552,False
25,0.000704,0.001151,False
26,0.001049,0.003333,False
27,0.001905,0.003971,False
28,0.000591,0.003017,False
29,0.000945,0.003986,False
30,0.002267,0.005402,False
31,0.001007,0.001706,False
32,0.001632,0.002494,False
33,0.000318,0.002982,False
34,1.4e-05,0.001924,False
35,0.001939,0.003357,False
36,0.001393,0.004487,False
37,0.002353,0.004989,False
38,0.001078,0.002902,False
39,0.001473,0.002145,False
40,0.001829,0.003796,False
41,0.001604,0.004558,False
42,0.000303,0.001274,False
43,0.000398,0.000828,False
44,0.001703,0.005734,False
45,0.002191,0.005879,False
46,0.0017,0.003892,False
47,0.004523,0.008835,False
48,0.001315,0.004567,False
49,0.000246,0.002806,False
50,0.002817,0.00654,False
51,0.000325,0.000751,False
52,0.000828,0.002236,False
53,0.000842,0.001364,False
54,0.000809,0.001514,False
55,0.001959,0.004685,False
56,0.001234,0.001933,False
57,0.000213,0.000842,False
58,5.1e-05,0.002145,False
59,0.002998,0.007914,False
60,0.000505,0.001716,False
61,0.006371,0.013385,False
62,0.001304,0.002982,False
63,0.001634,0.003977,False
64,0.001621,0.002944,False
65,3.4e-05,0.001897,False
66,0.001887,0.00399,False
67,0.00046,0.001059,False
68,0.000166,0.001529,False
69,0.001332,0.003225,False
70,0.001551,0.006515,False
71,0.001428,0.004048,False
72,0.001003,0.001683,False
73,0.001729,0.00319,False
74,0.000366,0.000935,False
75,0.001163,0.001768,False
76,0.001392,0.002654,False
77,0.002288,0.004582,False
78,0.002786,0.009609,False
79,0.004615,0.008551,False
80,0.000668,0.001935,False
81,0.00035,0.001598,False
82,0.000187,0.001864,False
83,2e-06,0.001022,False
84,0.001144,0.002326,False
85,0.00156,0.003559,False
86,0.000439,0.00261,False
87,0.001486,0.002224,False
88,0.001877,0.005393,False
89,0.001551,0.002725,False
90,0.000464,0.003561,False
91,0.001153,0.002402,False
92,0.001052,0.004243,False
93,2.1e-05,0.001361,False
94,0.001697,0.002638,False
95,0.001732,0.005092,False
96,0.00508,0.009326,False
97,0.000504,0.002419,False
98,0.000489,0.000864,False
99,0.000257,0.002022,False
100,0.000954,0.002371,False
101,6.3e-05,0.001313,False
102,0.001216,0.002088,False
103,0.001483,0.005026,False
104,0.001191,0.003684,False
105,0.000585,0.001397,False
106,0.001655,0.004534,False
107,0.006059,0.015394,False
108,0.003901,0.005744,False
109,0.000602,0.00173,False
110,0.000111,0.0008,False
111,0.001407,0.002713,False
112,0.001978,0.005167,False
113,0.001238,0.004256,False
114,0.001535,0.003824,False
115,0.000106,0.001704,False
116,0.002229,0.004268,False
117,0.000403,0.001937,False
118,0.000105,0.001504,False
119,0.002671,0.005438,False
120,0.000885,0.001378,False
121,7.3e-05,0.000443,False
122,7e-05,0.000752,False
123,0.003507,0.009256,False
124,0.001031,0.002578,False
125,0.001679,0.004093,False
126,0.00161,0.002377,False
127,0.002441,0.003594,False
128,0.002864,0.00698,False
129,0.002921,0.007855,False
130,0.000701,0.001768,False
131,0.002542,0.00454,False
132,0.002922,0.006434,False
133,0.001469,0.003202,False
134,0.000624,0.003849,False
135,0.001478,0.003027,False
136,0.001747,0.003445,False
137,0.002215,0.003008,False
138,0.001648,0.004257,False
139,0.00195,0.002928,False
140,0.000365,0.00274,False
141,0.004239,0.008305,False
142,0.000625,0.002758,False
143,0.000788,0.001759,False
144,0.001868,0.005798,False
145,0.001192,0.002291,False
146,0.001867,0.003144,False
147,0.000138,0.000519,False
148,0.001538,0.002525,False
149,0.002298,0.004471,False
150,0.000256,0.000793,False
151,0.002489,0.006833,False
152,0.001629,0.004957,False
153,0.00165,0.002765,False
154,0.001181,0.003041,False
155,0.000349,0.001222,False
156,0.00091,0.001635,False
157,0.000792,0.002269,False
158,0.000678,0.001393,False
159,0.000855,0.002452,False
160,0.002872,0.005879,False
161,0.00081,0.001297,False
162,0.000187,0.001834,False
163,0.00047,0.002036,False
164,0.001248,0.00175,False
165,0.001211,0.002048,False
166,0.000228,0.001652,False
167,0.001259,0.002282,False
168,0.000119,0.001978,False
169,0.001174,0.003731,False
170,0.001373,0.002279,False
171,0.001553,0.002901,False
172,0.001343,0.002875,False
173,0.001705,0.003501,False
174,0.000302,0.003523,False
175,0.001635,0.005299,False
176,0.003187,0.007419,False
177,0.004382,0.007797,False
178,0.000201,0.001882,False
179,0.001777,0.004662,False
180,0.000795,0.002046,False
181,0.000994,0.003358,False
182,0.001217,0.003526,False
183,0.003734,0.007449,False
184,0.00202,0.004082,False
185,0.001076,0.001841,False
186,0.002198,0.006187,False
187,0.000289,0.001459,False
188,0.000176,0.000586,False
189,0.002208,0.005257,False
190,0.002639,0.005939,False
191,0.002215,0.003956,False
192,4.8e-05,0.001188,False
193,0.001183,0.002794,False
194,0.001411,0.002274,False
195,0.001441,0.002308,False
196,0.001208,0.003775,False
197,0.004697,0.009226,False
198,0.001155,0.003928,False
199,6.6e-05,0.001674,False
200,0.001039,0.002143,False
201,0.001108,0.001962,False
202,0.000112,0.001698,False
203,0.001482,0.003702,False
204,0.002645,0.007634,False
205,0.000761,0.001559,False
206,0.001838,0.002782,False
207,0.002495,0.003761,False
208,0.000865,0.001822,False
209,0.000727,0.001552,False
210,0.00032,0.002396,False
211,0.00106,0.003331,False
212,0.000356,0.00084,False
213,0.001637,0.00332,False
214,0.001302,0.003351,False
215,0.004229,0.008396,False
216,0.001382,0.002463,False
217,0.002434,0.003794,False
218,0.001574,0.00297,False
219,0.000266,0.001759,False
220,0.000954,0.002993,False
