cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,noise,contradiction,pressure,drift
1,-0.003414,0.943689,0.836402,0.803538,0.001912,0.006353,0.0005,-0.013574,0.025,0,1.01,0
2,-0.002059,0.944652,0.836346,0.811731,0.002483,0.000576,0.000417,0.005399,0.025,0,1.02,0
3,-0.003072,0.944538,0.836353,0.808325,0.00296,0.005353,0.000451,-0.004045,0.025,0,1.03,0
4,-0.002495,0.945047,0.836322,0.811925,0.003163,0.007837,0.000125,0.002307,0.025,0,1.04,0
5,-0.003494,0.944889,0.836332,0.813473,0.003375,0.000795,2.7e-05,-0.004,0.025,0,1.05,0
6,-0.004861,0.943889,0.83639,0.811456,0.003589,2.8e-05,0.000183,-0.005488,0.025,0,1.06,0
7,-0.003715,0.944104,0.836378,0.810782,0.003699,0.00324,0.000277,0.00461,0.025,0,1.07,0
8,0.000224,0.942276,0.836481,0.805235,0.003463,0.006694,0.000249,0.015871,0.025,0,1.08,0
9,0.000275,0.946158,0.836254,0.810391,0.003233,0.006745,0.000114,0.000205,0.025,0,1.09,0
10,-0.001705,0.943377,0.83642,0.809701,0.003175,0.011353,0.000191,-0.008008,0.025,0,1.1,0
11,-0.002491,0.945236,0.836311,0.809557,0.003099,0.004703,0.0004,-0.003189,0.025,0,1.11,0
12,-0.003928,0.943873,0.836391,0.80765,0.003057,0.006737,0.000514,-0.005834,0.025,0,1.12,0
13,-0.000896,0.94331,0.836424,0.801418,0.002919,0.01273,0.000546,0.012338,0.025,0,1.13,0
14,-5.3e-05,0.94572,0.836281,0.806184,0.002821,0.005981,0.000589,0.003434,0.025,0,1.14,0
15,-0.000423,0.946335,0.836243,0.811593,0.002739,0.005696,0.000481,-0.001508,0.025,0,1.15,0
16,-0.00123,0.944169,0.836374,0.814077,0.002671,0.002475,0.000395,-0.003305,0.025,0,1.16,0
17,0.000765,0.945031,0.836323,0.802117,0.002495,0.008813,0.000364,0.008183,0.025,0,1.17,0
18,-0.001668,0.942686,0.836458,0.803137,0.002424,0.016072,0.000456,-0.009997,0.025,0,1.18,0
19,-0.000908,0.944333,0.836365,0.806999,0.002298,0.013522,0.000338,0.003126,0.025,0,1.19,0
20,-0.00267,0.944775,0.836338,0.810329,0.002251,0.002883,9e-05,-0.007266,0.025,0,1.2,0
21,-0.002311,0.945381,0.836302,0.811375,0.002194,0.008519,5.1e-05,0.001484,0.025,0,1.21,0
22,-0.002568,0.945021,0.836324,0.812736,0.002079,0.001808,0.000101,-0.001066,0.025,0,1.22,0
23,-0.003031,0.946044,0.836261,0.810539,0.001986,0.001471,0.000262,-0.001921,0.025,0,1.23,0
24,-0.00738,0.940434,0.836578,0.791412,0.002114,0.016087,0.000548,-0.018086,0.025,0,1.24,0
25,-0.006598,0.94467,0.836345,0.812008,0.00228,0.00059,0.000704,0.00326,0.025,0,1.25,0
26,-0.007873,0.942809,0.836452,0.806097,0.002404,0.011283,0.000754,-0.005324,0.025,0,1.26,0
27,-0.005649,0.942614,0.836462,0.804475,0.002537,0.008091,0.000748,0.009304,0.025,0,1.27,0
28,-0.004951,0.943642,0.836405,0.809011,0.002599,0.012949,0.000949,0.002929,0.025,0,1.28,0
29,-0.006059,0.942996,0.836441,0.802363,0.002755,0.016,0.000992,-0.004654,0.025,0,1.29,0
30,-0.0034,0.941907,0.836501,0.803512,0.002796,0.013672,0.00108,0.01119,0.025,0,1.3,0
31,-0.002189,0.945692,0.836283,0.808734,0.00282,0.001158,0.001051,0.005107,0.025,0,1.31,0
32,-0.000251,0.944018,0.836383,0.810499,0.002791,0.000984,0.00092,0.008189,0.025,0,1.32,0
33,-0.000588,0.9447,0.836343,0.806162,0.002806,0.014995,0.000972,-0.001426,0.025,0,1.33,0
