cycle,trust,deviation,alert
1,0.778001,0.003414,False
2,0.776957,0.002059,False
3,0.777397,0.003072,False
4,0.776963,0.002495,False
5,0.776401,0.003494,False
6,0.776195,0.004861,False
7,0.776632,0.003715,False
8,0.777825,0.000224,False
9,0.778086,0.000275,False
10,0.777006,0.001705,False
11,0.777501,0.002491,False
12,0.777138,0.003928,False
13,0.778802,0.000896,False
14,0.778825,5.3e-05,False
15,0.777875,0.000423,False
16,0.776491,0.00123,False
17,0.779265,0.000765,False
18,0.778094,0.001668,False
19,0.778026,0.000908,False
20,0.777156,0.00267,False
21,0.777222,0.002311,False
22,0.776778,0.002568,False
23,0.777467,0.003031,False
24,0.778538,0.00738,False
25,0.776,0.006598,False
26,0.776302,0.007873,False
27,0.777006,0.005649,False
28,0.776584,0.004951,False
29,0.777474,0.006059,False
30,0.77741,0.0034,False
31,0.777878,0.002189,False
32,0.777352,0.000251,False
33,0.778381,0.000588,False
34,0.778001,0.000539,False
35,0.776775,0.002773,False
36,0.777615,0.004407,False
37,0.776908,0.007174,False
38,0.775315,0.008493,False
39,0.775883,0.006853,False
40,0.77725,0.004761,False
41,0.777826,0.002904,False
42,0.778092,0.003212,False
43,0.777538,0.003642,False
44,0.778362,0.005568,False
45,0.778476,0.003102,False
46,0.776171,0.005013,False
47,0.779033,0.000104,False
48,0.77898,0.00168,False
49,0.778201,0.001496,False
50,0.778675,0.001621,False
51,0.778114,0.001273,False
52,0.776787,0.002207,False
53,0.777357,0.001279,False
54,0.778092,0.00217,False
55,0.778815,0.004376,False
56,0.776972,0.003057,False
57,0.777258,0.002833,False
58,0.777531,0.002898,False
59,0.777588,0.006229,False
60,0.776459,0.005751,False
61,0.780296,0.001224,False
62,0.777804,7.6e-05,False
63,0.777775,0.001775,False
64,0.777179,9.5e-05,False
65,0.778377,8.7e-05,False
66,0.778042,0.00195,False
67,0.777121,0.001487,False
68,0.778364,0.001685,False
69,0.778523,0.000255,False
70,0.779485,0.001895,False
71,0.778923,0.000386,False
72,0.777739,0.000732,False
73,0.776053,0.002641,False
74,0.776796,0.00234,False
75,0.777,0.003641,False
76,0.77531,0.005214,False
77,0.776641,0.007765,False
78,0.778062,0.010879,False
79,0.776774,0.006209,False
80,0.776553,0.006929,False
81,0.776264,0.006606,False
82,0.776405,0.006831,False
83,0.77753,0.006859,False
84,0.77656,0.008084,False
85,0.777026,0.009782,False
86,0.775775,0.009428,False
87,0.775617,0.007945,False
88,0.776544,0.005983,False
89,0.776392,0.007521,False
90,0.776399,0.007065,False
91,0.776105,0.005859,False
92,0.778041,0.006889,False
93,0.775778,0.00692,False
94,0.775781,0.005182,False
95,0.777231,0.00689,False
96,0.77995,0.001734,False
97,0.778165,0.002049,False
98,0.778088,0.001436,False
99,0.776821,0.001589,False
100,0.776957,0.002467,False
101,0.776368,0.002384,False
102,0.777104,0.003579,False
103,0.778158,0.002116,False
104,0.777729,0.003264,False
