cycle,delta,anomaly,alert
1,0,0.004764,False
2,0.001355,0.002023,False
3,0.001013,0.002527,False
4,0.000577,0.002371,False
5,0.000999,0.001514,False
6,0.001367,0.001893,False
7,0.001146,0.002257,False
8,0.003939,0.006735,False
9,5.1e-05,0.001441,False
10,0.00198,0.005004,False
11,0.000786,0.002093,False
12,0.001437,0.003412,False
13,0.003032,0.006801,False
14,0.000843,0.002468,False
15,0.00037,0.001742,False
16,0.000807,0.001683,False
17,0.001995,0.004579,False
18,0.002433,0.006656,False
19,0.00076,0.003819,False
20,0.001762,0.003028,False
21,0.000359,0.002211,False
22,0.000257,0.000738,False
23,0.000463,0.000989,False
24,0.004349,0.009371,False
25,0.000782,0.001348,False
26,0.001275,0.004185,False
27,0.002224,0.004872,False
28,0.000698,0.003756,False
29,0.001108,0.00495,False
30,0.002659,0.006679,False
31,0.001211,0.002142,False
32,0.001938,0.003106,False
33,0.000337,0.003668,False
34,4.9e-05,0.002449,False
35,0.002234,0.004099,False
36,0.001634,0.005584,False
37,0.002767,0.006209,False
38,0.001319,0.00369,False
39,0.00164,0.002541,False
40,0.002092,0.004656,False
41,0.001857,0.005656,False
42,0.000308,0.001525,False
43,0.00043,0.000983,False
44,0.001926,0.007069,False
45,0.002466,0.007212,False
46,0.001911,0.00476,False
47,0.005117,0.010822,False
48,0.001576,0.005775,False
49,0.000184,0.00336,False
50,0.003117,0.007956,False
51,0.000348,0.000897,False
52,0.000934,0.002761,False
53,0.000928,0.001641,False
54,0.000891,0.001832,False
55,0.002206,0.005787,False
56,0.001319,0.002273,False
57,0.000224,0.001022,False
58,6.5e-05,0.002691,False
59,0.003331,0.009752,False
60,0.000478,0.002002,False
61,0.006975,0.016314,False
62,0.0013,0.003456,False
63,0.001851,0.004964,False
64,0.00168,0.003446,False
65,8e-06,0.002327,False
66,0.002037,0.004846,False
67,0.000463,0.001241,False
68,0.000198,0.001928,False
69,0.00143,0.003932,False
70,0.00164,0.007994,False
71,0.001509,0.004924,False
72,0.001118,0.0021,False
73,0.001909,0.003956,False
74,0.000301,0.001008,False
75,0.001301,0.002219,False
76,0.001573,0.003358,False
77,0.002551,0.005748,False
78,0.003114,0.012058,False
79,0.00467,0.010037,False
80,0.00072,0.002393,False
81,0.000323,0.001903,False
82,0.000225,0.00236,False
83,2.8e-05,0.001316,False
84,0.001225,0.002863,False
85,0.001698,0.004434,False
86,0.000354,0.003068,False
87,0.001483,0.002568,False
88,0.001962,0.006616,False
89,0.001538,0.003179,False
90,0.000456,0.004378,False
91,0.001206,0.002934,False
92,0.00103,0.005135,False
93,3.1e-05,0.001712,False
94,0.001738,0.003157,False
95,0.001708,0.006123,False
96,0.005156,0.011196,False
97,0.000315,0.002668,False
98,0.000613,0.001218,False
99,0.000153,0.002334,False
100,0.000878,0.002744,False
101,8.3e-05,0.001662,False
102,0.001195,0.002462,False
103,0.001463,0.006115,False
104,0.001148,0.00443,False
105,0.000609,0.001737,False
106,0.001614,0.005465,False
107,0.006047,0.018728,False
108,0.003565,0.006334,False
109,0.000556,0.002041,False
110,0.000133,0.001025,False
111,0.001417,0.003307,False
112,0.001836,0.006096,False
113,0.001193,0.005168,False
114,0.001551,0.004712,False
115,3e-06,0.001956,False
116,0.002097,0.004999,False
117,0.000431,0.002448,False
118,6.3e-05,0.001807,False
119,0.002553,0.006488,False
120,0.000746,0.001459,False
121,0.000108,0.000609,False
122,0.000103,0.000993,False
123,0.003329,0.011166,False
124,0.001124,0.00335,False
125,0.001744,0.005184,False
126,0.001726,0.003132,False
127,0.002071,0.003837,False
128,0.002641,0.008316,False
129,0.002674,0.009376,False
130,0.000759,0.002305,False
131,0.002287,0.005239,False
132,0.002671,0.007617,False
133,0.001495,0.00405,False
134,0.000744,0.005013,False
135,0.001212,0.003344,False
136,0.00167,0.004198,False
137,0.001899,0.003258,False
138,0.001515,0.005125,False
139,0.00169,0.003261,False
140,0.000365,0.003434,False
141,0.003896,0.009921,False
142,0.000325,0.002958,False
143,0.000863,0.00236,False
144,0.001521,0.006731,False
145,0.001047,0.00267,False
146,0.001664,0.003671,False
147,0.000209,0.000783,False
148,0.001312,0.002852,False
149,0.002024,0.005249,False
150,0.000122,0.000777,False
151,0.002147,0.008112,False
152,0.001524,0.006129,False
153,0.00132,0.003001,False
154,0.001055,0.003672,False
155,0.000394,0.001637,False
156,0.000886,0.002078,False
157,0.000578,0.002527,False
158,0.000542,0.001562,False
159,0.000735,0.002935,False
160,0.002454,0.006892,False
161,0.000556,0.001254,False
162,0.000216,0.002365,False
163,0.000473,0.002603,False
164,0.000997,0.001881,False
165,0.001047,0.00241,False
166,0.000265,0.002159,False
167,0.001006,0.002555,False
168,0.00012,0.002488,False
169,0.000977,0.004464,False
170,0.001208,0.00274,False
171,0.001426,0.003616,False
172,0.000946,0.003065,False
173,0.001492,0.004243,False
174,8.8e-05,0.004058,False
175,0.001465,0.006571,False
176,0.002839,0.009157,False
177,0.003279,0.008448,False
178,0.000167,0.002322,False
179,0.001508,0.005643,False
180,0.000505,0.002162,False
181,0.00088,0.00417,False
182,0.001115,0.004449,False
183,0.002864,0.008411,False
184,0.001732,0.004966,False
185,0.000697,0.00181,False
186,0.001709,0.007276,False
187,0.000314,0.001936,False
188,6.6e-05,0.000567,False
189,0.001812,0.006315,False
190,0.001919,0.006657,False
191,0.001724,0.004527,False
192,9.7e-05,0.001595,False
193,0.000841,0.003126,False
194,0.0011,0.002598,False
195,0.001063,0.002523,False
196,0.000985,0.004603,False
197,0.003566,0.010571,False
198,0.001115,0.005144,False
199,0.000276,0.002527,False
200,0.00062,0.002156,False
201,0.000937,0.002437,False
202,0.00024,0.002413,False
203,0.001003,0.004122,False
204,0.002035,0.009126,False
205,0.000387,0.001445,False
206,0.001297,0.002971,False
207,0.001913,0.004324,False
208,0.00048,0.00178,False
209,0.000619,0.001956,False
210,0.000123,0.002702,False
211,0.00086,0.004112,False
212,0.000148,0.000752,False
213,0.001139,0.003705,False
214,0.001,0.004031,False
215,0.003212,0.009921,False
216,0.000654,0.00209,False
217,0.001968,0.004673,False
218,0.001481,0.004101,False
219,0.000554,0.002887,False
220,0.000373,0.002904,False
