cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,noise,contradiction,pressure,drift
1,0.003475,0.942907,0.836446,0.805532,0.00155,0.002197,0.002104,0.013807,0.021,0.003,1.006,0.0025
2,0.003323,0.94601,0.836263,0.812142,0.002543,0.001546,0.002481,-0.000603,0.022,0.006,1.012,0.005
3,0.00393,0.943577,0.836408,0.811511,0.003242,0.004386,0.002562,0.002419,0.023,0.009,1.018,0.0075
4,0.000835,0.942551,0.836466,0.804902,0.003094,0.013656,0.002791,-0.012343,0.024,0.012,1.024,0.01
5,5.9e-05,0.945696,0.836283,0.811459,0.002803,0.00212,0.002799,-0.003097,0.025,0.015,1.03,0.0125
6,-0.003055,0.942685,0.836459,0.801522,0.002298,0.008958,0.002542,-0.012448,0.026,0.018,1.036,0.015
7,-0.006719,0.94125,0.836536,0.796848,0.001717,0.0133,0.002116,-0.014657,0.027,0.021,1.042,0.0175
8,-0.007248,0.943888,0.83639,0.798256,0.001112,0.025342,0.002149,-0.002122,0.028,0.024,1.048,0.02
9,-0.003499,0.941478,0.836524,0.811307,0.000806,0.001854,0.002167,0.015037,0.029,0.027,1.054,0.0225
10,-0.007438,0.938192,0.836687,0.787305,0.000378,0.041144,0.002558,-0.015816,0.03,0.03,1.06,0.025
11,-0.011605,0.937897,0.836701,0.797048,0.000248,0.020776,0.002801,-0.016753,0.031,0.033,1.066,0.0275
12,-0.008792,0.942426,0.836473,0.803765,0.000776,0.005346,0.00296,0.011321,0.032,0.036,1.072,0.03
13,-0.005356,0.942186,0.836486,0.80157,0.001227,0.005525,0.003164,0.013846,0.033,0.039,1.078,0.0325
14,-0.003956,0.944654,0.836346,0.805818,0.001681,0.006308,0.003209,0.005648,0.034,0.042,1.084,0.035
15,-0.004338,0.944212,0.836372,0.813392,0.002155,0.002305,0.003119,-0.00154,0.035,0.045,1.09,0.0375
16,-0.009198,0.935187,0.836817,0.79279,0.002772,0.03493,0.003263,-0.019655,0.036,0.048,1.096,0.04
17,-0.002484,0.93475,0.836835,0.781173,0.003298,0.044562,0.003002,0.02718,0.037,0.051,1.102,0.0425
18,-0.004115,0.941366,0.83653,0.800691,0.003814,0.019914,0.002846,-0.006611,0.038,0.054,1.108,0.045
19,0.000312,0.939331,0.836633,0.798369,0.004189,0.022175,0.002513,0.01796,0.039,0.057,1.114,0.0475
20,-0.0022,0.943621,0.836406,0.797488,0.004393,0.017467,0.002287,-0.010204,0.04,0.06,1.12,0.05
21,-0.006306,0.942383,0.836475,0.791637,0.004613,0.018238,0.002034,-0.016695,0.041,0.063,1.126,0.0525
22,-0.013496,0.937675,0.836711,0.781451,0.004885,0.019818,0.001509,-0.029268,0.042,0.066,1.132,0.055
23,-0.004613,0.935828,0.836791,0.786637,0.004815,0.026896,0.00106,0.0362,0.043,0.069,1.138,0.0575
24,-0.011915,0.917822,0.837217,0.772205,0.004607,0.20174,0.001411,-0.029792,0.044,0.072,1.144,0.06
25,-0.009784,0.942121,0.836489,0.810956,0.004626,0.000511,0.003163,0.008707,0.045,0.075,1.15,0.0625
