cycle,trust,deviation,alert
1,0.777328,0.003475,False
2,0.777076,0.003323,False
3,0.776266,0.00393,False
4,0.777862,0.000835,False
5,0.777761,5.9e-05,False
6,0.778139,0.003055,False
7,0.777858,0.006719,False
8,0.778357,0.007248,False
9,0.775687,0.003499,False
10,0.77859,0.007438,False
11,0.775709,0.011605,False
12,0.776456,0.008792,False
13,0.777501,0.005356,False
14,0.777761,0.003956,False
15,0.776021,0.004338,False
16,0.776122,0.009198,False
17,0.77964,0.002484,False
18,0.777649,0.004115,False
19,0.778188,0.000312,False
20,0.779431,0.0022,False
21,0.779364,0.006306,False
22,0.778375,0.013496,False
23,0.778488,0.004613,False
24,0.773718,0.011915,False
25,0.774717,0.009784,False
26,0.777564,0.005411,False
27,0.768655,0.015277,False
28,0.769974,0.022644,False
29,0.772009,0.016306,False
30,0.771695,0.001893,False
31,0.781892,0.011343,False
32,0.779003,0.004242,False
33,0.780281,0.009346,False
34,0.769679,0.020227,False
35,0.783649,0.004709,False
36,0.779451,0.001131,False
37,0.777538,0.002317,False
38,0.778593,0.008235,False
39,0.773731,0.012505,False
40,0.77699,0.004162,False
41,0.777684,0.001041,False
42,0.770333,0.01622,False
43,0.778917,0.006584,False
44,0.779206,0.010363,False
45,0.783337,0.012432,False
46,0.778439,0.007709,False
47,0.782076,0.005021,False
48,0.773796,0.006185,False
49,0.77248,0.003459,False
50,0.775839,0.003118,False
51,0.776356,0.000654,False
52,0.780266,0.009841,False
53,0.777117,0.017368,False
54,0.772186,0.013096,False
55,0.78335,0.022003,False
56,0.781807,0.006469,False
57,0.785646,0.007927,False
58,0.780389,0.018093,False
59,0.771716,0.013829,False
60,0.765811,0.020416,False
61,0.77364,0.011273,False
62,0.772107,0.011989,False
63,0.78305,0.002183,False
64,0.785768,0.00679,False
65,0.781,0.012807,False
66,0.782475,0.002097,False
67,0.780898,0.002297,False
68,0.779836,0.002438,False
69,0.776463,0.002584,False
70,0.778187,0.004572,False
71,0.774741,0.001951,False
72,0.773026,0.007398,False
73,0.769942,0.012586,False
74,0.779643,0.003846,False
75,0.778719,0.002653,False
76,0.782279,0.008691,False
77,0.776233,0.01815,False
78,0.786282,0.017912,False
79,0.780568,0.009445,False
80,0.78368,0.00303,False
81,0.772548,0.003685,False
82,0.770602,0.007107,False
83,0.774994,0.006062,False
84,0.776196,0.001441,False
85,0.772679,0.002687,False
86,0.779647,0.002871,False
87,0.772563,0.005215,False
88,0.782527,0.006886,False
89,0.781901,0.01453,False
90,0.773714,0.004815,False
91,0.785391,0.003615,False
92,0.776984,0.019105,False
93,0.768397,0.0267,False
94,0.764177,0.018704,False
95,0.765611,0.013444,False
96,0.771809,0.009165,False
97,0.78813,0.006889,False
98,0.775307,0.020848,False
99,0.779305,0.028116,False
100,0.777336,0.028875,False
101,0.775629,0.020717,False
102,0.769974,0.013021,False
103,0.770413,0.008524,False
104,0.771836,0.011101,False
105,0.763319,0.016749,False
106,0.763924,0.017418,False
107,0.773986,0.027733,False
108,0.769251,0.029892,False
109,0.77582,0.022907,False
110,0.778411,0.021481,False
111,0.776329,0.00691,False
112,0.788405,0.003418,False
113,0.77537,0.006576,False
114,0.76552,0.012663,False
115,0.766034,0.015484,False
116,0.772592,0.011023,False
117,0.76591,0.015785,False
118,0.771664,0.010153,False
119,0.778678,0.005814,False
120,0.781005,0.008556,False
121,0.785887,0.004869,False
122,0.782367,0.000509,False
123,0.779471,0.003605,False
124,0.774714,0.005866,False
125,0.776199,0.006435,False
126,0.768419,0.007165,False
127,0.766105,0.000439,False
128,0.766513,0.002758,False
129,0.773968,0.001433,False
130,0.774383,0.010052,False
131,0.782369,0.009181,False
132,0.7884,0.004336,False
133,0.782014,0.00988,False
134,0.779073,0.000565,False
135,0.771747,0.006722,False
136,0.762994,0.021339,False
137,0.760829,0.015415,False
138,0.759535,0.020818,False
139,0.758774,0.020585,False
140,0.775828,0.021354,False
141,0.773487,0.013709,False
142,0.780128,0.012664,False
143,0.778058,0.008015,False
144,0.775766,0.014708,False
145,0.77962,0.016956,False
146,0.768263,0.010669,False
147,0.761528,0.004147,False
148,0.758472,0.01863,False
149,0.76898,0.003381,False
150,0.775097,0.002997,False
151,0.765616,0.006824,False
152,0.769232,0.005417,False
153,0.773094,0.004649,False
154,0.768114,0.015843,False
155,0.785801,0.010558,False
156,0.762109,0.010911,False
157,0.77123,0.013061,False
158,0.768228,0.005586,False
159,0.766182,0.001375,False
160,0.761213,0.007475,False
161,0.754141,0.005623,False
162,0.770462,0.002965,False
163,0.773084,0.004568,False
164,0.776015,0.008709,False
165,0.778046,0.014762,False
166,0.781115,0.010008,False
167,0.782418,0.004159,False
168,0.776543,0.009786,False
169,0.760816,0.006997,False
170,0.747224,0.034533,False
171,0.754875,0.028529,False
172,0.7583,0.017912,False
173,0.768062,0.004322,False
174,0.766698,0.025686,False
175,0.778914,0.025549,False
176,0.769551,0.025281,False
177,0.783386,0.009776,False
178,0.771103,0.005179,False
179,0.773362,0.001832,False
180,0.766794,0.002319,False
181,0.756624,0.002404,False
182,0.767108,0.012071,False
183,0.760137,0.011929,False
184,0.764592,0.004847,False
185,0.76836,0.012691,False
186,0.780872,0.003995,False
187,0.773495,0.00623,False
188,0.784193,0.00071,False
189,0.775277,0.009826,False
190,0.769356,0.02209,False
191,0.76439,0.016877,False
192,0.755435,0.034623,False
193,0.751845,0.023426,False
194,0.751589,0.020211,False
195,0.765195,0.006451,False
196,0.762795,0.024498,False
197,0.77351,0.008741,False
198,0.776542,0.000972,False
199,0.766731,0.017864,False
200,0.777858,0.002957,False
201,0.784041,0.001907,False
202,0.769913,0.028441,False
203,0.742457,0.041104,False
204,0.747578,0.033504,False
205,0.749248,0.042681,False
206,0.75857,0.02997,False
207,0.769663,0.009464,False
208,0.777469,0.00096,False
209,0.773897,0.018345,False
210,0.776858,0.010871,False
211,0.776587,0.001676,False
212,0.766077,0.000142,False
213,0.763104,0.007763,False
214,0.749434,0.037782,False
215,0.757055,0.046815,False
216,0.752093,0.044894,False
217,0.761284,0.009363,False
218,0.775406,0.002922,False
219,0.770511,0.005402,False
220,0.7534,0.025092,False
