cycle,delta,anomaly,alert
1,0.0,0.004312,False
2,0.000152,0.001009,False
3,0.000607,0.002207,False
4,0.003095,0.007458,False
5,0.000776,0.00203,False
6,0.003114,0.006502,False
7,0.003664,0.00803,False
8,0.000529,0.006214,False
9,0.003749,0.005876,False
10,0.003939,0.014073,False
11,0.004167,0.010362,False
12,0.002813,0.005476,False
13,0.003436,0.006402,False
14,0.0014,0.003805,False
15,0.000382,0.001603,False
16,0.00486,0.014253,False
17,0.006714,0.018658,False
18,0.001631,0.006776,False
19,0.004427,0.010977,False
20,0.002512,0.007381,False
21,0.004106,0.009665,False
22,0.00719,0.014099,False
23,0.008883,0.01775,False
24,0.007302,0.050634,False
25,0.002131,0.003657,False
26,0.004373,0.010624,False
27,0.009866,0.054561,False
28,0.007367,0.013698,False
29,0.006338,0.016081,False
30,0.014413,0.056318,False
31,0.00945,0.024488,False
32,0.007101,0.05639,False
33,0.005104,0.015281,False
34,0.010881,0.054264,False
35,0.015518,0.036194,False
36,0.003578,0.010812,False
37,0.003448,0.009052,False
38,0.005918,0.014359,False
39,0.00427,0.011896,False
40,0.008343,0.018576,False
41,0.003121,0.007075,False
42,0.017261,0.058165,False
43,0.009636,0.056339,False
44,0.003779,0.014026,False
45,0.002069,0.04806,False
46,0.004723,0.014829,False
47,0.01273,0.023873,False
48,0.001164,0.008613,False
49,0.002726,0.007977,False
50,0.006577,0.013383,False
51,0.002464,0.004344,False
52,0.009187,0.028544,False
53,0.007527,0.024315,False
54,0.004272,0.007892,False
55,0.008907,0.025087,False
56,0.015534,0.031455,False
57,0.014396,0.0439,False
58,0.010166,0.028111,False
59,0.004264,0.01106,False
60,0.006587,0.047404,False
61,0.009143,0.021256,False
62,0.000716,0.012185,False
63,0.009806,0.030454,False
64,0.004607,0.022044,False
65,0.006017,0.051461,False
66,0.01071,0.023922,False
67,0.0002,0.003239,False
68,0.000141,0.006664,False
69,0.000146,0.008441,False
70,0.001988,0.012324,False
71,0.006523,0.019974,False
72,0.009349,0.026405,False
73,0.005188,0.019862,False
74,0.00874,0.030937,False
75,0.006499,0.020659,False
76,0.006038,0.026937,False
77,0.009459,0.018753,False
78,0.000238,0.018733,False
79,0.008467,0.024735,False
80,0.012475,0.038918,False
81,0.000655,0.007246,False
82,0.003422,0.008326,False
83,0.001045,0.010239,False
84,0.007503,0.018711,False
85,0.004128,0.008402,False
86,0.005558,0.023182,False
87,0.008086,0.054833,False
88,0.012101,0.025064,False
89,0.007644,0.020106,False
90,0.009715,0.025064,False
91,0.0012,0.010638,False
92,0.01549,0.031296,False
93,0.007595,0.019063,False
94,0.007996,0.013913,False
95,0.00526,0.008982,False
96,0.004279,0.010273,False
97,0.002276,0.018817,False
98,0.013959,0.034532,False
99,0.007268,0.014247,False
100,0.000759,0.008264,False
101,0.008158,0.020286,False
102,0.007696,0.011647,False
103,0.004497,0.010204,False
104,0.002577,0.01079,False
105,0.005648,0.012616,False
106,0.000669,0.010007,False
107,0.010315,0.031288,False
108,0.002159,0.007814,False
109,0.006985,0.013282,False
110,0.001426,0.013548,False
111,0.014571,0.024931,False
112,0.010328,0.039032,False
113,0.003158,0.005217,False
114,0.006087,0.009646,False
115,0.002821,0.009346,False
116,0.004461,0.028226,False
117,0.004762,0.010145,False
118,0.005632,0.010718,False
119,0.004339,0.020715,False
120,0.01437,0.051171,False
121,0.003687,0.014284,False
122,0.005378,0.012134,False
123,0.004114,0.053353,False
124,0.002261,0.009941,False
125,0.012301,0.039765,False
126,0.0136,0.039071,False
127,0.007604,0.029185,False
128,0.003197,0.006366,False
129,0.001325,0.00812,False
130,0.008619,0.023426,False
131,0.000871,0.004491,False
132,0.004845,0.022441,False
133,0.005544,0.012804,False
134,0.010445,0.029039,False
135,0.006157,0.016944,False
136,0.014617,0.041516,False
137,0.005924,0.020407,False
138,0.005403,0.027724,False
139,0.000233,0.008885,False
140,0.000769,0.048778,False
141,0.007645,0.020456,False
142,0.001045,0.013438,False
143,0.004649,0.015885,False
144,0.006693,0.020305,False
145,0.002248,0.013625,False
146,0.006287,0.064041,False
147,0.006522,0.016474,False
148,0.014483,0.030583,False
149,0.015249,0.039989,False
150,0.000384,0.068384,False
151,0.003827,0.01025,False
152,0.001407,0.00764,False
153,0.010066,0.02547,False
154,0.020492,0.066507,False
155,0.005285,0.01775,False
156,0.021469,0.08,False
157,0.00215,0.061468,False
158,0.007475,0.016283,False
159,0.004211,0.010809,False
160,0.0061,0.031487,False
161,0.013098,0.037057,False
162,0.008588,0.019975,False
163,0.001603,0.014976,False
164,0.004141,0.018238,False
165,0.006053,0.031595,False
166,0.004754,0.025234,False
167,0.014167,0.039822,False
168,0.005627,0.028439,False
169,0.002789,0.049413,False
170,0.027536,0.092544,False
171,0.006004,0.016237,False
172,0.010617,0.021915,False
173,0.022234,0.049301,False
174,0.021364,0.078166,False
175,0.000137,0.032946,False
176,0.000268,0.006929,False
177,0.015505,0.048771,False
178,0.004597,0.03009,False
179,0.003347,0.014521,False
180,0.004151,0.026365,False
181,8.5e-05,0.015293,False
182,0.014475,0.109226,False
183,0.000142,0.004662,False
184,0.007082,0.036823,False
185,0.007844,0.032321,False
186,0.008696,0.047218,False
187,0.010225,0.028971,False
188,0.00552,0.029685,False
189,0.009116,0.058679,False
190,0.012264,0.043787,False
191,0.005213,0.020339,False
192,0.017746,0.050905,False
193,0.011197,0.031665,False
194,0.003215,0.023553,False
195,0.026662,0.058527,False
196,0.018047,0.059514,False
197,0.015757,0.069999,False
198,0.009713,0.050972,False
199,0.018836,0.064114,False
200,0.014907,0.034924,False
201,0.00105,0.006238,False
202,0.030348,0.081464,False
203,0.012663,0.076036,False
204,0.0076,0.025528,False
205,0.009177,0.017579,False
206,0.012711,0.041316,False
207,0.020506,0.049876,False
208,0.010424,0.026194,False
209,0.017385,0.036162,False
210,0.007474,0.036121,False
211,0.009195,0.034341,False
212,0.001818,0.069422,False
213,0.007621,0.02421,False
214,0.030019,0.051784,False
215,0.009033,0.055739,False
216,0.001921,0.004938,False
217,0.035531,0.062562,False
218,0.006441,0.017479,False
219,0.00248,0.069124,False
220,0.01969,0.079624,False
