cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,noise,contradiction,pressure,drift
1,0.003936,0.942129,0.836489,0.80497,0.001787,0.003925,0.002531,0.015623,0.025,0.004,1,0
2,0.00346,0.945603,0.836288,0.810658,0.002902,0.000743,0.003067,-0.001887,0.025,0.008,1,0
3,0.003843,0.943695,0.836402,0.813184,0.003688,0.002973,0.003189,0.00152,0.025,0.012,1,0
4,0.00046,0.94244,0.836472,0.802832,0.003606,0.014225,0.003329,-0.013431,0.025,0.016,1,0
5,-0.000117,0.946195,0.836252,0.810001,0.003424,0.00212,0.003213,-0.00229,0.025,0.02,1,0
6,-0.003093,0.943313,0.836423,0.801118,0.002995,0.008613,0.002867,-0.011811,0.025,0.024,1,0
7,-0.006564,0.941973,0.836497,0.798408,0.002404,0.012315,0.002431,-0.013778,0.025,0.028,1,0
8,0.005106,0.91998,0.8372,0.784018,0.001756,0.183563,0.00517,0.046338,0.025,0.032,1,0
9,0.006871,0.941882,0.836502,0.808864,0.001383,0.005865,0.006902,0.007014,0.025,0.036,1,0
10,0.002923,0.93963,0.836618,0.797619,0.000958,0.02512,0.008179,-0.015685,0.025,0.04,1,0
11,-0.000474,0.941116,0.836543,0.808666,0.000437,0.006997,0.008837,-0.013495,0.025,0.044,1,0
12,-0.00137,0.944281,0.836368,0.810741,3.4e-05,0.006136,0.00913,-0.003562,0.025,0.048,1,0
13,-0.00089,0.944626,0.836347,0.812396,0.000445,0.006648,0.009306,0.001908,0.025,0.052,1,0
14,-0.00133,0.945885,0.836271,0.811534,0.000835,0.001023,0.009164,-0.001749,0.025,0.056,1,0
15,-0.002531,0.944216,0.836371,0.811159,0.0012,0.001646,0.008698,-0.004773,0.025,0.06,1,0
16,-0.005909,0.939441,0.836628,0.795533,0.001611,0.023797,0.008282,-0.013417,0.025,0.064,1,0
17,-0.001456,0.939569,0.836621,0.78949,0.002008,0.03011,0.007599,0.017686,0.025,0.068,1,0
18,0.009338,0.918429,0.837213,0.786661,0.002471,0.181502,0.009112,0.042886,0.025,0.072,1,0
19,0.010282,0.941225,0.836537,0.799997,0.002875,0.016871,0.009915,0.003748,0.025,0.076,1,0
20,0.007999,0.942702,0.836458,0.809416,0.003108,0.002259,0.010267,-0.009072,0.025,0.08,1,0
21,0.00552,0.943122,0.836434,0.809529,0.003321,0.002293,0.010183,-0.009848,0.025,0.084,1,0
22,0.001751,0.942297,0.83648,0.807191,0.003474,0.001643,0.009695,-0.014974,0.025,0.088,1,0
23,0.002948,0.943488,0.836413,0.813954,0.003409,0.000928,0.009133,0.004754,0.025,0.092,1,0
24,0.002997,0.943527,0.836411,0.813336,0.003237,0.001923,0.008568,0.000193,0.025,0.096,1,0
25,0.001001,0.943071,0.836437,0.807074,0.003214,0.007057,0.00795,-0.007928,0.025,0.1,1,0
26,0.001882,0.944739,0.836341,0.808966,0.003077,0.005302,0.00731,0.003499,0.025,0.104,1,0
27,-0.009655,0.91635,0.837223,0.790256,0.002784,0.180328,0.004647,-0.045806,0.025,0.108,1,0
28,0.002097,0.919326,0.837206,0.787725,0.002506,0.173417,0.004423,0.046661,0.025,0.112,1,0
29,-0.010058,0.916383,0.837223,0.785817,0.00224,0.183801,0.002116,-0.048245,0.025,0.116,1,0
30,-0.007364,0.943336,0.836422,0.805893,0.001979,4e-06,0.000568,0.010691,0.025,0.12,1,0
31,-0.0142,0.936345,0.836769,0.796271,0.002737,0.015922,0.000654,-0.027129,0.025,0.124,1,0
32,-0.013225,0.940898,0.836554,0.809776,0.003316,0.009074,0.001597,0.003872,0.025,0.128,1,0
33,-0.011209,0.941853,0.836504,0.81258,0.00391,0.000369,0.002246,0.008,0.025,0.132,1,0
34,-0.012605,0.941418,0.836527,0.805208,0.004432,0.004817,0.002857,-0.005542,0.025,0.136,1,0
35,-0.006865,0.938286,0.836683,0.797224,0.00486,0.013689,0.003176,0.022786,0.025,0.14,1,0
36,-0.005834,0.944019,0.836383,0.812853,0.005245,0.001357,0.003379,0.004091,0.025,0.144,1,0
37,-0.009102,0.940349,0.836582,0.812181,0.006533,0.002922,0.003485,-0.012971,0.025,0.148,1,0
