cycle,delta,anomaly,alert
1,0.0,0.005197,False
2,0.000476,0.0014,False
3,0.000383,0.001746,False
4,0.003383,0.008053,False
5,0.000577,0.001841,False
6,0.002976,0.00629,False
7,0.003471,0.007609,False
8,0.01167,0.053416,False
9,0.001765,0.004925,False
10,0.003948,0.011963,False
11,0.003397,0.007729,False
12,0.000896,0.004257,False
13,0.00048,0.003836,False
14,0.00044,0.002629,False
15,0.001201,0.003682,False
16,0.003378,0.010952,False
17,0.004453,0.013522,False
18,0.010794,0.052622,False
19,0.000944,0.006625,False
20,0.002283,0.005572,False
21,0.002479,0.005825,False
22,0.003769,0.00733,False
23,0.001197,0.00362,False
24,4.9e-05,0.002164,False
25,0.001996,0.005682,False
26,0.000881,0.003706,False
27,0.011537,0.052484,False
28,0.011752,0.051346,False
29,0.012155,0.053499,False
30,0.002694,0.00373,False
31,0.006836,0.01249,False
32,0.000975,0.003443,False
33,0.002016,0.003229,False
34,0.001396,0.003409,False
35,0.00574,0.011079,False
36,0.001031,0.002331,False
37,0.003268,0.005668,False
38,0.004377,0.008775,False
39,0.002848,0.006619,False
40,0.001877,0.005691,False
41,0.004161,0.006372,False
42,0.006618,0.011675,False
43,0.004208,0.007674,False
44,0.000478,0.001862,False
45,0.000623,0.002374,False
46,0.006726,0.010666,False
47,0.002758,0.004671,False
48,0.00248,0.005835,False
49,0.000301,0.001857,False
50,0.00199,0.004122,False
51,0.001111,0.001756,False
52,0.002335,0.006931,False
53,0.000507,0.001574,False
54,0.003902,0.008745,False
55,0.001665,0.003805,False
56,0.001802,0.003429,False
57,0.004073,0.009138,False
58,0.001954,0.004518,False
59,0.00198,0.00592,False
60,0.000827,0.002114,False
61,0.002276,0.005321,False
62,0.000805,0.004155,False
63,0.0019,0.005081,False
64,0.002724,0.007461,False
65,0.002879,0.004746,False
66,0.001686,0.003618,False
67,0.004601,0.011024,False
68,0.003102,0.007161,False
69,0.001738,0.00463,False
70,0.000661,0.000999,False
71,0.002104,0.005382,False
72,0.003707,0.00819,False
73,0.001471,0.005093,False
74,0.001126,0.004288,False
75,0.000687,0.002591,False
76,0.001601,0.002261,False
77,0.004533,0.009297,False
78,0.000357,0.003158,False
79,0.000338,0.002038,False
80,0.003106,0.006412,False
81,0.000736,0.003722,False
82,0.00056,0.001332,False
83,0.000237,0.002197,False
84,0.000746,0.002684,False
85,0.002409,0.004417,False
86,0.000185,0.001507,False
87,0.002577,0.004879,False
88,0.001274,0.002985,False
89,8.6e-05,0.0024,False
90,0.001846,0.005608,False
91,0.00126,0.001853,False
92,0.006216,0.012137,False
93,0.00189,0.004211,False
94,0.00194,0.003094,False
95,0.000848,0.001465,False
96,0.003356,0.005081,False
97,0.002764,0.004268,False
98,0.003654,0.007733,False
99,0.000628,0.00124,False
100,0.000747,0.002915,False
101,0.002382,0.004244,False
102,0.001557,0.0035,False
103,0.001646,0.003971,False
104,0.00045,0.002027,False
105,0.001236,0.002514,False
106,0.003124,0.00557,False
107,0.001478,0.004062,False
108,0.002298,0.007015,False
109,0.003842,0.010118,False
110,0.003113,0.006833,False
111,0.004358,0.00771,False
112,0.003101,0.004441,False
113,0.000778,0.001635,False
114,0.000513,0.001225,False
115,0.001871,0.003423,False
116,0.004072,0.007207,False
117,0.001559,0.002574,False
118,0.000437,0.003187,False
119,0.002532,0.00596,False
120,0.000822,0.002762,False
121,0.000945,0.002008,False
122,0.000534,0.001592,False
123,0.002489,0.007636,False
124,0.003443,0.007007,False
125,0.000848,0.002406,False
126,0.004283,0.010752,False
127,0.001788,0.006321,False
128,0.001537,0.00426,False
129,0.002717,0.00431,False
130,0.001057,0.004537,False
131,0.004735,0.01075,False
132,0.001306,0.002697,False
133,0.003943,0.011012,False
134,0.000432,0.001577,False
135,4.1e-05,0.000633,False
136,0.001926,0.005209,False
137,0.001246,0.004959,False
138,0.001633,0.005426,False
139,0.000455,0.002049,False
140,0.000931,0.003058,False
141,0.00022,0.000708,False
142,0.00114,0.002468,False
143,0.002527,0.005207,False
144,0.000968,0.003136,False
145,0.000366,0.001929,False
146,0.001397,0.003064,False
147,0.001364,0.003822,False
148,0.000943,0.001571,False
149,0.000676,0.00167,False
150,0.001154,0.003509,False
151,0.001539,0.005,False
152,0.001102,0.002819,False
153,0.000273,0.000432,False
154,0.002309,0.004039,False
155,0.001109,0.002683,False
156,0.003727,0.005115,False
157,0.000285,0.001387,False
158,0.000251,0.003106,False
159,0.000393,0.000797,False
160,0.002508,0.00352,False
161,0.000237,0.000522,False
162,0.00107,0.002768,False
163,0.004145,0.008788,False
164,0.001466,0.0046,False
165,0.001335,0.002665,False
166,0.003897,0.007848,False
167,0.000381,0.002,False
168,0.00185,0.005419,False
