cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,noise,contradiction,pressure,drift
1,0.00422,0.942115,0.83649,0.803578,0.001868,0.002165,0.002496,0.01675,0.025,0,1,0.004
2,0.004115,0.945813,0.836276,0.812054,0.003049,0.002777,0.002932,-0.000415,0.025,0,1,0.008
3,0.004854,0.942995,0.836441,0.810452,0.003854,0.005613,0.003018,0.002932,0.025,0,1,0.012
4,0.001563,0.94201,0.836495,0.805333,0.003716,0.014225,0.00329,-0.013062,0.025,0,1,0.016
5,0.000597,0.945109,0.836318,0.81223,0.003374,0.00212,0.003331,-0.003836,0.025,0,1,0.02
6,-0.002482,0.942455,0.836471,0.802454,0.002834,0.008613,0.003079,-0.012223,0.025,0,1,0.024
7,-0.005811,0.941371,0.83653,0.797832,0.002281,0.012315,0.002614,-0.013213,0.025,0,1,0.028
8,-0.006553,0.943665,0.836403,0.798294,0.001736,0.022627,0.002497,-0.002945,0.025,0,1,0.032
9,-0.00373,0.942416,0.836473,0.813795,0.001455,0.002055,0.002376,0.011206,0.025,0,1,0.036
10,-0.00779,0.938279,0.836683,0.78491,0.001054,0.04272,0.002663,-0.016117,0.025,0,1,0.04
11,-0.012349,0.937854,0.836703,0.790729,0.000453,0.026357,0.002847,-0.0181,0.025,0,1,0.044
12,-0.007892,0.941128,0.836542,0.794502,2e-05,0.014984,0.002927,0.017697,0.025,0,1,0.048
13,-0.00386,0.941721,0.836511,0.794661,0.000417,0.016232,0.00294,0.016004,0.025,0,1,0.052
14,-0.002042,0.944244,0.83637,0.800968,0.000822,0.011297,0.002883,0.007217,0.025,0,1,0.056
15,-0.002041,0.944929,0.836329,0.809796,0.001269,0.001646,0.002881,5e-06,0.025,0,1,0.06
16,-0.006253,0.937064,0.836738,0.803412,0.001864,0.022794,0.003041,-0.016722,0.025,0,1,0.064
17,-0.001603,0.937184,0.836733,0.793985,0.002427,0.03011,0.002884,0.018459,0.025,0,1,0.068
18,-0.002283,0.942315,0.836479,0.804355,0.002905,0.013101,0.002686,-0.0027,0.025,0,1,0.072
19,-0.000301,0.942044,0.836494,0.811403,0.003243,0.014215,0.002201,0.007866,0.025,0,1,0.076
20,-0.003461,0.942226,0.836484,0.792234,0.003389,0.021642,0.001821,-0.01254,0.025,0,1,0.08
21,-0.00833,0.940544,0.836573,0.782138,0.003541,0.031665,0.001573,-0.019323,0.025,0,1,0.084
22,-0.015647,0.936953,0.836743,0.770527,0.003762,0.035986,0.001233,-0.029036,0.025,0,1,0.088
23,-0.005111,0.934985,0.836826,0.770916,0.003713,0.041408,0.000889,0.041806,0.025,0,1,0.092
24,0.000579,0.937931,0.836699,0.77856,0.003564,0.047231,0.000319,0.022576,0.025,0,1,0.096
25,0.002088,0.943677,0.836403,0.798642,0.003605,0.014626,8.2e-05,0.00599,0.025,0,1,0.1
26,0.004142,0.941655,0.836514,0.797901,0.003611,0.010184,0.000113,0.008148,0.025,0,1,0.104
27,0.003951,0.940463,0.836577,0.808367,0.003573,0.005396,0.000112,-0.000756,0.025,0,1,0.108
28,0.00081,0.938767,0.83666,0.810817,0.003559,0.004279,7.8e-05,-0.012463,0.025,0,1,0.112
29,0.003007,0.938688,0.836664,0.817558,0.003322,0.013014,0.000214,0.008719,0.025,0,1,0.116
30,0.001303,0.943542,0.83641,0.804632,0.00293,0.001235,0.0007,-0.006761,0.025,0,1,0.12
31,-0.006732,0.935986,0.836785,0.766782,0.002442,0.033953,0.001382,-0.03189,0.025,0,1,0.124
32,-0.012359,0.934734,0.836836,0.76209,0.001849,0.070671,0.001389,-0.022331,0.025,0,1,0.128
33,-0.018796,0.936352,0.836769,0.756599,0.001563,0.059252,0.00123,-0.025548,0.025,0,1,0.132
34,-0.009679,0.936026,0.836783,0.76218,0.001282,0.056446,0.001402,0.036187,0.025,0,1,0.136
35,-0.00882,0.927072,0.837079,0.730387,0.001022,0.226448,0.003415,0.003409,0.025,0,1,0.14
36,-0.002888,0.938342,0.83668,0.780014,0.00086,0.033146,0.004794,0.023556,0.025,0,1,0.144
37,0.000379,0.939995,0.8366,0.795043,0.00079,0.006984,0.005221,0.01297,0.025,0,1,0.148
38,0.001053,0.939539,0.836623,0.795993,0.000798,0.018298,0.005211,0.002679,0.025,0,1,0.152
39,0.003235,0.936144,0.836778,0.812133,0.000953,0.01524,0.005185,0.008665,0.025,0,1,0.156
40,0.001736,0.939124,0.836643,0.800762,0.000922,0.009336,0.005376,-0.005954,0.025,0,1,0.16
41,-0.001584,0.940392,0.83658,0.795465,0.000652,0.005718,0.006109,-0.013185,0.025,0,1,0.164
42,-0.006921,0.93814,0.83669,0.775531,0.000257,0.02751,0.006819,-0.021199,0.025,0,1,0.168
43,-0.003688,0.926878,0.837084,0.734663,0.000101,0.226309,0.005153,0.012838,0.025,0,1,0.172
44,-0.013292,0.934863,0.83683,0.74242,0.000253,0.070121,0.003705,-0.038129,0.025,0,1,0.176
45,0.000906,0.932516,0.836918,0.72877,0.000386,0.083643,0.00275,0.056363,0.025,0,1,0.18
46,-0.002964,0.926866,0.837084,0.740417,0.000439,0.219081,0.003971,-0.015365,0.025,0,1,0.184
47,0.006626,0.934253,0.836854,0.761957,0.000462,0.036319,0.004316,0.038077,0.025,0,1,0.188
48,0.006423,0.939623,0.836619,0.800638,0.000292,0.016467,0.003493,-0.000807,0.025,0,1,0.192
49,0.016396,0.910307,0.837203,0.793646,7e-05,0.194744,2.7e-05,0.039576,0.025,0,1,0.196
50,0.011388,0.930889,0.836973,0.813254,0.000533,0.011748,0.00256,-0.019878,0.025,0,1,0.2
51,-0.000987,0.913407,0.837222,0.789633,0.000671,0.186691,0.001667,-0.04912,0.025,0,1,0.204
52,-0.006258,0.934928,0.836828,0.777734,0.000557,0.018559,0.000253,-0.020917,0.025,0,1,0.208
53,-0.002273,0.923605,0.837151,0.743284,0.000344,0.212639,0.000882,0.015816,0.025,0,1,0.212
54,-0.008384,0.935821,0.836792,0.752265,9.9e-05,0.080196,0.001862,-0.024255,0.025,0,1,0.216
55,-0.021424,0.929633,0.837011,0.713463,0.000122,0.102182,0.002781,-0.051768,0.025,0,1,0.22
56,-0.002112,0.928145,0.837052,0.713155,0.000216,0.095436,0.003218,0.076671,0.025,0,1,0.224
