cycle,trust,deviation,alert
1,0.777303,0.00422,False
2,0.77687,0.004115,False
3,0.776097,0.004854,False
4,0.777448,0.001563,False
5,0.777302,0.000597,False
6,0.77799,0.002482,False
7,0.777884,0.005811,False
8,0.778414,0.006553,False
9,0.775459,0.00373,False
10,0.779028,0.00779,False
11,0.776809,0.012349,False
12,0.778052,0.007892,False
13,0.779026,0.00386,False
14,0.778976,0.002042,False
15,0.77744,0.002041,False
16,0.775224,0.006253,False
17,0.77808,0.001603,False
18,0.777602,0.002283,False
19,0.776498,0.000301,False
20,0.779761,0.003461,False
21,0.78024,0.00833,False
22,0.779885,0.015647,False
23,0.781246,0.005111,False
24,0.781623,0.000579,False
25,0.779242,0.002088,False
26,0.778299,0.004142,False
27,0.775843,0.003951,False
28,0.775408,0.00081,False
29,0.773594,0.003007,False
30,0.778155,0.001303,False
31,0.782089,0.006732,False
32,0.781476,0.012359,False
33,0.781836,0.018796,False
34,0.782433,0.009679,False
35,0.785904,0.00882,False
36,0.781009,0.002888,False
37,0.779064,0.000379,False
38,0.778585,0.001053,False
39,0.773771,0.003235,False
40,0.777355,0.001736,False
41,0.778872,0.001584,False
42,0.781031,0.006921,False
43,0.786008,0.003688,False
44,0.785267,0.013292,False
45,0.789675,0.000906,False
46,0.784998,0.002964,False
47,0.782485,0.006626,False
48,0.776611,0.006423,False
49,0.7659,0.016396,False
50,0.770126,0.011388,False
51,0.770874,0.000987,False
52,0.779633,0.006258,False
53,0.783438,0.002273,False
54,0.784606,0.008384,False
55,0.787647,0.021424,False
56,0.79106,0.002112,False
57,0.792022,0.000688,False
58,0.782435,0.003782,False
59,0.778446,0.001384,False
60,0.766696,0.006048,False
61,0.771868,0.002597,False
62,0.766137,0.007232,False
63,0.777434,0.008121,False
64,0.780337,0.0012,False
65,0.791045,0.000663,False
66,0.790039,0.015834,False
67,0.783437,0.035098,False
68,0.784031,0.018758,False
69,0.77906,0.021226,False
70,0.771895,0.018375,False
71,0.76707,0.008451,False
72,0.769309,0.004949,False
73,0.764449,0.01134,False
74,0.771171,0.007592,False
75,0.779781,5.1e-05,False
76,0.791337,0.000426,False
77,0.793325,0.006687,False
78,0.792205,0.008605,False
79,0.786312,0.004771,False
80,0.780427,0.012594,False
81,0.769971,0.014568,False
82,0.762721,0.0186,False
83,0.762636,0.007278,False
84,0.76701,0.000595,False
85,0.773728,0.000325,False
86,0.779099,0.001236,False
87,0.788475,0.000778,False
88,0.794413,0.00325,False
89,0.791486,0.003385,False
90,0.788917,0.001734,False
91,0.778841,0.0031,False
92,0.771944,0.002479,False
93,0.765236,0.009793,False
94,0.765122,0.009515,False
95,0.768386,0.000287,False
96,0.771363,0.003921,False
97,0.779183,0.000115,False
98,0.789551,0.001242,False
99,0.794327,0.002518,False
100,0.790105,0.003386,False
101,0.786334,0.003484,False
102,0.776691,0.00052,False
103,0.774474,0.004915,False
104,0.766096,0.004567,False
105,0.765584,0.002611,False
106,0.767625,0.008485,False
107,0.772856,0.003094,False
108,0.777383,0.004876,False
109,0.786862,0.002342,False
110,0.789574,0.001229,False
111,0.792575,0.003156,False
112,0.784035,0.004547,False
113,0.774413,0.003487,False
114,0.770161,0.006235,False
