cycle,delta,anomaly,alert
1,0.0,0.00512,False
2,0.000105,0.001282,False
3,0.000739,0.002718,False
4,0.003291,0.00792,False
5,0.000966,0.002387,False
6,0.003079,0.006472,False
7,0.003329,0.007454,False
8,0.000742,0.006021,False
9,0.002823,0.004676,False
10,0.00406,0.014527,False
11,0.004559,0.011961,False
12,0.004457,0.009566,False
13,0.004032,0.009247,False
14,0.001818,0.005277,False
15,1e-06,0.000907,False
16,0.004212,0.010822,False
17,0.00465,0.012841,False
18,0.00068,0.00407,False
19,0.001982,0.005943,False
20,0.00316,0.008934,False
21,0.004869,0.013182,False
22,0.007317,0.017264,False
23,0.010536,0.022599,False
24,0.00569,0.017146,False
25,0.001509,0.004967,False
26,0.002054,0.004815,False
27,0.000191,0.001357,False
28,0.003141,0.005086,False
29,0.002197,0.005594,False
30,0.001704,0.002674,False
31,0.008035,0.017852,False
32,0.005627,0.021964,False
33,0.006437,0.020736,False
34,0.009117,0.023807,False
35,0.000859,0.047126,False
36,0.005932,0.015553,False
37,0.003267,0.006827,False
38,0.000674,0.005607,False
39,0.002182,0.007015,False
40,0.001499,0.004956,False
41,0.00332,0.006824,False
42,0.005337,0.014033,False
43,0.003233,0.050633,False
44,0.009604,0.027659,False
45,0.014198,0.036339,False
46,0.00387,0.049806,False
47,0.00959,0.021003,False
48,0.000203,0.004265,False
49,0.009973,0.052339,False
50,0.005008,0.009584,False
51,0.012375,0.054283,False
52,0.005271,0.010836,False
53,0.003985,0.048053,False
54,0.006111,0.024614,False
55,0.01304,0.038499,False
56,0.019312,0.045658,False
57,0.0028,0.057468,False
58,0.00447,0.045241,False
59,0.002398,0.006459,False
60,0.007432,0.052508,False
61,0.003451,0.007891,False
62,0.009829,0.056342,False
63,0.000889,0.001639,False
64,0.006921,0.047085,False
65,0.001863,0.050115,False
66,0.016497,0.04223,False
67,0.019264,0.038584,False
68,0.01634,0.040006,False
69,0.002468,0.044955,False
70,0.002851,0.008134,False
71,0.009924,0.054557,False
72,0.003502,0.008051,False
73,0.006391,0.057002,False
74,0.003748,0.011374,False
75,0.007541,0.048267,False
76,0.000375,0.047354,False
77,0.006261,0.053913,False
78,0.015292,0.039348,False
79,0.003834,0.048585,False
80,0.007823,0.017253,False
81,0.001974,0.011992,False
82,0.004032,0.054059,False
83,0.011322,0.061257,False
84,0.007873,0.060479,False
85,0.00092,0.014017,False
86,0.001561,0.003944,False
87,0.002014,0.047219,False
88,0.004028,0.049683,False
89,0.000135,0.042235,False
90,0.001651,0.047453,False
91,0.004834,0.009385,False
92,0.000621,0.013123,False
93,0.007314,0.05371,False
94,0.000278,0.001662,False
95,0.009228,0.055096,False
96,0.003634,0.020549,False
97,0.004036,0.009646,False
98,0.001127,0.042525,False
99,0.001276,0.042198,False
100,0.000868,0.040588,False
101,9.8e-05,0.038976,False
102,0.002964,0.011089,False
103,0.004395,0.028344,False
104,0.009482,0.057934,False
105,0.001956,0.004378,False
106,0.011096,0.056808,False
107,0.005391,0.026609,False
108,0.001782,0.007763,False
109,0.002534,0.040387,False
110,0.003571,0.039636,False
111,0.001927,0.03965,False
112,0.007703,0.048767,False
113,0.00106,0.011612,False
114,0.002748,0.021041,False
115,0.009694,0.056479,False
116,0.004211,0.009635,False
117,0.006998,0.054665,False
118,0.008455,0.035326,False
119,0.000449,0.008913,False
120,0.005626,0.044524,False
121,0.00305,0.036652,False
122,0.00347,0.037963,False
123,0.005588,0.040235,False
124,0.00398,0.020162,False
125,0.007413,0.032566,False
126,0.006004,0.060331,False
127,0.016762,0.073172,False
128,0.01243,0.064024,False
129,0.005855,0.031298,False
130,0.001031,0.016404,False
131,0.005123,0.039633,False
132,0.004161,0.011228,False
133,0.001203,0.00712,False
134,0.003431,0.035955,False
135,0.001338,0.015129,False
136,0.012792,0.047346,False
137,0.008133,0.062808,False
138,0.001465,0.008309,False
139,0.006831,0.059546,False
140,0.015496,0.052847,False
141,0.002006,0.020035,False
142,0.007916,0.03746,False
143,0.002475,0.005945,False
144,0.008396,0.036245,False
145,0.005109,0.033248,False
146,0.003428,0.019533,False
147,0.001476,0.007763,False
148,0.011526,0.061542,False
149,0.004179,0.010017,False
150,0.009568,0.061546,False
151,0.002469,0.012037,False
152,0.01023,0.03796,False
153,0.001719,0.031941,False
154,0.005057,0.01274,False
155,0.005541,0.01251,False
156,0.005659,0.038114,False
157,0.006374,0.03036,False
158,0.001074,0.008782,False
159,0.008488,0.059752,False
160,0.003576,0.00678,False
161,0.004195,0.058158,False
162,0.005475,0.021776,False
163,0.006547,0.03084,False
164,0.00517,0.030678,False
165,0.004152,0.008007,False
166,0.001316,0.00416,False
167,0.006556,0.033046,False
168,0.0116,0.044398,False
169,0.003984,0.020224,False
170,0.013643,0.06825,False
171,0.001373,0.004543,False
172,0.010952,0.063389,False
173,0.005159,0.019529,False
174,0.008916,0.034647,False
175,0.009332,0.032715,False
176,0.005726,0.012499,False
177,7.7e-05,0.004767,False
178,0.00618,0.03647,False
179,0.005009,0.013475,False
180,0.007092,0.025828,False
181,0.008961,0.062078,False
182,0.005422,0.012286,False
183,0.006736,0.06378,False
184,0.012503,0.039758,False
185,0.000212,0.010188,False
186,0.007573,0.029394,False
187,0.004676,0.013516,False
188,0.002702,0.013181,False
189,9.5e-05,0.008302,False
190,0.003333,0.011291,False
191,0.017276,0.047109,False
192,0.008486,0.062745,False
193,0.000302,0.005278,False
194,0.006477,0.065655,False
195,0.013012,0.042725,False
196,0.007722,0.018561,False
197,0.003126,0.014379,False
198,0.005721,0.018021,False
199,0.005369,0.012746,False
200,0.001795,0.014069,False
201,0.001172,0.012031,False
202,0.017744,0.050861,False
203,0.010093,0.068272,False
204,0.000767,0.006629,False
205,0.003297,0.062257,False
206,0.017702,0.049897,False
207,0.002126,0.017765,False
208,0.000875,0.014295,False
209,0.009512,0.020354,False
210,0.010652,0.026305,False
211,0.004747,0.020615,False
212,0.004056,0.021646,False
213,0.020966,0.0611,False
214,0.011975,0.071875,False
215,0.00275,0.011435,False
216,0.004816,0.063786,False
217,0.022104,0.067463,False
218,0.000488,0.018269,False
219,0.001314,0.010956,False
220,0.006515,0.012007,False
