cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,noise,contradiction,pressure,drift
1,0.002646,0.943722,0.8364,0.807909,0.001199,0.002637,0.001697,0.010504,0.0168,0,1,0
2,0.00236,0.946092,0.836258,0.811564,0.00198,0.000553,0.002044,-0.001136,0.0186,0,1,0
3,0.002752,0.94437,0.836362,0.81329,0.002558,0.002426,0.002126,0.001554,0.0204,0,1,0
4,-0.000205,0.943131,0.836434,0.804202,0.002422,0.012632,0.002274,-0.011735,0.0222,0,1,0
5,-0.000705,0.946293,0.836246,0.810257,0.002226,0.002035,0.002211,-0.001984,0.024,0,1,0
6,-0.00374,0.94329,0.836425,0.800801,0.0018,0.008889,0.001934,-0.012047,0.0258,0,1,0
7,-0.007583,0.941551,0.83652,0.796879,0.001206,0.013596,0.001565,-0.01525,0.0276,0,1,0
8,-0.007645,0.94457,0.836351,0.799896,0.000543,0.026609,0.001785,-0.000247,0.0294,0,1,0
9,-0.002705,0.939993,0.8366,0.80576,0.000202,0.00732,0.001955,0.019609,0.0312,0,1,0
10,-0.005961,0.939299,0.836635,0.794304,0.000242,0.033159,0.002414,-0.012928,0.033,0,1,0
11,-0.00904,0.939222,0.836638,0.808496,0.000851,0.009739,0.002672,-0.012221,0.0348,0,1,0
12,-0.008927,0.94333,0.836422,0.811054,0.001415,0.008983,0.002899,0.000448,0.0366,0,1,0
13,-0.007043,0.941945,0.836499,0.811016,0.001914,0.010211,0.003311,0.007481,0.0384,0,1,0
14,-0.00684,0.945472,0.836296,0.81155,0.002405,0.001645,0.00349,0.000804,0.0402,0,1,0
15,-0.008088,0.943166,0.836432,0.810403,0.002879,0.002766,0.003308,-0.004953,0.042,0,1,0
16,-0.013261,0.934845,0.836831,0.783045,0.003459,0.039936,0.003272,-0.020537,0.0438,0,1,0
17,-0.004678,0.933545,0.836881,0.77015,0.003909,0.05492,0.00282,0.034069,0.0456,0,1,0
18,-0.006941,0.941331,0.836532,0.798587,0.004455,0.02484,0.002672,-0.008983,0.0474,0,1,0
19,0.00015,0.937149,0.836734,0.784428,0.004889,0.027974,0.002549,0.028144,0.0492,0,1,0
20,-0.000576,0.946535,0.836231,0.807845,0.005182,0.008245,0.002505,-0.002879,0.051,0,1,0
21,-0.003141,0.944346,0.836364,0.806949,0.005484,0.011182,0.002077,-0.01018,0.0528,0,1,0
22,-0.008613,0.939766,0.836612,0.801528,0.005789,0.00597,0.001255,-0.021715,0.0546,0,1,0
