cycle,trust,deviation,alert
1,0.777292,0.002646,False
2,0.777412,0.00236,False
3,0.776412,0.002752,False
4,0.778323,0.000205,False
5,0.778072,0.000705,False
6,0.77835,0.00374,False
7,0.77778,0.007583,False
8,0.778179,0.007645,False
9,0.776455,0.002705,False
10,0.77786,0.005961,False
11,0.77438,0.00904,False
12,0.775275,0.008927,False
13,0.775194,0.007043,False
14,0.776311,0.00684,False
15,0.775518,0.008088,False
16,0.777142,0.013261,False
17,0.780995,0.004678,False
18,0.777493,0.006941,False
19,0.78027,0.00015,False
20,0.778661,0.000576,False
21,0.777594,0.003141,False
22,0.776043,0.008613,False
23,0.774578,0.003003,False
24,0.775604,0.001045,False
25,0.777788,0.0043,False
26,0.778449,0.00088,False
27,0.775914,0.003717,False
28,0.779279,0.003007,False
29,0.780343,0.000754,False
30,0.780199,0.003478,False
31,0.782738,0.007235,False
32,0.776776,0.008595,False
33,0.770278,0.005888,False
34,0.770769,0.016888,False
35,0.782202,0.000816,False
36,0.779154,0.000606,False
37,0.777287,0.001655,False
38,0.781257,0.010314,False
39,0.776429,0.016661,False
40,0.77945,0.009449,False
41,0.777471,0.00744,False
42,0.76936,0.007118,False
43,0.776949,0.007681,False
44,0.778871,0.000966,False
45,0.777619,0.001382,False
46,0.780588,0.002169,False
47,0.77719,0.011599,False
48,0.778615,0.007468,False
49,0.777059,0.006113,False
50,0.780343,0.0041,False
51,0.7754,0.010943,False
52,0.783072,0.002467,False
53,0.774036,0.011719,False
54,0.775756,0.007891,False
55,0.784124,0.002869,False
56,0.777886,0.003488,False
57,0.776938,0.016125,False
58,0.776512,0.025216,False
59,0.777713,0.015665,False
60,0.775466,0.007477,False
61,0.784132,0.005664,False
62,0.780714,0.009808,False
63,0.785592,3.3e-05,False
64,0.780743,0.011525,False
65,0.778084,0.007936,False
66,0.780589,0.007256,False
67,0.769747,0.019778,False
68,0.778027,0.032184,False
69,0.770287,0.039322,False
70,0.768209,0.035685,False
71,0.773012,0.037003,False
72,0.776233,0.016186,False
73,0.773506,0.021068,False
74,0.776346,0.019967,False
75,0.772418,0.012866,False
76,0.776082,0.00674,False
77,0.776764,0.034452,False
78,0.773088,0.031706,False
79,0.768375,0.02113,False
80,0.777047,0.009698,False
81,0.778182,0.014743,False
82,0.774698,0.014208,False
