cycle,delta,anomaly,alert
1,0.0,0.003493,False
2,0.000286,0.000903,False
3,0.000392,0.001436,False
4,0.002957,0.00695,False
5,0.0005,0.00152,False
6,0.003035,0.006239,False
7,0.003843,0.00819,False
8,6.2e-05,0.005762,False
9,0.00494,0.008486,False
10,0.003256,0.011486,False
11,0.003079,0.006615,False
12,0.000113,0.002528,False
13,0.001884,0.005234,False
14,0.000203,0.001299,False
15,0.001248,0.00289,False
16,0.005173,0.015586,False
17,0.008583,0.023069,False
18,0.002263,0.00854,False
19,0.007091,0.015622,False
20,0.000726,0.003124,False
21,0.002565,0.006095,False
22,0.005472,0.008789,False
23,0.00561,0.008078,False
24,0.001958,0.004977,False
25,0.003255,0.007963,False
26,0.00342,0.009803,False
27,0.004597,0.009159,False
28,0.006724,0.011644,False
29,0.003761,0.012535,False
30,0.002724,0.004807,False
31,0.010713,0.019341,False
32,0.00136,0.010749,False
33,0.014483,0.054451,False
34,0.022776,0.062461,False
35,0.016072,0.030583,False
36,0.00021,0.0018,False
37,0.002261,0.008322,False
38,0.008659,0.024698,False
39,0.006347,0.019908,False
40,0.007212,0.017255,False
41,0.002009,0.007004,False
42,0.014558,0.062709,False
43,0.000563,0.006742,False
44,0.006715,0.016744,False
45,0.002348,0.008879,False
46,0.003551,0.016242,False
47,0.013768,0.024424,False
48,0.004131,0.020374,False
49,0.001355,0.009324,False
50,0.010213,0.022797,False
51,0.015043,0.050092,False
52,0.01341,0.034572,False
53,0.009252,0.017013,False
54,0.01961,0.035437,False
55,0.01076,0.027534,False
56,0.000619,0.005293,False
57,0.019613,0.042599,False
58,0.009091,0.016556,False
59,0.009551,0.027786,False
60,0.008188,0.013315,False
61,0.001813,0.047185,False
62,0.004144,0.022015,False
63,0.009841,0.032867,False
64,0.011492,0.028226,False
65,0.019461,0.058784,False
66,0.015192,0.024928,False
67,0.012522,0.058024,False
68,0.012406,0.03389,False
69,0.007138,0.023195,False
70,0.003637,0.012697,False
71,0.001318,0.005764,False
72,0.020817,0.04585,False
73,0.004882,0.060518,False
74,0.001101,0.022763,False
75,0.007101,0.010875,False
76,0.019606,0.055273,False
77,0.041192,0.066447,False
78,0.002746,0.022938,False
79,0.010576,0.055399,False
80,0.011432,0.021559,False
81,0.005045,0.025565,False
82,0.000535,0.004576,False
83,0.01356,0.065278,False
84,0.005551,0.015803,False
85,0.020612,0.069881,False
86,0.007725,0.016097,False
87,0.019479,0.040436,False
88,0.010398,0.016815,False
89,0.008311,0.063011,False
90,0.008095,0.018429,False
91,0.009071,0.012883,False
92,0.010762,0.021273,False
93,0.003662,0.013411,False
94,0.003146,0.013369,False
95,0.007301,0.016679,False
96,0.010117,0.015394,False
97,0.03378,0.079165,False
98,0.003857,0.027211,False
99,0.009831,0.021875,False
100,0.004894,0.016172,False
101,0.024251,0.067779,False
102,0.015903,0.069346,False
103,0.010033,0.057327,False
104,0.004626,0.015396,False
105,0.011665,0.027179,False
106,0.01913,0.066452,False
107,0.024073,0.049254,False
108,0.003968,0.020633,False
109,0.013829,0.026704,False
110,0.009296,0.026441,False
111,0.042389,0.090674,False
112,0.015287,0.061775,False
113,0.002544,0.012965,False
114,0.002648,0.015934,False
115,0.012157,0.068877,False
116,0.005766,0.028323,False
117,0.017435,0.065811,False
118,0.000515,0.047628,False
119,0.011784,0.039621,False
120,0.011584,0.065154,False
121,0.011993,0.028598,False
122,0.015094,0.074477,False
123,0.02094,0.079485,False
124,0.01002,0.024683,False
125,0.003925,0.009568,False
126,0.017785,0.049757,False
127,0.014608,0.071485,False
128,0.012632,0.034908,False
129,0.007155,0.012307,False
130,0.011757,0.07979,False
131,0.026164,0.039267,False
132,0.020079,0.05683,False
133,0.008451,0.069505,False
134,0.006423,0.021373,False
135,0.003837,0.011418,False
136,0.003812,0.056727,False
137,0.002261,0.008479,False
138,0.02603,0.05156,False
139,0.003073,0.017638,False
140,0.011379,0.05201,False
141,0.011793,0.044113,False
142,0.009607,0.034602,False
143,0.003454,0.009259,False
144,0.011051,0.053048,False
145,0.012117,0.062741,False
146,0.043903,0.086139,False
147,0.02582,0.055112,False
148,0.010147,0.051003,False
149,0.023726,0.066525,False
150,0.00781,0.060489,False
151,0.036967,0.068532,False
152,0.017941,0.031185,False
153,0.019762,0.048357,False
154,0.020939,0.087331,False
155,0.013097,0.028797,False
156,0.004168,0.088897,False
157,0.008825,0.038548,False
158,0.003766,0.054284,False
159,0.014687,0.057765,False
160,0.006464,0.071513,False
161,0.033353,0.11288,False
162,0.009076,0.028601,False
163,0.012646,0.021454,False
164,0.009081,0.017211,False
165,0.032828,0.08886,False
166,0.041016,0.079241,False
167,0.009095,0.032252,False
168,0.002408,0.045088,False
169,0.009531,0.04799,False
170,0.015786,0.096032,False
171,0.002995,0.014184,False
172,0.006773,0.019127,False
173,0.024377,0.087234,False
174,0.006551,0.023102,False
175,0.010964,0.020949,False
176,0.016495,0.028956,False
177,0.009478,0.03125,False
178,0.036824,0.093921,False
179,0.003641,0.033718,False
180,0.003662,0.089963,False
181,0.014901,0.02438,False
182,0.035642,0.106326,False
183,0.007558,0.035172,False
184,0.006874,0.066201,False
185,0.025156,0.040231,False
186,0.021525,0.060878,False
187,0.012008,0.085473,False
188,0.01307,0.024063,False
189,0.02936,0.080603,False
190,0.005261,0.00827,False
191,0.01031,0.027321,False
192,0.00902,0.021155,False
193,0.044062,0.096638,False
194,0.000259,0.060574,False
195,0.01927,0.073719,False
196,0.001169,0.069024,False
197,0.022066,0.052364,False
198,0.028272,0.057028,False
199,0.017309,0.072433,False
200,0.005971,0.083768,False
201,0.018582,0.047339,False
202,0.020048,0.044754,False
203,0.024367,0.039959,False
204,0.013371,0.07937,False
205,0.033069,0.106013,False
206,0.029406,0.060531,False
207,0.026362,0.053805,False
208,0.024889,0.068736,False
209,0.023979,0.055628,False
210,0.004434,0.018803,False
211,0.005323,0.014005,False
212,0.021005,0.073064,False
213,0.022781,0.067613,False
214,0.046486,0.119367,False
215,0.016151,0.086878,False
216,0.017659,0.059852,False
217,0.057402,0.150855,False
218,0.01464,0.064731,False
219,0.031266,0.10231,False
220,0.056917,0.104856,False
