cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,noise,contradiction,pressure,drift
1,0.003152,0.943099,0.836435,0.806761,0.001429,0.00314,0.002022,0.012511,0.02,0,1,0
2,0.002785,0.945889,0.836271,0.811312,0.002322,0.000594,0.00245,-0.001458,0.02,0,1,0
3,0.003099,0.944338,0.836364,0.813343,0.002953,0.002379,0.002545,0.001248,0.02,0,1,0
4,0.000351,0.943316,0.836423,0.805051,0.002887,0.01138,0.002657,-0.010908,0.02,0,1,0
5,-0.000119,0.946354,0.836242,0.810771,0.002741,0.001696,0.002563,-0.001867,0.02,0,1,0
6,-0.002513,0.944046,0.836381,0.803658,0.002396,0.00689,0.002286,-0.009501,0.02,0,1,0
7,-0.005288,0.942975,0.836442,0.801513,0.001922,0.009852,0.001937,-0.011013,0.02,0,1,0
8,-0.005283,0.945247,0.83631,0.804341,0.001402,0.018102,0.001998,1.9e-05,0.02,0,1,0
9,-0.002025,0.94225,0.836482,0.80865,0.001095,0.004692,0.002028,0.012932,0.02,0,1,0
10,-0.003936,0.942232,0.836483,0.801973,0.000735,0.020096,0.002231,-0.007586,0.02,0,1,0
11,-0.005597,0.942498,0.836469,0.810737,0.00029,0.005597,0.002314,-0.006594,0.02,0,1,0
12,-0.005437,0.944773,0.836339,0.812273,0.000117,0.004909,0.002372,0.000637,0.02,0,1,0
13,-0.004341,0.944092,0.836379,0.812376,0.000476,0.005318,0.00252,0.004351,0.02,0,1,0
14,-0.004151,0.94598,0.836265,0.812661,0.000817,0.000819,0.002542,0.000753,0.02,0,1,0
15,-0.004647,0.945048,0.836322,0.812202,0.001136,0.001317,0.002386,-0.001969,0.02,0,1,0
16,-0.006936,0.941302,0.836533,0.799751,0.00149,0.018236,0.002295,-0.009085,0.02,0,1,0
17,-0.002996,0.940687,0.836565,0.794566,0.001832,0.024088,0.00202,0.015639,0.02,0,1,0
18,-0.003861,0.944421,0.836359,0.807434,0.002227,0.010481,0.001873,-0.003432,0.02,0,1,0
19,-0.000877,0.942648,0.836461,0.801823,0.002579,0.011372,0.001741,0.011841,0.02,0,1,0
20,-0.001125,0.946552,0.836229,0.811583,0.002802,0.003233,0.001644,-0.000984,0.02,0,1,0
21,-0.002067,0.94574,0.83628,0.811307,0.003015,0.004236,0.001401,-0.003738,0.02,0,1,0
22,-0.004037,0.944094,0.836379,0.80944,0.003183,0.002187,0.00102,-0.007818,0.02,0,1,0
23,-0.002071,0.943863,0.836392,0.813595,0.003176,0.000742,0.000725,0.007803,0.02,0,1,0
24,-0.001381,0.944214,0.836372,0.813009,0.003083,0.003993,0.00047,0.002737,0.02,0,1,0
25,-0.002425,0.944578,0.83635,0.808918,0.003104,0.005899,0.000257,-0.004143,0.02,0,1,0
26,-0.00136,0.945085,0.83632,0.809565,0.003024,0.008147,1e-05,0.004224,0.02,0,1,0
27,0.000125,0.944013,0.836383,0.810343,0.002811,0.004317,0.000177,0.005893,0.02,0,1,0
28,-0.001886,0.944056,0.836381,0.80615,0.002597,0.003423,0.00044,-0.007981,0.02,0,1,0
29,-0.000738,0.94424,0.83637,0.805448,0.002386,0.010411,0.00065,0.004558,0.02,0,1,0
30,3.4e-05,0.946669,0.836222,0.808452,0.002174,0.000988,0.000653,0.003064,0.02,0,1,0
31,-0.003063,0.943407,0.836418,0.79925,0.00196,0.005338,0.000873,-0.012291,0.02,0,1,0
32,-0.003329,0.944136,0.836376,0.808506,0.001687,0.011481,0.000917,-0.001056,0.02,0,1,0
33,-0.002724,0.94562,0.836287,0.813266,0.001501,0.000938,0.000915,0.002399,0.02,0,1,0
34,-0.004835,0.943474,0.836414,0.805805,0.001323,0.002716,0.001067,-0.008379,0.02,0,1,0
35,-0.00098,0.942208,0.836485,0.799947,0.001121,0.013587,0.001159,0.015303,0.02,0,1,0
36,-0.000915,0.946766,0.836216,0.812007,0.00093,0.001173,0.001272,0.000258,0.02,0,1,0
37,-0.000342,0.945551,0.836292,0.811661,0.000718,0.005588,0.001416,0.002272,0.02,0,1,0
38,0.001836,0.943633,0.836405,0.801377,0.000445,0.014638,0.001552,0.008646,0.02,0,1,0
39,0.003369,0.943353,0.836421,0.805208,0.000239,0.012192,0.00168,0.006085,0.02,0,1,0
40,0.000681,0.943992,0.836384,0.805602,0.000134,0.007469,0.001737,-0.010669,0.02,0,1,0
41,0.000372,0.946658,0.836223,0.810975,1.6e-05,0.004575,0.001795,-0.001227,0.02,0,1,0
42,0.000108,0.945907,0.83627,0.812944,8e-05,0.00756,0.001976,-0.001047,0.02,0,1,0
43,-0.000531,0.94629,0.836246,0.811644,8.2e-05,0.004289,0.001987,-0.002536,0.02,0,1,0
44,0.000785,0.944834,0.836335,0.808635,0.00013,0.005855,0.001959,0.005222,0.02,0,1,0
45,0.000929,0.94611,0.836257,0.811539,0.000188,0.003554,0.001916,0.000573,0.02,0,1,0
46,4.8e-05,0.945232,0.836311,0.807383,0.00024,0.009421,0.001759,-0.003496,0.02,0,1,0
47,0.002731,0.944028,0.836382,0.806626,0.00036,0.004033,0.001356,0.010646,0.02,0,1,0
48,0.00077,0.943509,0.836412,0.806685,0.000432,0.013174,0.000888,-0.007779,0.02,0,1,0
49,0.00062,0.945947,0.836267,0.811035,0.000487,0.006642,0.000435,-0.000597,0.02,0,1,0
50,-0.001296,0.94405,0.836381,0.8055,0.000529,0.009398,7.5e-05,-0.007604,0.02,0,1,0
51,-0.000516,0.94739,0.836176,0.809409,0.000494,8.3e-05,0.000245,0.003097,0.02,0,1,0
52,-0.002698,0.942829,0.836451,0.801898,0.000414,0.014847,0.000528,-0.008659,0.02,0,1,0
53,-0.004111,0.944107,0.836378,0.810433,0.00024,0.003452,0.000694,-0.00561,0.02,0,1,0
54,4.4e-05,0.942222,0.836484,0.805273,0.000133,0.001211,0.001011,0.016493,0.02,0,1,0
55,-0.00178,0.944601,0.836349,0.80388,5.5e-05,0.010934,0.001274,-0.007243,0.02,0,1,0
56,-0.000677,0.945638,0.836286,0.812199,0.000122,0.002499,0.00145,0.004378,0.02,0,1,0
57,0.002498,0.941812,0.836506,0.802194,8.4e-05,0.013674,0.001519,0.012604,0.02,0,1,0
58,0.003977,0.944936,0.836329,0.806768,4.6e-05,0.002094,0.001664,0.005868,0.02,0,1,0
59,0.002244,0.943948,0.836387,0.805408,2.3e-05,0.011096,0.00182,-0.006879,0.02,0,1,0
60,0.000829,0.945682,0.836284,0.811976,6e-06,0.000139,0.001862,-0.005617,0.02,0,1,0
61,-0.001188,0.944319,0.836365,0.804879,0.000114,0.011481,0.001935,-0.008003,0.02,0,1,0
62,-2e-06,0.944767,0.836339,0.805746,0.000159,0.010897,0.001877,0.004706,0.02,0,1,0
63,-0.00127,0.944558,0.836351,0.803785,0.000296,0.016066,0.001964,-0.005035,0.02,0,1,0
64,-0.003238,0.943204,0.83643,0.801891,0.000364,0.010274,0.001917,-0.00781,0.02,0,1,0
65,-0.000513,0.945079,0.83632,0.807294,0.000369,0.004308,0.002034,0.010819,0.02,0,1,0
66,-0.002557,0.944961,0.836327,0.807433,0.000379,0.001006,0.001963,-0.008115,0.02,0,1,0
67,0.000778,0.94103,0.836547,0.800485,0.000293,0.0225,0.001657,0.013237,0.02,0,1,0
68,-0.001839,0.94338,0.83642,0.802082,0.000217,0.011234,0.001389,-0.010386,0.02,0,1,0
69,-0.003323,0.943707,0.836401,0.806943,0.000119,0.010351,0.001236,-0.005889,0.02,0,1,0
70,-0.003227,0.945794,0.836277,0.812358,0.000128,0.005764,0.000968,0.000378,0.02,0,1,0
71,-0.004912,0.944551,0.836352,0.806339,0.00014,0.005586,0.000708,-0.006688,0.02,0,1,0
72,-0.001872,0.941915,0.836501,0.803711,0.000147,0.012313,0.000472,0.012068,0.02,0,1,0
73,-0.000741,0.94358,0.836408,0.80478,0.000224,0.017346,0.000101,0.004485,0.02,0,1,0
74,-0.000858,0.94554,0.836292,0.80797,0.000323,0.014402,5e-05,-0.000464,0.02,0,1,0
75,-3.8e-05,0.945768,0.836278,0.812706,0.000385,0.000421,6.2e-05,0.003253,0.02,0,1,0
76,0.000963,0.946315,0.836244,0.809615,0.000376,0.001116,0.000131,0.003972,0.02,0,1,0
77,-0.003163,0.941517,0.836522,0.797658,0.000378,0.012695,7.4e-05,-0.01637,0.02,0,1,0
78,-0.003368,0.94546,0.836297,0.808741,0.000476,0.011758,0.000193,-0.000814,0.02,0,1,0
79,-0.003653,0.945158,0.836315,0.811159,0.000543,0.003889,0.000272,-0.001131,0.02,0,1,0
80,-0.000842,0.943652,0.836404,0.808666,0.000536,0.003881,0.000356,0.011153,0.02,0,1,0
81,-0.001441,0.944658,0.836345,0.807105,0.000591,0.011433,0.000502,-0.002374,0.02,0,1,0
82,-0.001334,0.946426,0.836237,0.812342,0.000577,0.00192,0.000594,0.000423,0.02,0,1,0
83,-0.001038,0.945586,0.83629,0.806232,0.000656,0.012939,0.000498,0.001176,0.02,0,1,0
84,-0.002172,0.945055,0.836322,0.8089,0.000718,0.00496,0.000413,-0.004501,0.02,0,1,0
85,-0.0002,0.944272,0.836368,0.806653,0.000688,0.006499,0.000371,0.007826,0.02,0,1,0
86,0.000529,0.945433,0.836299,0.812945,0.000603,0.002906,0.000303,0.002892,0.02,0,1,0
87,0.003046,0.943187,0.83643,0.804631,0.000429,0.003704,0.00042,0.009988,0.02,0,1,0
88,0.001707,0.945221,0.836312,0.812911,0.000352,0.001193,0.000448,-0.005313,0.02,0,1,0
89,0.002268,0.944955,0.836328,0.80702,0.000262,0.010935,0.000358,0.002227,0.02,0,1,0
90,0.003547,0.943989,0.836385,0.805965,0.000128,0.012019,0.000199,0.005075,0.02,0,1,0
91,0.003863,0.946168,0.836254,0.8124,7e-06,5.2e-05,0.000127,0.001254,0.02,0,1,0
92,-0.000503,0.941647,0.836515,0.793891,4.1e-05,0.018718,3.7e-05,-0.017325,0.02,0,1,0
93,-0.002121,0.944526,0.836353,0.804308,0.000127,0.011631,3.4e-05,-0.00642,0.02,0,1,0
94,-0.001485,0.945808,0.836276,0.811718,0.000263,0.004304,2.7e-05,0.002521,0.02,0,1,0
95,-0.000516,0.945603,0.836288,0.81133,0.000429,0.002988,7e-05,0.003849,0.02,0,1,0
96,0.00128,0.944782,0.836338,0.809927,0.000547,0.004434,0.000111,0.007124,0.02,0,1,0
97,-0.001,0.944512,0.836354,0.808351,0.000619,0.000866,0.000257,-0.009048,0.02,0,1,0
98,-0.003721,0.944059,0.836381,0.804424,0.00061,0.003312,0.000506,-0.010795,0.02,0,1,0
99,-0.004269,0.94582,0.836275,0.808977,0.000574,0.00229,0.000741,-0.002178,0.02,0,1,0
100,-0.00606,0.943478,0.836414,0.80825,0.000486,0.002706,0.001003,-0.007105,0.02,0,1,0
101,-0.00445,0.943927,0.836388,0.811766,0.000372,0.001598,0.001148,0.00639,0.02,0,1,0
102,-0.003889,0.944555,0.836352,0.813282,0.000162,0.005058,0.001112,0.002224,0.02,0,1,0
103,-0.003436,0.945679,0.836284,0.81266,0.000113,0.003066,0.001019,0.001797,0.02,0,1,0
104,-0.003238,0.945205,0.836313,0.806214,0.000328,0.012857,0.000802,0.000788,0.02,0,1,0
105,-0.003521,0.94458,0.83635,0.810991,0.000567,0.005154,0.000628,-0.001126,0.02,0,1,0
106,-0.005106,0.943497,0.836413,0.805115,0.000855,0.007876,0.000547,-0.006288,0.02,0,1,0
107,-0.00592,0.943934,0.836388,0.804676,0.00114,0.010336,0.000466,-0.003231,0.02,0,1,0
108,-0.004105,0.943081,0.836436,0.802281,0.001354,0.01541,0.000512,0.007204,0.02,0,1,0
109,-0.000465,0.942177,0.836486,0.79681,0.001476,0.013714,0.000441,0.014445,0.02,0,1,0
110,0.001712,0.943235,0.836428,0.800575,0.001533,0.017652,0.000492,0.008639,0.02,0,1,0
111,0.004904,0.942827,0.836451,0.80195,0.001538,0.006725,0.000393,0.012666,0.02,0,1,0
112,0.003982,0.944989,0.836326,0.813239,0.001544,0.000113,0.000307,-0.003657,0.02,0,1,0
113,0.002941,0.944365,0.836363,0.813566,0.00153,0.003847,0.000334,-0.004133,0.02,0,1,0
114,0.002111,0.944471,0.836356,0.810854,0.001422,0.002605,0.000518,-0.003294,0.02,0,1,0
115,0.001648,0.945075,0.83632,0.813747,0.001267,0.005266,0.000755,-0.001836,0.02,0,1,0
116,-0.001001,0.942484,0.83647,0.803881,0.001081,0.013882,0.000838,-0.010512,0.02,0,1,0
117,9.9e-05,0.945972,0.836266,0.810992,0.000883,0.001044,0.000841,0.004363,0.02,0,1,0
