cycle,trust,deviation,alert
1,0.777211,0.003152,False
2,0.77731,0.002785,False
3,0.776321,0.003099,False
4,0.778186,0.000351,False
5,0.778106,0.000119,False
6,0.778277,0.002513,False
7,0.777792,0.005288,False
8,0.777989,0.005283,False
9,0.776773,0.002025,False
10,0.77772,0.003936,False
11,0.775725,0.005597,False
12,0.776213,0.005437,False
13,0.776184,0.004341,False
14,0.776797,0.004151,False
15,0.776477,0.004647,False
16,0.777252,0.006936,False
17,0.778869,0.002996,False
18,0.777378,0.003861,False
19,0.778502,0.000877,False
20,0.777809,0.001125,False
21,0.777404,0.002067,False
22,0.776832,0.004037,False
23,0.776317,0.002071,False
24,0.77669,0.001381,False
25,0.777421,0.002425,False
26,0.777675,0.00136,False
27,0.777407,0.000125,False
28,0.777908,0.001886,False
29,0.778339,0.000738,False
30,0.778692,3.4e-05,False
31,0.778834,0.003063,False
32,0.777175,0.003329,False
33,0.776841,0.002724,False
34,0.777191,0.004835,False
35,0.778709,0.00098,False
36,0.777838,0.000915,False
37,0.777615,0.000342,False
38,0.77873,0.001836,False
39,0.777563,0.003369,False
40,0.778237,0.000681,False
41,0.778117,0.000372,False
42,0.777525,0.000108,False
43,0.777828,0.000531,False
44,0.777892,0.000785,False
45,0.777709,0.000929,False
46,0.778423,4.8e-05,False
47,0.777634,0.002731,False
48,0.77784,0.00077,False
49,0.777817,0.00062,False
50,0.778154,0.001296,False
51,0.778645,0.000516,False
52,0.778184,0.002698,False
53,0.776623,0.004111,False
54,0.777835,4.4e-05,False
55,0.778566,0.00178,False
56,0.77747,0.000677,False
57,0.777822,0.002498,False
58,0.777661,0.003977,False
59,0.777948,0.002244,False
60,0.777499,0.000829,False
61,0.778389,0.001188,False
62,0.778604,2e-06,False
63,0.778672,0.00127,False
64,0.778203,0.003238,False
65,0.778296,0.000513,False
66,0.77782,0.002557,False
67,0.778245,0.000778,False
68,0.778504,0.001839,False
69,0.777344,0.003323,False
70,0.77698,0.003227,False
71,0.777431,0.004912,False
72,0.777679,0.001872,False
73,0.778251,0.000741,False
74,0.778246,0.000858,False
75,0.77754,3.8e-05,False
76,0.778156,0.000963,False
77,0.778497,0.003163,False
78,0.777563,0.003368,False
79,0.776922,0.003653,False
80,0.777478,0.000842,False
81,0.778007,0.001441,False
82,0.777573,0.001334,False
83,0.778574,0.001038,False
84,0.777635,0.002172,False
85,0.778217,0.0002,False
86,0.777281,0.000529,False
87,0.777688,0.003046,False
88,0.776982,0.001707,False
89,0.777959,0.002268,False
90,0.77759,0.003547,False
91,0.77697,0.003863,False
92,0.779826,0.000503,False
93,0.778387,0.002121,False
94,0.777461,0.001485,False
95,0.777664,0.000516,False
96,0.777517,0.00128,False
97,0.777797,0.001,False
98,0.777887,0.003721,False
99,0.777457,0.004269,False
100,0.776459,0.00606,False
101,0.776228,0.00445,False
102,0.776248,0.003889,False
103,0.776839,0.003436,False
104,0.77801,0.003238,False
105,0.776788,0.003521,False
106,0.777283,0.005106,False
107,0.777355,0.00592,False
108,0.77791,0.004105,False
109,0.779428,0.000465,False
110,0.778782,0.001712,False
111,0.777731,0.004904,False
112,0.776383,0.003982,False
113,0.776317,0.002941,False
114,0.777061,0.002111,False
115,0.776777,0.001648,False
116,0.778011,0.001001,False
117,0.777939,9.9e-05,False
118,0.778185,0.001094,False
119,0.777587,0.002291,False
120,0.777183,0.001769,False
121,0.777713,0.001039,False
122,0.777187,0.001565,False
123,0.778848,0.002442,False
124,0.778369,0.000459,False
125,0.777578,0.000737,False
126,0.778366,0.003213,False
127,0.77766,0.003211,False
128,0.777238,0.003427,False
129,0.777011,0.00273,False
130,0.777043,0.001844,False
131,0.777946,0.005859,False
132,0.776704,0.005824,False
133,0.779315,0.002132,False
134,0.777444,0.001983,False
135,0.776964,0.001538,False
136,0.777502,0.000599,False
137,0.777293,0.001855,False
138,0.777741,1.8e-05,False
139,0.77797,4.1e-05,False
140,0.77842,0.001025,False
141,0.778738,0.000855,False
142,0.777887,0.000671,False
143,0.7788,0.002445,False
144,0.777902,0.002879,False
145,0.776932,0.001972,False
146,0.77732,0.003825,False
147,0.776021,0.004986,False
148,0.777459,0.002985,False
149,0.777673,0.004169,False
150,0.777275,0.005649,False
151,0.777573,0.003628,False
152,0.776418,0.002002,False
153,0.777348,0.00335,False
154,0.778598,0.002886,False
155,0.777272,0.003678,False
156,0.777102,0.007598,False
157,0.775798,0.007758,False
158,0.776222,0.008293,False
159,0.775518,0.007383,False
160,0.776025,0.008635,False
161,0.776126,0.004936,False
162,0.776601,0.003922,False
163,0.778258,0.001655,False
164,0.777796,0.003816,False
165,0.77685,0.004805,False
166,0.778323,0.001978,False
167,0.776828,0.00314,False
168,0.777604,0.004615,False
169,0.780189,0.000676,False
170,0.777352,0.004173,False
171,0.776945,0.003914,False
172,0.778623,0.000118,False
173,0.778402,0.003542,False
174,0.777224,0.006625,False
175,0.775898,0.005183,False
176,0.775593,0.00593,False
177,0.776151,0.005959,False
178,0.775809,0.00601,False
179,0.776487,0.005007,False
180,0.776963,0.005852,False
181,0.777624,0.003261,False
182,0.776801,0.007923,False
183,0.775532,0.007142,False
184,0.775643,0.006634,False
185,0.776604,0.004861,False
186,0.777293,0.005939,False
187,0.77684,0.005995,False
188,0.776503,0.00799,False
189,0.776002,0.006152,False
190,0.776275,0.005071,False
191,0.776295,0.005071,False
192,0.77679,0.003635,False
193,0.777265,0.003758,False
194,0.776507,0.00309,False
195,0.776491,0.003757,False
196,0.777624,0.002769,False
197,0.776885,0.002075,False
198,0.778541,0.000482,False
199,0.778683,0.000904,False
200,0.778489,0.000169,False
201,0.777754,0.000865,False
202,0.77795,0.000686,False
203,0.777424,0.002374,False
204,0.777544,0.002202,False
205,0.777514,0.00518,False
206,0.777115,0.00676,False
207,0.778073,0.003353,False
208,0.777762,0.003366,False
209,0.778855,0.000952,False
210,0.777529,0.001939,False
211,0.777329,0.003164,False
212,0.776695,0.002747,False
213,0.778037,0.006531,False
214,0.77574,0.008703,False
215,0.77636,0.009306,False
216,0.776276,0.008755,False
217,0.776501,0.003948,False
218,0.777767,0.005961,False
219,0.775928,0.006693,False
220,0.777997,0.004493,False
