cycle,delta,anomaly,alert
1,0.0,0.00416,False
2,0.000367,0.001102,False
3,0.000314,0.001407,False
4,0.002748,0.006496,False
5,0.00047,0.001483,False
6,0.002394,0.005048,False
7,0.002775,0.006082,False
8,5e-06,0.004027,False
9,0.003258,0.005717,False
10,0.001911,0.007031,False
11,0.001661,0.003812,False
12,0.00016,0.001671,False
13,0.001096,0.003039,False
14,0.00019,0.000927,False
15,0.000496,0.001406,False
16,0.002289,0.007179,False
17,0.00394,0.01051,False
18,0.000865,0.003632,False
19,0.002984,0.006627,False
20,0.000248,0.001308,False
21,0.000942,0.002392,False
22,0.00197,0.003285,False
23,0.001966,0.002932,False
24,0.00069,0.001818,False
25,0.001044,0.002632,False
26,0.001065,0.00306,False
27,0.001485,0.002892,False
28,0.002011,0.003472,False
29,0.001148,0.003754,False
30,0.000772,0.001364,False
31,0.003097,0.005399,False
32,0.000266,0.002837,False
33,0.000605,0.001182,False
34,0.002111,0.00359,False
35,0.003855,0.008124,False
36,6.5e-05,0.000576,False
37,0.000573,0.002169,False
38,0.002178,0.006162,False
39,0.001533,0.004832,False
40,0.002688,0.005449,False
41,0.000309,0.001689,False
42,0.000264,0.002261,False
43,0.000639,0.002113,False
44,0.001316,0.003329,False
45,0.000144,0.001288,False
46,0.000881,0.003418,False
47,0.002683,0.004678,False
48,0.001961,0.005444,False
49,0.00015,0.001617,False
50,0.001916,0.004466,False
51,0.00078,0.001113,False
52,0.002182,0.006003,False
53,0.001413,0.002726,False
54,0.004155,0.006022,False
55,0.001824,0.004891,False
56,0.001103,0.00227,False
57,0.003175,0.007301,False
58,0.001479,0.002736,False
59,0.001733,0.00491,False
60,0.001415,0.0023,False
61,0.002017,0.00539,False
62,0.001186,0.004146,False
63,0.001268,0.005309,False
64,0.001968,0.00508,False
65,0.002725,0.004927,False
66,0.002044,0.003338,False
67,0.003335,0.009308,False
68,0.002617,0.006037,False
69,0.001484,0.004309,False
70,9.6e-05,0.001475,False
71,0.001685,0.003521,False
72,0.00304,0.006638,False
73,0.001131,0.005007,False
74,0.000117,0.003047,False
75,0.00082,0.001197,False
76,0.001001,0.001593,False
77,0.004126,0.00809,False
78,0.000205,0.002665,False
79,0.000285,0.001215,False
80,0.002811,0.00462,False
81,0.000599,0.00319,False
82,0.000107,0.000646,False
83,0.000296,0.003085,False
84,0.001134,0.002597,False
85,0.001972,0.004021,False
86,0.000729,0.00162,False
87,0.002517,0.004203,False
88,0.001339,0.002125,False
89,0.000561,0.003012,False
90,0.001279,0.00416,False
91,0.000316,0.00046,False
92,0.004366,0.00961,False
93,0.001618,0.004504,False
94,0.000636,0.001719,False
95,0.000969,0.001913,False
96,0.001796,0.003319,False
97,0.00228,0.003285,False
98,0.002721,0.004415,False
99,0.000548,0.001343,False
100,0.001791,0.003145,False
101,0.00161,0.00271,False
102,0.000561,0.001986,False
103,0.000453,0.001425,False
104,0.000198,0.002998,False
105,0.000283,0.001537,False
