cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,noise,contradiction,pressure,drift
1,0.003936,0.942124,0.836489,0.80497,0.001789,0.003925,0.00253,0.015654,0.025,0,1.01,0
2,0.003471,0.945609,0.836288,0.810658,0.002905,0.000743,0.003068,-0.001855,0.025,0,1.02,0
3,0.00387,0.943671,0.836403,0.813189,0.003693,0.002973,0.00319,0.001595,0.025,0,1.03,0
4,0.000464,0.942399,0.836474,0.802832,0.003611,0.014225,0.00333,-0.013625,0.025,0,1.04,0
5,-0.00012,0.946199,0.836252,0.809979,0.003428,0.00212,0.003214,-0.002339,0.025,0,1.05,0
6,-0.003075,0.943337,0.836422,0.801081,0.002998,0.008613,0.002867,-0.011865,0.025,0,1.06,0
7,-0.006508,0.941997,0.836496,0.798393,0.002405,0.012315,0.002431,-0.013813,0.025,0,1.07,0
8,-0.006511,0.944829,0.836335,0.801936,0.001755,0.022627,0.002503,-1.1e-05,0.025,0,1.08,0
9,-0.002523,0.941097,0.836544,0.807339,0.001372,0.005865,0.002537,0.016108,0.025,0,1.09,0
10,-0.004856,0.941076,0.836545,0.798991,0.000922,0.02512,0.002788,-0.009441,0.025,0,1.1,0
11,-0.006905,0.941392,0.836528,0.809929,0.000366,0.006997,0.002888,-0.008307,0.025,0,1.11,0
12,-0.006721,0.944249,0.836369,0.811847,0.000142,0.006136,0.00296,0.000745,0.025,0,1.12,0
13,-0.005397,0.943397,0.836419,0.811985,0.000591,0.006648,0.003145,0.005392,0.025,0,1.13,0
14,-0.005162,0.94573,0.836281,0.812349,0.001017,0.001023,0.003173,0.000955,0.025,0,1.14,0
15,-0.005765,0.944578,0.83635,0.811766,0.001416,0.001646,0.002979,-0.002464,0.025,0,1.15,0
16,-0.008538,0.939927,0.836604,0.79621,0.001857,0.022794,0.002865,-0.011353,0.025,0,1.16,0
17,-0.00381,0.939173,0.836641,0.789742,0.002285,0.03011,0.002522,0.019396,0.025,0,1.17,0
18,-0.004836,0.943803,0.836395,0.805827,0.002777,0.013101,0.00234,-0.004218,0.025,0,1.18,0
19,-0.001244,0.941571,0.836519,0.798793,0.003218,0.014215,0.002175,0.014791,0.025,0,1.19,0
20,-0.001509,0.94646,0.836235,0.811012,0.003497,0.004042,0.002055,-0.001091,0.025,0,1.2,0
21,-0.002619,0.945452,0.836298,0.810661,0.003762,0.005295,0.001752,-0.004591,0.025,0,1.21,0
22,-0.004974,0.943417,0.836417,0.808314,0.003973,0.002734,0.001276,-0.009755,0.025,0,1.22,0
23,-0.002631,0.943106,0.836435,0.813526,0.003964,0.000928,0.000909,0.009727,0.025,0,1.23,0
24,-0.001793,0.943506,0.836412,0.812764,0.003847,0.004991,0.000589,0.003482,0.025,0,1.24,0
25,-0.003023,0.94401,0.836383,0.807665,0.003874,0.007374,0.000324,-0.005123,0.025,0,1.25,0
26,-0.001749,0.944606,0.836348,0.808482,0.003774,0.010184,1.1e-05,0.005316,0.025,0,1.26,0
27,2.3e-05,0.943313,0.836423,0.809434,0.003508,0.005396,0.000219,0.007416,0.025,0,1.27,0
28,-0.002331,0.943387,0.836419,0.804223,0.00324,0.004279,0.000548,-0.00987,0.025,0,1.28,0
29,-0.000982,0.943569,0.836409,0.803337,0.002977,0.013014,0.000812,0.005667,0.025,0,1.29,0
30,-5.3e-05,0.946584,0.836227,0.80707,0.002713,0.001235,0.000817,0.003912,0.025,0,1.3,0
31,-0.003672,0.942621,0.836462,0.795596,0.002446,0.006673,0.001092,-0.015264,0.025,0,1.31,0
32,-0.004023,0.943425,0.836417,0.807111,0.002106,0.014351,0.001146,-0.001482,0.025,0,1.32,0
33,-0.003339,0.945329,0.836305,0.813115,0.001873,0.001172,0.001144,0.002896,0.025,0,1.33,0
34,-0.005812,0.942687,0.836458,0.803764,0.001651,0.003394,0.001334,-0.010493,0.025,0,1.34,0
35,-0.001363,0.94111,0.836543,0.796488,0.0014,0.016984,0.001449,0.018917,0.025,0,1.35,0
36,-0.001248,0.946654,0.836223,0.811557,0.001161,0.001466,0.001591,0.00049,0.025,0,1.36,0
37,-0.00056,0.945158,0.836316,0.811078,0.000895,0.006984,0.00177,0.002938,0.025,0,1.37,0
38,0.001987,0.942891,0.836447,0.79822,0.000553,0.018298,0.001941,0.010897,0.025,0,1.38,0
39,0.003819,0.942512,0.836468,0.802981,0.000297,0.01524,0.0021,0.007856,0.025,0,1.39,0
40,0.000784,0.943391,0.836419,0.803559,0.000167,0.009336,0.002171,-0.01304,0.025,0,1.4,0
41,0.000427,0.946594,0.836227,0.810244,1.9e-05,0.005718,0.002244,-0.001536,0.025,0,1.41,0
42,0.000125,0.945648,0.836286,0.8127,0.0001,0.00945,0.002469,-0.001303,0.025,0,1.42,0
43,-0.000603,0.946151,0.836255,0.811063,0.000101,0.005361,0.002483,-0.003151,0.025,0,1.43,0
44,0.000882,0.944372,0.836362,0.807325,0.00016,0.007319,0.002448,0.006437,0.025,0,1.44,0
45,0.001073,0.945883,0.836271,0.810932,0.000233,0.004443,0.002394,0.00083,0.025,0,1.45,0
46,7.9e-05,0.944826,0.836335,0.805746,0.000297,0.011777,0.002199,-0.004324,0.025,0,1.46,0
47,0.003118,0.943438,0.836416,0.804815,0.000446,0.005041,0.001696,0.013246,0.025,0,1.47,0
48,0.000946,0.942752,0.836455,0.804919,0.000535,0.016467,0.001109,-0.009489,0.025,0,1.48,0
49,0.000766,0.945685,0.836283,0.810293,0.000603,0.008302,0.000542,-0.000786,0.025,0,1.49,0
50,-0.001399,0.943424,0.836417,0.803388,0.000656,0.011748,9.3e-05,-0.009494,0.025,0,1.5,0
51,-0.000565,0.947581,0.836163,0.808312,0.000611,0.000104,0.000306,0.003665,0.025,0,1.51,0
52,-0.003032,0.941924,0.8365,0.798882,0.000509,0.018559,0.000659,-0.010867,0.025,0,1.52,0
53,-0.004688,0.943465,0.836415,0.809505,0.000291,0.004315,0.000865,-0.00731,0.025,0,1.53,0
54,-0.000108,0.94123,0.836537,0.803171,0.000157,0.001514,0.001261,0.020263,0.025,0,1.54,0
55,-0.002102,0.94414,0.836376,0.801416,7.7e-05,0.013667,0.001589,-0.008843,0.025,0,1.55,0
56,-0.000904,0.94536,0.836303,0.81174,0.000162,0.003124,0.001809,0.005324,0.025,0,1.56,0
57,0.002644,0.940719,0.836564,0.799243,0.000113,0.017093,0.001896,0.0158,0.025,0,1.57,0
58,0.004379,0.944515,0.836354,0.804897,6.6e-05,0.002617,0.002078,0.007739,0.025,0,1.58,0
59,0.00256,0.943402,0.836418,0.803349,2.1e-05,0.01387,0.002276,-0.008131,0.025,0,1.59,0
60,0.001027,0.945441,0.836298,0.811491,1.5e-05,0.000173,0.002328,-0.006874,0.025,0,1.6,0
61,-0.001203,0.943786,0.836396,0.802596,0.000151,0.014352,0.00242,-0.010014,0.025,0,1.61,0
62,3.6e-05,0.944314,0.836366,0.803752,0.000208,0.013622,0.002346,0.005576,0.025,0,1.62,0
63,-0.001356,0.944052,0.836381,0.801251,0.000379,0.020083,0.002453,-0.006282,0.025,0,1.63,0
64,-0.003557,0.942396,0.836474,0.798849,0.000465,0.012842,0.002392,-0.009946,0.025,0,1.64,0
65,-0.000661,0.944793,0.836337,0.805702,0.00047,0.005385,0.002534,0.01312,0.025,0,1.65,0
66,-0.002878,0.944624,0.836347,0.805836,0.000482,0.001257,0.002444,-0.010066,0.025,0,1.66,0
67,0.000707,0.939779,0.836611,0.797182,0.000374,0.028125,0.002061,0.016309,0.025,0,1.67,0
68,-0.002076,0.942701,0.836458,0.799177,0.000278,0.014042,0.001725,-0.012689,0.025,0,1.68,0
69,-0.003725,0.942999,0.836441,0.805157,0.000155,0.012939,0.001533,-0.007534,0.025,0,1.69,0
70,-0.003693,0.945644,0.836286,0.812024,0.000165,0.007206,0.001197,0.000146,0.025,0,1.7,0
71,-0.005567,0.944084,0.836379,0.804415,0.000179,0.006983,0.000873,-0.008601,0.025,0,1.71,0
72,-0.002384,0.940872,0.836556,0.801217,0.000187,0.015391,0.000578,0.014637,0.025,0,1.72,0
73,-0.00114,0.942704,0.836457,0.802451,0.000282,0.021682,0.000115,0.005737,0.025,0,1.73,0
74,-0.001218,0.945199,0.836313,0.806522,0.000404,0.018002,5.3e-05,-0.000364,0.025,0,1.74,0
75,-0.000313,0.945421,0.8363,0.812376,0.00048,0.000526,7.1e-05,0.004193,0.025,0,1.75,0
76,0.000808,0.94623,0.83625,0.808492,0.000466,0.001395,0.000159,0.0052,0.025,0,1.76,0
77,-0.003513,0.940516,0.836574,0.793643,0.000467,0.015868,9e-05,-0.020093,0.025,0,1.77,0
78,-0.003808,0.945094,0.836319,0.807355,0.000587,0.014698,0.000239,-0.001377,0.025,0,1.78,0
79,-0.004173,0.944737,0.836341,0.810422,0.000669,0.004861,0.000337,-0.001705,0.025,0,1.79,0
80,-0.001265,0.942984,0.836442,0.807385,0.000659,0.004852,0.000442,0.013617,0.025,0,1.8,0
81,-0.001846,0.944153,0.836375,0.80545,0.000727,0.014292,0.000626,-0.002724,0.025,0,1.81,0
82,-0.001724,0.946272,0.836247,0.811942,0.000707,0.0024,0.000742,0.00057,0.025,0,1.82,0
