cycle,trust,deviation,alert
1,0.777084,0.003936,False
2,0.777209,0.003471,False
3,0.775974,0.00387,False
4,0.778299,0.000464,False
5,0.778213,0.00012,False
6,0.778442,0.003075,False
7,0.777843,0.006508,False
8,0.778085,0.006511,False
9,0.776548,0.002523,False
10,0.777743,0.004856,False
11,0.775252,0.006905,False
12,0.775866,0.006721,False
13,0.775817,0.005397,False
14,0.776574,0.005162,False
15,0.776184,0.005765,False
16,0.777176,0.008538,False
17,0.77916,0.00381,False
18,0.777297,0.004836,False
19,0.778672,0.001244,False
20,0.777816,0.001509,False
21,0.777327,0.002619,False
22,0.776643,0.004974,False
23,0.775964,0.002631,False
24,0.776419,0.001793,False
25,0.777362,0.003023,False
26,0.777653,0.001749,False
27,0.777374,2.3e-05,False
28,0.777979,0.002331,False
29,0.778488,0.000982,False
30,0.778937,5.3e-05,False
31,0.779179,0.003672,False
32,0.777076,0.004023,False
33,0.776651,0.003339,False
34,0.77714,0.005812,False
35,0.778954,0.001363,False
36,0.777824,0.001248,False
37,0.777557,0.00056,False
38,0.779082,0.001987,False
39,0.777636,0.003819,False
40,0.778423,0.000784,False
41,0.77823,0.000427,False
42,0.777483,0.000125,False
43,0.777883,0.000603,False
44,0.777979,0.000882,False
45,0.777726,0.001073,False
46,0.778608,7.9e-05,False
47,0.777721,0.003118,False
48,0.777904,0.000946,False
49,0.777849,0.000766,False
50,0.778345,0.001399,False
51,0.778919,0.000565,False
52,0.778416,0.003032,False
53,0.776478,0.004688,False
54,0.777909,0.000108,False
55,0.778839,0.002102,False
56,0.777423,0.000904,False
57,0.778015,0.002644,False
58,0.777814,0.004379,False
59,0.778113,0.00256,False
60,0.777475,0.001027,False
61,0.778664,0.001203,False
62,0.778844,3.6e-05,False
63,0.778992,0.001356,False
64,0.778476,0.003557,False
65,0.778489,0.000661,False
66,0.777962,0.002878,False
67,0.778498,0.000707,False
68,0.778809,0.002076,False
69,0.777384,0.003725,False
70,0.776904,0.003693,False
71,0.777528,0.005567,False
72,0.777724,0.002384,False
73,0.778342,0.00114,False
74,0.77835,0.001218,False
75,0.777435,0.000313,False
76,0.778383,0.000808,False
77,0.778893,0.003513,False
78,0.77763,0.003808,False
79,0.776824,0.004173,False
80,0.777425,0.001265,False
81,0.778088,0.001846,False
82,0.777524,0.001724,False
83,0.778765,0.001408,False
84,0.777682,0.002574,False
85,0.778306,0.000536,False
86,0.777281,0.000287,False
87,0.777938,0.002976,False
88,0.776964,0.001727,False
89,0.778146,0.002359,False
90,0.777751,0.003756,False
91,0.776944,0.004186,False
92,0.780575,0.00021,False
93,0.778755,0.001979,False
94,0.777546,0.001447,False
95,0.777722,0.000518,False
96,0.777584,0.001309,False
97,0.777956,0.00096,False
98,0.77821,0.003789,False
99,0.777604,0.004497,False
100,0.776466,0.006425,False
101,0.776088,0.004979,False
102,0.776003,0.004481,False
103,0.776703,0.004071,False
104,0.778135,0.003891,False
105,0.776617,0.004187,False
106,0.77737,0.005781,False
107,0.777459,0.006682,False
108,0.778064,0.004984,False
109,0.779729,0.001379,False
110,0.779404,0.000925,False
111,0.778272,0.004273,False
112,0.776479,0.003676,False
113,0.776262,0.002838,False
114,0.777084,0.002142,False
115,0.776648,0.001752,False
116,0.778283,0.000798,False
117,0.778022,0.000173,False
118,0.778398,0.001126,False
119,0.777724,0.00232,False
120,0.777161,0.001891,False
121,0.777766,0.001223,False
122,0.777139,0.001723,False
123,0.779277,0.002584,False
124,0.778746,0.000121,False
125,0.777585,0.000928,False
126,0.778954,0.002819,False
127,0.777881,0.003016,False
128,0.777339,0.003369,False
129,0.777038,0.00283,False
130,0.776985,0.002065,False
131,0.778504,0.005846,False
132,0.776764,0.006047,False
133,0.779831,0.002769,False
134,0.777356,0.002572,False
135,0.776729,0.00213,False
136,0.777341,0.00121,False
137,0.777247,0.002289,False
138,0.777642,0.000607,False
139,0.777911,0.000452,False
140,0.778627,0.001353,False
141,0.779238,0.000366,False
142,0.778141,0.000307,False
143,0.779349,0.002449,False
144,0.778127,0.002949,False
145,0.776852,0.002221,False
146,0.777504,0.00392,False
147,0.775914,0.005098,False
148,0.777566,0.003459,False
149,0.777871,0.004537,False
150,0.777496,0.00594,False
151,0.777698,0.004283,False
152,0.776062,0.002841,False
153,0.777374,0.003963,False
154,0.778859,0.00358,False
155,0.777279,0.004265,False
156,0.777542,0.00774,False
157,0.7757,0.008132,False
158,0.776244,0.008794,False
159,0.775314,0.008198,False
160,0.775995,0.009393,False
161,0.77584,0.006341,False
162,0.776227,0.005388,False
163,0.778113,0.003341,False
164,0.777875,0.004989,False
165,0.776739,0.00581,False
166,0.778325,0.003416,False
167,0.776592,0.004244,False
168,0.777733,0.005456,False
169,0.780949,0.00103,False
170,0.77815,0.002204,False
171,0.777371,0.002406,False
172,0.778985,0.000474,False
173,0.778988,0.003502,False
174,0.777734,0.006249,False
175,0.775864,0.005344,False
176,0.775361,0.006103,False
177,0.776036,0.006301,False
178,0.775573,0.00649,False
179,0.776379,0.005787,False
180,0.777006,0.006522,False
181,0.777611,0.004499,False
182,0.777217,0.008218,False
183,0.775364,0.007817,False
184,0.775376,0.00752,False
185,0.776395,0.006156,False
186,0.777351,0.006983,False
187,0.776725,0.007078,False
188,0.776612,0.008714,False
189,0.775753,0.007398,False
190,0.775897,0.006533,False
191,0.775869,0.006483,False
192,0.776405,0.005312,False
193,0.777061,0.0053,False
194,0.775991,0.004691,False
195,0.776175,0.005106,False
196,0.777405,0.004289,False
197,0.776357,0.003638,False
198,0.778334,0.00227,False
199,0.778974,0.000993,False
200,0.77843,0.001571,False
201,0.777603,0.00197,False
202,0.778088,0.000694,False
203,0.777973,0.000771,False
204,0.778064,0.000888,False
205,0.778382,0.003342,False
206,0.777904,0.004899,False
207,0.778816,0.002707,False
208,0.778105,0.002816,False
209,0.779304,0.001122,False
210,0.777694,0.001802,False
211,0.777604,0.002755,False
212,0.776734,0.002555,False
213,0.779009,0.005418,False
214,0.776239,0.007332,False
215,0.776894,0.008154,False
216,0.77693,0.008103,False
217,0.776531,0.00484,False
218,0.778206,0.00622,False
219,0.775908,0.006851,False
220,0.77828,0.005389,False
