cycle,delta,anomaly,alert
1,0.0,0.005205,False
2,0.000465,0.001389,False
3,0.000399,0.001771,False
4,0.003406,0.008109,False
5,0.000584,0.001856,False
6,0.002955,0.006297,False
7,0.003433,0.007604,False
8,3e-06,0.00503,False
9,0.003988,0.007103,False
10,0.002333,0.008758,False
11,0.002049,0.004771,False
12,0.000184,0.00207,False
13,0.001324,0.00377,False
14,0.000235,0.00116,False
15,0.000603,0.001752,False
16,0.002773,0.008941,False
17,0.004728,0.01303,False
18,0.001026,0.004502,False
19,0.003592,0.008233,False
20,0.000265,0.001585,False
21,0.00111,0.002946,False
22,0.002355,0.004065,False
23,0.002343,0.003619,False
24,0.000838,0.00228,False
25,0.00123,0.003251,False
26,0.001274,0.003814,False
27,0.001772,0.003597,False
28,0.002354,0.004257,False
29,0.001349,0.004654,False
30,0.000929,0.001714,False
31,0.003619,0.006636,False
32,0.000351,0.003593,False
33,0.000684,0.001427,False
34,0.002473,0.004434,False
35,0.004449,0.009973,False
36,0.000115,0.000774,False
37,0.000688,0.002726,False
38,0.002547,0.007663,False
39,0.001832,0.006073,False
40,0.003035,0.006624,False
41,0.000357,0.002101,False
42,0.000302,0.002815,False
43,0.000728,0.002611,False
44,0.001485,0.004082,False
45,0.000191,0.001642,False
46,0.000994,0.004224,False
47,0.003039,0.005723,False
48,0.002172,0.006648,False
49,0.00018,0.002028,False
50,0.002165,0.005499,False
51,0.000834,0.00129,False
52,0.002467,0.007424,False
53,0.001656,0.003443,False
54,0.00458,0.007224,False
55,0.001994,0.00596,False
56,0.001198,0.002737,False
57,0.003548,0.00899,False
58,0.001735,0.003481,False
59,0.001819,0.005899,False
60,0.001533,0.002755,False
61,0.00223,0.006638,False
62,0.001239,0.005021,False
63,0.001392,0.006565,False
64,0.002201,0.006304,False
65,0.002896,0.005877,False
66,0.002217,0.004033,False
67,0.003585,0.011369,False
68,0.002783,0.0073,False
69,0.001649,0.005355,False
70,3.2e-05,0.001728,False
71,0.001874,0.004377,False
72,0.003183,0.007967,False
73,0.001244,0.006229,False
74,7.8e-05,0.003729,False
75,0.000905,0.001484,False
76,0.001121,0.002003,False
77,0.004321,0.009727,False
78,0.000295,0.003435,False
79,0.000365,0.001594,False
80,0.002908,0.005481,False
81,0.000581,0.003868,False
82,0.000122,0.000814,False
83,0.000316,0.003843,False
84,0.001166,0.003129,False
85,0.002038,0.004843,False
86,0.000823,0.002067,False
87,0.002689,0.00517,False
88,0.001249,0.002337,False
89,0.000632,0.0038,False
90,0.001397,0.005217,False
91,0.00043,0.000712,False
