cycle,event,bodies,active_bodies,light,shadow,mercury,agreements,spread,structural_stability,vitality,viability,field_charge,lattice_coherence,recursion_depth,confidence_decay,avg_trust,avg_fatigue,lineage_density,archetype_resonance,elder_feedback,closures,recursions,suspicious_closures,dream_cycles,rem_cycles,healing_cycles,renewal_cycles,new_variants,unknown_events,alpha_alerts,omega_alerts,alpha_alert,omega_alert
1,unknown,40,40,0.574922,0.49574,0.567101,3,0.079182,0.845557,0.743615,0.816693,0.59069,0.858631,0,0.022,0.717088,0,0,0.038123,0,1,0,0,1,1,1,0,0,1,0,0,False,False
2,drift,40,18,0.585972,0.49822,0.475733,3,0.110239,0.850947,0.746964,0.822663,0.582245,0.857635,0,0.04224,0.722017,0,0,0.067775,0,2,0,0,2,2,2,0,0,1,0,0,False,False
3,drift,40,18,0.583182,0.481058,0.581878,3,0.102125,0.856173,0.750216,0.828496,0.574132,0.856992,0,0.060861,0.726946,0,0,0.095678,0,3,0,0,3,3,3,0,0,1,0,0,False,False
4,drift,40,18,0.584854,0.486966,0.525755,3,0.097889,0.861241,0.753374,0.834194,0.566383,0.856679,0,0.077992,0.731875,0,0,0.121427,0,4,0,0,4,4,4,0,0,1,0,0,False,False
5,drift,40,18,0.577652,0.518357,0.563677,3,0.059295,0.866156,0.756442,0.839759,0.558551,0.856686,0,0.093753,0.736804,0,0,0.15039,0,5,0,0,5,5,5,0,0,1,0,0,False,False
6,drift,40,18,0.581582,0.490914,0.50615,3,0.090668,0.870921,0.759422,0.845194,0.551514,0.856982,0,0.108252,0.741733,0,0,0.171751,0,6,0,0,6,6,6,0,0,1,0,0,False,False
7,drift,40,18,0.586923,0.481493,0.530633,3,0.10543,0.875543,0.762316,0.8505,0.545025,0.857544,0,0.121592,0.746662,0,0,0.188761,0,7,0,0,7,7,7,0,0,1,0,0,False,False
8,drift,40,18,0.597254,0.508791,0.485699,3,0.111555,0.880024,0.765128,0.85568,0.538948,0.858352,0,0.133865,0.751591,0,0,0.203152,0,8,0,0,8,8,8,0,0,1,0,0,False,False
9,drift,40,18,0.58414,0.483113,0.523112,3,0.101027,0.884369,0.767859,0.860737,0.533055,0.859396,0,0.145156,0.75652,0,0,0.217683,0,9,0,0,9,9,9,0,0,1,0,0,False,False
10,drift,40,18,0.585297,0.491905,0.541593,3,0.093392,0.888583,0.770512,0.865672,0.527372,0.860663,0,0.155543,0.761449,0,0,0.231906,0,10,0,0,10,10,10,0,0,1,0,0,False,False
11,drift,40,18,0.603335,0.477125,0.548121,2,0.12621,0.892669,0.77309,0.870489,0.522396,0.862135,0,0.1571,0.766522,0,0,0.239784,0,11,0,0,11,11,11,0,0,1,0,0,False,False
12,drift,40,18,0.57433,0.489441,0.566461,3,0.084889,0.896775,0.775594,0.875347,0.517163,0.864129,0,0.166532,0.771451,0,0.12105,0.262756,0.6725,12,0,0,12,12,12,0,0,1,0,0,False,False
13,drift,40,18,0.58129,0.47246,0.488817,3,0.10883,0.900886,0.778027,0.880225,0.512502,0.866587,0,0.175209,0.77638,0,0.227574,0.288362,0.6725,13,0,0,13,13,13,0,0,1,0,0,False,False
14,drift,40,18,0.610813,0.479788,0.485743,1,0.131025,0.904984,0.780391,0.885107,0.508363,0.869465,0,0.175192,0.781453,0,0.321315,0.315577,0.6725,14,0,0,14,14,14,0,0,1,0,0,False,False
15,drift,40,18,0.586944,0.495971,0.503903,3,0.090973,0.909056,0.782689,0.889977,0.503942,0.872726,0,0.183177,0.786382,0,0.403807,0.352678,0.6725,15,0,0,15,15,15,0,0,1,0,0,False,False
16,drift,40,18,0.581121,0.497396,0.505425,3,0.083724,0.913092,0.784921,0.894825,0.499663,0.876332,0,0.190523,0.791311,0,0.4764,0.392964,0.6725,16,0,0,16,16,16,0,0,1,0,0,False,False
17,drift,40,18,0.603032,0.484759,0.557978,2,0.118273,0.917082,0.78709,0.899637,0.496041,0.880243,0,0.189281,0.796384,0,0.540282,0.429149,0.6725,17,0,0,17,17,17,0,0,1,0,0,False,False
18,drift,40,18,0.605645,0.488598,0.458325,1,0.147319,0.921019,0.789199,0.904404,0.492975,0.884416,0,0.188139,0.801387,0,0.596498,0.461856,0.6725,18,0,0,18,18,18,0,0,1,0,0,False,False
19,drift,40,18,0.60558,0.498997,0.499148,3,0.106583,0.924895,0.791248,0.909117,0.489564,0.888812,0,0.195087,0.805999,0,0.645969,0.50136,0.6725,19,0,0,19,19,19,0,0,1,0,0,False,False
20,drift,40,18,0.599581,0.487597,0.5789,3,0.111984,0.928706,0.793239,0.913768,0.486403,0.89339,0,0.20148,0.810304,0,0.689502,0.539587,0.6725,20,0,0,20,20,20,0,0,1,0,0,False,False
21,drift,40,18,0.577299,0.491813,0.584415,3,0.092602,0.932447,0.795175,0.918352,0.483169,0.898121,0,0.207362,0.814417,0,0.727812,0.579963,0.6725,21,0,0,21,21,21,0,0,1,0,0,False,False
22,drift,40,18,0.621478,0.492179,0.486503,1,0.134975,0.936115,0.797057,0.922863,0.480638,0.902971,0,0.204773,0.818538,0,0.761525,0.612642,0.6725,22,0,0,22,22,22,0,0,1,0,0,False,False
23,drift,40,18,0.590239,0.496224,0.54285,3,0.094015,0.939707,0.798886,0.927296,0.477732,0.907918,0,0.210391,0.822327,0,0.791192,0.650571,0.6725,23,0,0,23,23,23,0,0,1,0,0,False,False
24,drift,40,18,0.586456,0.524196,0.571067,3,0.06226,0.943222,0.800664,0.93165,0.474587,0.912954,0,0.21556,0.826116,0,0.817299,0.691559,0.6725,24,0,0,24,24,24,0,0,1,0,0,False,False
25,drift,40,18,0.584523,0.506778,0.563063,3,0.077745,0.946656,0.802394,0.935922,0.471804,0.918058,0,0.220315,0.829905,0,0.840273,0.727963,0.6725,25,0,0,25,25,25,0,0,1,0,0,False,False
26,drift,40,18,0.595603,0.485104,0.479815,2,0.115788,0.950011,0.804075,0.940109,0.469646,0.92321,0,0.21669,0.833798,0,0.86049,0.756638,0.6725,26,0,0,26,26,26,0,0,1,0,0,False,False
