cycle,event,bodies,active_bodies,light,shadow,mercury,agreements,spread,structural_stability,vitality,viability,field_charge,lattice_coherence,recursion_depth,confidence_decay,avg_trust,avg_fatigue,lineage_density,archetype_resonance,elder_feedback,closures,recursions,suspicious_closures,dream_cycles,rem_cycles,healing_cycles,renewal_cycles,new_variants,unknown_events,alpha_alerts,omega_alerts,alpha_alert,omega_alert
1,unknown,40,40,0.605546,0.446803,0.557584,2,0.158744,0.845295,0.74444,0.8167,0.593784,0.85769,0,0.014,0.698758,0,0,0.026188,0,1,0,0,1,1,1,0,0,1,0,0,False,False
2,extreme,40,32,0.587089,0.487426,0.462811,2,0.124278,0.85043,0.748553,0.822678,0.587459,0.855946,0,0.02688,0.70661,0,0,0.054928,0,2,0,0,2,2,2,0,0,1,0,0,False,False
3,extreme,40,32,0.592204,0.481233,0.619518,2,0.138285,0.855409,0.752545,0.828534,0.581636,0.854729,0,0.03873,0.714462,0,0,0.078692,0,3,0,0,3,3,3,0,0,1,0,0,False,False
4,extreme,40,32,0.597391,0.469641,0.555791,2,0.12775,0.860238,0.756422,0.834268,0.575984,0.854012,0,0.049631,0.722314,0,0,0.101661,0,4,0,0,4,4,4,0,0,1,0,0,False,False
5,extreme,40,32,0.577674,0.482485,0.600651,2,0.118166,0.86492,0.760187,0.839883,0.570504,0.853767,0,0.059661,0.730166,0,0,0.12377,0,5,0,0,5,5,5,0,0,1,0,0,False,False
6,extreme,40,32,0.590188,0.481391,0.449285,2,0.140903,0.869461,0.763842,0.845379,0.565594,0.85396,0,0.068888,0.738018,0,0,0.140257,0,6,0,0,6,6,6,0,0,1,0,0,False,False
7,extreme,40,32,0.576867,0.506919,0.542827,3,0.069948,0.873864,0.767391,0.850759,0.560053,0.854574,0,0.085377,0.745614,0,0,0.165739,0,7,0,0,7,7,7,0,0,1,0,0,False,False
8,extreme,40,32,0.5778,0.520566,0.579064,3,0.058498,0.878134,0.770838,0.856025,0.554656,0.855587,0,0.100547,0.75321,0,0,0.190391,0,8,0,0,8,8,8,0,0,1,0,0,False,False
9,extreme,40,32,0.58992,0.484398,0.536498,3,0.105522,0.882274,0.774184,0.861177,0.550128,0.856959,0,0.114503,0.760806,0,0,0.205523,0,9,0,0,9,9,9,0,0,1,0,0,False,False
10,extreme,40,32,0.615408,0.499335,0.565514,2,0.116073,0.886289,0.777435,0.866218,0.545969,0.858679,0,0.119343,0.768658,0,0,0.21756,0,10,0,0,10,10,10,0,0,1,0,0,False,False
