cycle,event,bodies,active_bodies,light,shadow,mercury,agreements,spread,structural_stability,vitality,viability,field_charge,lattice_coherence,recursion_depth,confidence_decay,avg_trust,avg_fatigue,lineage_density,archetype_resonance,elder_feedback,closures,recursions,suspicious_closures,dream_cycles,rem_cycles,healing_cycles,renewal_cycles,new_variants,unknown_events,alpha_alerts,omega_alerts,alpha_alert,omega_alert
1,normal,40,14,0.568184,0.465757,0.547443,3,0.102427,0.84552,0.743495,0.816554,0.59128,0.85787,0,0.022,0.702012,0,0,0.034636,0,1,0,0,1,1,1,0,0,0,0,0,False,False
2,normal,40,14,0.582982,0.512319,0.50309,3,0.079891,0.850874,0.746885,0.822448,0.582715,0.856124,0,0.04224,0.706179,0,0,0.069189,0,2,0,0,2,2,2,0,0,0,0,0,False,False
3,normal,40,14,0.575548,0.498241,0.568137,3,0.077307,0.856068,0.750174,0.828206,0.574546,0.854736,0,0.060861,0.710346,0,0,0.100674,0,3,0,0,3,3,3,0,0,0,0,0,False,False
4,normal,40,14,0.581841,0.494568,0.564579,3,0.087274,0.861106,0.753363,0.833829,0.566909,0.85368,0,0.077992,0.714513,0,0,0.127515,0,4,0,0,4,4,4,0,0,0,0,0,False,False
5,normal,40,14,0.584501,0.498563,0.544956,3,0.085938,0.865993,0.756457,0.83932,0.559638,0.852934,0,0.093753,0.71868,0,0,0.151873,0,5,0,0,5,5,5,0,0,0,0,0,False,False
6,normal,40,14,0.578993,0.464914,0.548513,3,0.114078,0.870733,0.759459,0.844679,0.553082,0.852469,0,0.108252,0.722847,0,0,0.169574,0,6,0,0,6,6,6,0,0,0,0,0,False,False
7,normal,40,14,0.609059,0.472036,0.572164,2,0.137022,0.875331,0.76237,0.84991,0.547141,0.852266,0,0.113592,0.727126,0,0,0.182063,0,7,0,0,7,7,7,0,0,0,0,0,False,False
8,normal,40,14,0.596309,0.491968,0.574413,3,0.104341,0.879791,0.765194,0.855015,0.541088,0.852314,0,0.126505,0.731293,0,0,0.198206,0,8,0,0,8,8,8,0,0,0,0,0,False,False
9,normal,40,14,0.584446,0.494296,0.559569,3,0.090151,0.884117,0.767933,0.859997,0.53516,0.852601,0,0.138384,0.73546,0,0,0.214863,0,9,0,0,9,9,9,0,0,0,0,0,False,False
10,normal,40,14,0.589171,0.492034,0.429122,2,0.16005,0.888314,0.77059,0.864857,0.530403,0.853096,0,0.141314,0.739739,0,0,0.219369,0,10,0,0,10,10,10,0,0,0,0,0,False,False
11,normal,40,14,0.58286,0.504697,0.551831,3,0.078163,0.892385,0.773167,0.869599,0.52486,0.853808,0,0.152009,0.743906,0,0,0.235708,0,11,0,0,11,11,11,0,0,0,0,0,False,False
12,normal,40,14,0.588807,0.491101,0.570004,3,0.097706,0.896478,0.775667,0.874382,0.519838,0.855038,0,0.161848,0.748073,0,0.12105,0.257165,0.6725,12,0,0,12,12,12,0,0,0,0,0,False,False
13,normal,40,14,0.590492,0.495279,0.490478,3,0.100014,0.900577,0.778092,0.879186,0.515097,0.856737,0,0.1709,0.75224,0,0.227574,0.284652,0.6725,13,0,0,13,13,13,0,0,0,0,0,False,False
14,normal,40,14,0.591598,0.487853,0.527483,3,0.103745,0.904665,0.780445,0.883993,0.510638,0.858856,0,0.179228,0.756407,0,0.321315,0.31633,0.6725,14,0,0,14,14,14,0,0,0,0,0,False,False
15,normal,40,14,0.574505,0.49607,0.538957,3,0.078434,0.90873,0.782726,0.888789,0.506087,0.861362,0,0.18689,0.760574,0,0.403807,0.355237,0.6725,15,0,0,15,15,15,0,0,0,0,0,False,False
16,normal,40,14,0.601378,0.489803,0.599198,3,0.111575,0.91276,0.784939,0.893562,0.502177,0.864204,0,0.193939,0.764741,0,0.4764,0.391089,0.6725,16,0,0,16,16,16,0,0,0,0,0,False,False
17,normal,40,14,0.605653,0.487532,0.601546,2,0.11812,0.916745,0.787086,0.898299,0.498545,0.867351,0,0.192424,0.76902,0,0.540282,0.427485,0.6725,17,0,0,17,17,17,0,0,0,0,0,False,False
18,normal,40,14,0.608047,0.505944,0.547911,3,0.102103,0.920679,0.789169,0.902992,0.494894,0.870768,0,0.19903,0.773187,0,0.596498,0.467141,0.6725,18,0,0,18,18,18,0,0,0,0,0,False,False
19,normal,40,14,0.597501,0.513598,0.58618,3,0.083903,0.924553,0.791189,0.907632,0.491198,0.874429,0,0.205107,0.777299,0,0.645969,0.509519,0.6725,19,0,0,19,19,19,0,0,0,0,0,False,False
20,normal,40,14,0.596031,0.461539,0.473774,1,0.134491,0.928364,0.793148,0.912211,0.488319,0.87827,0,0.202699,0.781042,0,0.689502,0.543553,0.6725,20,0,0,20,20,20,0,0,0,0,0,False,False
21,normal,40,14,0.590756,0.47644,0.511105,3,0.114316,0.932107,0.795049,0.916719,0.485332,0.88224,0,0.208483,0.784069,0,0.727812,0.580275,0.6725,21,0,0,21,21,21,0,0,0,0,0,False,False
