cycle,event,bodies,active_bodies,light,shadow,mercury,agreements,spread,structural_stability,vitality,viability,field_charge,lattice_coherence,recursion_depth,confidence_decay,avg_trust,avg_fatigue,lineage_density,archetype_resonance,elder_feedback,closures,recursions,suspicious_closures,dream_cycles,rem_cycles,healing_cycles,renewal_cycles,new_variants,unknown_events,alpha_alerts,omega_alerts,alpha_alert,omega_alert
1,stress,40,20,0.588017,0.506269,0.519764,3,0.081748,0.845483,0.743645,0.816587,0.591322,0.85799,0,0.022,0.704299,0,0,0.037738,0,1,0,0,1,1,1,0,0,0,0,0,False,False
2,stress,40,20,0.597304,0.484754,0.501934,3,0.112549,0.8508,0.747183,0.822519,0.58347,0.856405,0,0.04224,0.709609,0,0,0.067082,0,2,0,0,2,2,2,0,0,0,0,0,False,False
3,stress,40,20,0.572508,0.496172,0.478794,3,0.093714,0.855956,0.750618,0.828317,0.575784,0.855224,0,0.060861,0.714919,0,0,0.096316,0,3,0,0,3,3,3,0,0,0,0,0,False,False
4,stress,40,20,0.582371,0.507809,0.499786,3,0.082585,0.860957,0.753953,0.833985,0.568351,0.854423,0,0.077992,0.720229,0,0,0.124297,0,4,0,0,4,4,4,0,0,0,0,0,False,False
5,stress,40,20,0.592884,0.498821,0.443776,2,0.149108,0.865807,0.757191,0.839522,0.562129,0.853965,0,0.085753,0.725699,0,0,0.139501,0,5,0,0,5,5,5,0,0,0,0,0,False,False
6,stress,40,20,0.607885,0.462325,0.514907,2,0.14556,0.87051,0.760334,0.844932,0.556181,0.853833,0,0.092892,0.731169,0,0,0.153717,0,6,0,0,6,6,6,0,0,0,0,0,False,False
7,stress,40,20,0.562167,0.489588,0.46669,3,0.095477,0.875072,0.763385,0.850218,0.549912,0.854013,0,0.107461,0.736479,0,0,0.174024,0,7,0,0,7,7,7,0,0,0,0,0,False,False
8,stress,40,20,0.572455,0.480752,0.523915,3,0.091703,0.879495,0.766348,0.855381,0.543918,0.854488,0,0.120864,0.741789,0,0,0.192866,0,8,0,0,8,8,8,0,0,0,0,0,False,False
9,stress,40,20,0.59153,0.500812,0.652129,2,0.151317,0.883785,0.769224,0.860423,0.538977,0.855228,0,0.125195,0.747259,0,0,0.200882,0,9,0,0,9,9,9,0,0,0,0,0,False,False
10,stress,40,20,0.600041,0.480317,0.588399,2,0.119724,0.887945,0.772017,0.865347,0.533895,0.856229,0,0.129179,0.752729,0,0,0.212835,0,10,0,0,10,10,10,0,0,0,0,0,False,False
11,stress,40,20,0.584825,0.484673,0.553876,3,0.100151,0.891979,0.774729,0.870155,0.528831,0.857472,0,0.140845,0.758039,0,0,0.226529,0,11,0,0,11,11,11,0,0,0,0,0,False,False
12,stress,40,20,0.600987,0.484826,0.539138,2,0.116161,0.896037,0.777363,0.875007,0.524228,0.859269,0,0.143577,0.763509,0,0.12105,0.246136,0.6725,12,0,0,12,12,12,0,0,0,0,0,False,False
13,stress,40,20,0.595176,0.481854,0.599913,2,0.118059,0.9001,0.77992,0.879883,0.519886,0.861568,0,0.146091,0.768979,0,0.227574,0.272019,0.6725,13,0,0,13,13,13,0,0,0,0,0,False,False
14,stress,40,20,0.559312,0.51122,0.532429,3,0.048092,0.904152,0.782403,0.884765,0.514895,0.864334,0,0.156404,0.774289,0,0.321315,0.313309,0.6725,14,0,0,14,14,14,0,0,0,0,0,False,False
15,stress,40,20,0.570428,0.509909,0.559527,3,0.060518,0.908181,0.784814,0.88964,0.510317,0.867517,0,0.165892,0.779599,0,0.403807,0.355205,0.6725,15,0,0,15,15,15,0,0,0,0,0,False,False
16,stress,40,20,0.583901,0.50667,0.568038,3,0.077232,0.912175,0.787156,0.894492,0.506184,0.87107,0,0.17462,0.784909,0,0.4764,0.396211,0.6725,16,0,0,16,16,16,0,0,0,0,0,False,False
17,stress,40,20,0.601739,0.502341,0.569216,3,0.099398,0.916125,0.78943,0.899312,0.502543,0.874948,0,0.182651,0.790219,0,0.540282,0.434903,0.6725,17,0,0,17,17,17,0,0,0,0,0,False,False
18,stress,40,20,0.578618,0.48554,0.54362,3,0.093078,0.920022,0.791639,0.904088,0.499013,0.879113,0,0.190039,0.795422,0,0.596498,0.475171,0.6725,18,0,0,18,18,18,0,0,0,0,0,False,False
19,stress,40,20,0.594471,0.508723,0.538238,3,0.085748,0.923862,0.793785,0.908813,0.495576,0.88353,0,0.196836,0.800504,0,0.645969,0.516469,0.6725,19,0,0,19,19,19,0,0,0,0,0,False,False
20,stress,40,20,0.578805,0.490916,0.514094,3,0.087889,0.927637,0.795868,0.913478,0.492345,0.888164,0,0.203089,0.805457,0,0.689502,0.556799,0.6725,20,0,0,20,20,20,0,0,0,0,0,False,False
21,stress,40,20,0.592332,0.511438,0.553052,3,0.080894,0.931344,0.797892,0.918078,0.489196,0.892976,0,0.208842,0.810123,0,0.727812,0.59721,0.6725,21,0,0,21,21,21,0,0,0,0,0,False,False
22,stress,40,20,0.59578,0.492536,0.512481,3,0.103244,0.93498,0.799858,0.922606,0.486492,0.897929,0,0.214134,0.814635,0,0.761525,0.632924,0.6725,22,0,0,22,22,22,0,0,0,0,0,False,False
23,stress,40,20,0.591139,0.498591,0.499101,3,0.092548,0.938541,0.801768,0.927058,0.483797,0.902992,0,0.219004,0.818878,0,0.791192,0.669045,0.6725,23,0,0,23,23,23,0,0,0,0,0,False,False
24,stress,40,20,0.587741,0.516031,0.57374,3,0.071709,0.942025,0.803623,0.93143,0.480984,0.908137,0,0.223483,0.822762,0,0.817299,0.706768,0.6725,24,0,0,24,24,24,0,0,0,0,0,False,False
25,stress,40,20,0.615286,0.486455,0.607717,1,0.128831,0.945431,0.805426,0.935716,0.479034,0.913316,0,0.219605,0.826343,0,0.840273,0.733988,0.6725,25,0,0,25,25,25,0,0,0,0,0,False,False
26,stress,40,20,0.59457,0.493846,0.58492,3,0.100724,0.948759,0.807177,0.939915,0.476838,0.918504,0,0.224036,0.829469,0,0.86049,0.76432,0.6725,26,0,0,26,26,26,0,0,0,0,0,False,False
27,stress,40,20,0.581164,0.510542,0.5817,3,0.071159,0.952007,0.808878,0.944024,0.47439,0.923683,0,0.228113,0.832272,0,0.878281,0.797477,0.6725,27,0,0,27,27,27,0,0,0,0,0,False,False
28,stress,40,20,0.582027,0.511654,0.525568,3,0.070374,0.955176,0.810531,0.948044,0.472062,0.928845,0,0.231864,0.835074,0,0.893938,0.828688,0.6725,28,0,0,28,28,28,0,0,0,0,0,False,False
29,stress,40,20,0.585903,0.528336,0.56064,3,0.057568,0.958265,0.812137,0.951973,0.469698,0.933985,0,0.235315,0.837876,0,0.907715,0.859801,0.6725,29,0,0,29,29,29,0,0,0,0,0,False,False
30,stress,40,20,0.597651,0.522422,0.580174,3,0.075229,0.961275,0.813697,0.955812,0.467682,0.939091,0,0.23849,0.840673,0,0.919839,0.886124,0.6725,30,0,0,30,30,30,0,0,0,0,0,False,False
31,stress,40,20,0.589608,0.507146,0.544506,3,0.082462,0.964206,0.815214,0.95956,0.465864,0.944136,0,0.241411,0.843076,0,0.930509,0.909583,0.6725,31,0,0,31,31,31,0,0,0,0,0,False,False
32,stress,40,20,0.583416,0.505101,0.462616,2,0.1208,0.96706,0.816688,0.963214,0.464624,0.949092,0,0.236098,0.845224,0,0.939898,0.925696,0.6725,32,0,0,32,32,32,0,0,0,0,0,False,False
33,stress,40,20,0.611986,0.505375,0.466335,2,0.145652,0.969837,0.81812,0.966775,0.463765,0.953939,0,0.23121,0.847154,0,0.94816,0.937132,0.6725,33,0,0,33,33,33,0,0,0,0,0,False,False
34,stress,40,20,0.605874,0.497926,0.492588,3,0.113286,0.972538,0.819512,0.970243,0.462552,0.958674,0,0.234713,0.848756,0,0.955431,0.95286,0.6725,34,0,0,34,34,34,0,0,0,0,0,False,False
35,stress,40,20,0.578086,0.511139,0.521544,3,0.066947,0.975165,0.820865,0.973619,0.460829,0.963279,0,0.237936,0.849688,0,0.961829,0.974478,0.6725,35,0,0,35,35,35,0,0,0,0,0,False,False
36,stress,40,20,0.585605,0.511019,0.550093,3,0.074586,0.97772,0.822181,0.976903,0.459295,0.967742,0,0.240901,0.850438,0,0.967459,0.993239,0.6725,36,0,0,36,36,36,0,0,0,0,0,False,False
37,stress,40,20,0.588252,0.495083,0.576874,3,0.093169,0.980202,0.823459,0.980095,0.458077,0.972045,0,0.243629,0.851188,0,0.972414,1,0.6725,37,0,0,37,37,37,0,0,0,0,0,False,False
38,stress,40,20,0.605083,0.49462,0.605042,3,0.110463,0.982614,0.824702,0.983196,0.457145,0.976182,0,0.246139,0.851938,0,0.976775,1,0.6725,38,0,0,38,38,38,0,0,0,0,0,False,False
39,stress,40,20,0.605607,0.514463,0.445983,2,0.159624,0.984958,0.825911,0.986209,0.456882,0.980159,0,0.240448,0.852688,0,0.980612,1,0.6725,39,0,0,39,39,39,0,0,0,0,0,False,False
40,stress,40,20,0.601468,0.50165,0.545098,3,0.099818,0.987234,0.827086,0.989134,0.455892,0.983983,0,0.243212,0.853438,0,0.983988,1,0.6725,40,0,0,40,40,40,0,0,0,0,0,False,False
41,stress,40,20,0.593345,0.503407,0.461973,2,0.131372,0.989445,0.828228,0.991976,0.455354,0.98766,0,0.237755,0.854188,0,0.98696,1,0.6725,41,0,0,41,41,41,0,0,0,0,0,False,False
