cycle,event,action,bodies,active_bodies,light,shadow,mercury,threshold,agreements,spread,structural_stability,vitality,viability,field_charge,lattice_coherence,recursion_depth,confidence_decay,avg_trust,avg_fatigue,lineage_density,archetype_resonance,elder_feedback,closures,recursions,suspicious_closures,dream_cycles,rem_cycles,healing_cycles,renewal_cycles,new_variants,unknown_events,alpha_alerts,omega_alerts,alpha_alert,omega_alert
1,contradiction,close,40,28,0.589425,0.458011,0.646694,0.0917,1,0.188683,0.843998,0.744428,0.81539,0.596822,0.855721,0,0.016,0.67863,0,0.0,0.019528,0,1,0,0,1,1,1,0,0,0,0,0,False,False
2,contradiction,close,40,28,0.613461,0.462857,0.578212,0.088195,1,0.150603,0.84786,0.748761,0.820159,0.593377,0.851955,0,0.03072,0.683718,0,0.0,0.042439,0,2,0,0,2,2,2,0,0,0,0,0,False,False
3,contradiction,close,40,28,0.599108,0.470937,0.388619,0.084779,1,0.210489,0.85159,0.753001,0.824827,0.591049,0.848631,0,0.044262,0.688806,0,0.0,0.041802,0,3,0,0,3,3,3,0,0,0,0,0,False,False
4,contradiction,close,40,28,0.616325,0.422717,0.428883,0.081539,1,0.193608,0.855192,0.757151,0.829393,0.588707,0.845727,0,0.056721,0.693894,0,0.0,0.041175,0,4,0,0,4,4,4,0,0,0,0,0,False,False
5,contradiction,close,40,28,0.635248,0.457775,0.498356,0.078557,1,0.177473,0.858671,0.761212,0.833864,0.586356,0.843257,0,0.068184,0.698982,0,0.0,0.058511,0,5,0,0,5,5,5,0,0,0,0,0,False,False
6,contradiction,recurse,40,28,0.664321,0.399359,0.530609,0.075908,0,0.264962,0.845417,0.77947,0.822787,0.61425,0.840848,1,0.068184,0.698117,0.002792,0.0,0.057633,0,5,1,0,6,6,6,0,0,0,0,0,False,False
7,contradiction,close,40,28,0.626232,0.444228,0.555888,0.073657,1,0.182004,0.849161,0.782927,0.833322,0.610876,0.838862,0,0.078729,0.703205,0,0.0,0.072875,0,6,1,0,7,7,7,0,0,0,0,0,False,False
8,contradiction,close,40,28,0.623731,0.395725,0.641608,0.071859,1,0.245883,0.85278,0.786311,0.837755,0.60865,0.837227,0,0.088431,0.708293,0,0.0,0.071782,0,7,1,0,8,8,8,0,0,0,0,0,False,False
9,contradiction,recurse,40,28,0.662403,0.406814,0.543057,0.070557,0,0.255589,0.839083,0.801702,0.825056,0.636979,0.835596,1,0.088431,0.707219,0.003692,0.0,0.070706,0,7,2,0,9,8,9,0,0,0,0,0,False,False
10,contradiction,close,40,28,0.650125,0.387471,0.639863,0.069779,1,0.262655,0.842642,0.801665,0.834181,0.633833,0.834322,0,0.096236,0.712334,0,0.0,0.069645,0,8,2,0,10,8,10,0,0,0,0,0,False,False
