cycle,event,action,bodies,active_bodies,light,shadow,mercury,threshold,agreements,spread,structural_stability,vitality,viability,field_charge,lattice_coherence,recursion_depth,confidence_decay,avg_trust,avg_fatigue,lineage_density,archetype_resonance,elder_feedback,closures,recursions,suspicious_closures,dream_cycles,rem_cycles,healing_cycles,renewal_cycles,new_variants,unknown_events,alpha_alerts,omega_alerts,alpha_alert,omega_alert
1,unknown,close,40,40,0.577779,0.455911,0.57289,0.10225,1,0.121868,0.844385,0.74366,0.815467,0.593306,0.856057,0,0.016,0.685006,0,0.0,0.028548,0,1,0,0,1,1,1,0,0,1,0,0,False,False
2,drift,close,40,18,0.60832,0.465818,0.525458,0.108838,2,0.142502,0.848637,0.747007,0.820225,0.587247,0.85254,0,0.03072,0.688634,0,0.0,0.051741,0,2,0,0,2,2,2,0,0,1,0,0,False,False
3,drift,close,40,18,0.594306,0.469506,0.536831,0.108527,2,0.124799,0.852759,0.750258,0.824877,0.581255,0.849426,0,0.044262,0.692262,0,0.0,0.075236,0,3,0,0,3,3,3,0,0,1,0,0,False,False
4,drift,close,40,18,0.598941,0.487949,0.517426,0.108216,2,0.110992,0.856756,0.753415,0.829424,0.57538,0.846696,0,0.056721,0.69589,0,0.0,0.098481,0,4,0,0,4,4,4,0,0,1,0,0,False,False
5,drift,close,40,18,0.572055,0.455244,0.589252,0.107907,1,0.134007,0.860632,0.756482,0.833867,0.570133,0.844321,0,0.068184,0.699518,0,0.0,0.116527,0,5,0,0,5,5,5,0,0,1,0,0,False,False
6,drift,close,40,18,0.57773,0.446674,0.632304,0.107598,1,0.18563,0.864389,0.75946,0.838206,0.565883,0.842264,0,0.078729,0.703146,0,0.0,0.125979,0,6,0,0,6,6,6,0,0,1,0,0,False,False
7,drift,close,40,18,0.623325,0.466267,0.570172,0.107291,2,0.157058,0.868032,0.762354,0.842445,0.561456,0.840516,0,0.088431,0.706774,0,0.0,0.138438,0,7,0,0,7,7,7,0,0,1,0,0,False,False
8,drift,close,40,18,0.634198,0.482202,0.532838,0.106985,2,0.151996,0.871564,0.765164,0.846586,0.557191,0.839061,0,0.097356,0.710402,0,0.0,0.150459,0,8,0,0,8,8,8,0,0,1,0,0,False,False
9,drift,close,40,18,0.596161,0.462209,0.660373,0.106682,1,0.198163,0.874989,0.767894,0.850627,0.553797,0.837856,0,0.105568,0.71403,0,0.0,0.148203,0,9,0,0,9,9,9,0,0,1,0,0,False,False
10,drift,close,40,18,0.564076,0.484125,0.549726,0.106381,3,0.079951,0.878309,0.770546,0.854574,0.548929,0.836927,0,0.123122,0.7175,0,0.0,0.169071,0,10,0,0,10,10,10,0,0,1,0,0,False,False
11,drift,close,40,18,0.609749,0.458648,0.506443,0.106083,2,0.1511,0.881527,0.773123,0.858427,0.545313,0.836244,0,0.129273,0.721128,0,0.0,0.178456,0,11,0,0,11,11,11,0,0,1,0,0,False,False
12,drift,close,40,18,0.601546,0.475161,0.606982,0.105788,1,0.13182,0.884763,0.775626,0.862314,0.541618,0.836051,0,0.134931,0.724756,0,0.09632,0.195378,0.688,12,0,0,12,12,12,0,0,1,0,0,False,False
13,drift,close,40,18,0.641597,0.44867,0.564207,0.105496,1,0.192926,0.888004,0.778058,0.866219,0.538975,0.83629,0,0.140136,0.728384,0,0.183008,0.20773,0.688,13,0,0,13,13,13,0,0,1,0,0,False,False
14,drift,close,40,18,0.595417,0.480442,0.657867,0.105207,1,0.177425,0.89124,0.780422,0.870131,0.536259,0.836931,0,0.144925,0.732012,0,0.261027,0.225743,0.688,14,0,0,14,14,14,0,0,1,0,0,False,False
15,drift,close,40,18,0.606929,0.473221,0.595193,0.104922,1,0.133708,0.894461,0.782718,0.87404,0.533078,0.837949,0,0.149331,0.73564,0,0.331244,0.252251,0.688,15,0,0,15,15,15,0,0,1,0,0,False,False
16,drift,close,40,18,0.611759,0.464878,0.604182,0.104642,1,0.146881,0.89766,0.784949,0.877936,0.530252,0.839308,0,0.153385,0.739268,0,0.39444,0.278385,0.688,16,0,0,16,16,16,0,0,1,0,0,False,False
17,drift,close,40,18,0.603778,0.45074,0.639157,0.104365,1,0.188418,0.900829,0.787118,0.88181,0.52816,0.840965,0,0.157114,0.742896,0,0.451316,0.299973,0.688,17,0,0,17,17,17,0,0,1,0,0,False,False
18,drift,close,40,18,0.603389,0.431545,0.572394,0.104093,1,0.171844,0.903963,0.789225,0.885656,0.525952,0.842899,0,0.160545,0.746524,0,0.502504,0.324927,0.688,18,0,0,18,18,18,0,0,1,0,0,False,False
19,drift,close,40,18,0.564647,0.470228,0.570565,0.103826,3,0.100337,0.907057,0.791274,0.889468,0.522865,0.845096,0,0.173701,0.749995,0,0.548574,0.360053,0.688,19,0,0,19,19,19,0,0,1,0,0,False,False
20,drift,close,40,18,0.616919,0.502264,0.631514,0.103564,1,0.12925,0.910106,0.793264,0.89324,0.520348,0.847528,0,0.175805,0.753623,0,0.590037,0.390601,0.688,20,0,0,20,20,20,0,0,1,0,0,False,False
21,drift,close,40,18,0.615601,0.443192,0.578801,0.103307,1,0.17241,0.913106,0.795199,0.896967,0.518573,0.850162,0,0.177741,0.757251,0,0.627353,0.414813,0.688,21,0,0,21,21,21,0,0,1,0,0,False,False
22,drift,close,40,18,0.632518,0.475844,0.502388,0.103056,1,0.156674,0.916055,0.79708,0.900645,0.516678,0.852983,0,0.179522,0.760879,0,0.660938,0.440985,0.688,22,0,0,22,22,22,0,0,1,0,0,False,False
23,drift,close,40,18,0.635768,0.450305,0.507447,0.10281,1,0.185463,0.91895,0.798909,0.90427,0.515292,0.855962,0,0.18116,0.764507,0,0.691164,0.462729,0.688,23,0,0,23,23,23,0,0,1,0,0,False,False
24,drift,close,40,18,0.622038,0.454891,0.605826,0.102571,1,0.167147,0.921789,0.800687,0.90784,0.51373,0.85909,0,0.182667,0.768135,0,0.718367,0.486621,0.688,24,0,0,24,24,24,0,0,1,0,0,False,False
25,drift,close,40,18,0.589946,0.448456,0.560808,0.102337,1,0.14149,0.924571,0.802415,0.911353,0.511899,0.862357,0,0.184054,0.771763,0,0.742851,0.513295,0.688,25,0,0,25,25,25,0,0,1,0,0,False,False
26,drift,close,40,18,0.64547,0.424978,0.491445,0.102111,1,0.220492,0.927294,0.804096,0.914801,0.511277,0.865682,0,0.185329,0.775391,0,0.764886,0.505595,0.688,26,0,0,26,26,26,0,0,1,0,0,False,False
27,drift,close,40,18,0.573553,0.437621,0.563192,0.10189,1,0.135932,0.929957,0.80573,0.918189,0.509513,0.869129,0,0.186503,0.779019,0,0.784717,0.533824,0.688,27,0,0,27,27,27,0,0,1,0,0,False,False
28,drift,close,40,18,0.580573,0.453422,0.530941,0.101677,2,0.127151,0.93256,0.807319,0.921515,0.507726,0.872679,0,0.187583,0.78254,0,0.802565,0.561768,0.688,28,0,0,28,28,28,0,0,1,0,0,False,False
29,drift,close,40,18,0.604672,0.488894,0.595869,0.10147,1,0.115777,0.935103,0.808864,0.924778,0.505881,0.876307,0,0.188576,0.785716,0,0.818629,0.589697,0.688,29,0,0,29,29,29,0,0,1,0,0,False,False
30,drift,close,40,18,0.654018,0.421478,0.562574,0.10127,1,0.232541,0.937584,0.810367,0.92797,0.505774,0.879923,0,0.18949,0.788747,0,0.833086,0.580851,0.688,30,0,0,30,30,30,0,0,1,0,0,False,False
31,drift,close,40,18,0.612913,0.434103,0.58209,0.101078,1,0.17881,0.940006,0.811829,0.931095,0.504931,0.883577,0,0.190331,0.791691,0,0.846097,0.600201,0.688,31,0,0,31,31,31,0,0,1,0,0,False,False
32,drift,close,40,18,0.633755,0.474937,0.532389,0.100893,1,0.158818,0.942367,0.813252,0.934154,0.503862,0.887259,0,0.191104,0.794474,0,0.857808,0.621211,0.688,32,0,0,32,32,32,0,0,1,0,0,False,False
33,drift,close,40,18,0.60822,0.47241,0.485028,0.100716,1,0.13581,0.944668,0.814635,0.937146,0.502536,0.890962,0,0.191816,0.79713,0,0.868347,0.644069,0.688,33,0,0,33,33,33,0,0,1,0,0,False,False
34,drift,close,40,18,0.66419,0.44427,0.630363,0.100546,1,0.21992,0.94691,0.815981,0.940067,0.502465,0.894614,0,0.192471,0.799732,0,0.877832,0.634408,0.688,34,0,0,34,34,34,0,0,1,0,0,False,False
35,drift,close,40,18,0.632944,0.467975,0.542604,0.100385,2,0.164969,0.949093,0.817291,0.942921,0.50164,0.898272,0,0.193073,0.802334,0,0.886369,0.653222,0.688,35,0,0,35,35,35,0,0,1,0,0,False,False
36,drift,close,40,18,0.607003,0.445435,0.525256,0.100231,2,0.161568,0.951218,0.818565,0.945708,0.50082,0.901913,0,0.193627,0.804533,0,0.894052,0.671264,0.688,36,0,0,36,36,36,0,0,1,0,0,False,False
37,drift,close,40,18,0.621463,0.443503,0.584105,0.100085,1,0.17796,0.953286,0.819805,0.948427,0.500282,0.905519,0,0.194137,0.806544,0,0.900967,0.685883,0.688,37,0,0,37,37,37,0,0,1,0,0,False,False
38,drift,close,40,18,0.592727,0.483118,0.423548,0.099948,1,0.169179,0.955297,0.821012,0.95108,0.499659,0.909081,0,0.194606,0.808375,0,0.90719,0.700746,0.688,38,0,0,38,38,38,0,0,1,0,0,False,False
